ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
LPB,2025,2,9253345000000,0.13991620148206987,2395871000000,-0.010641952856780648,9253345000000,-5517491000000,3735854000000,940062000000,-88538000000,851524000000,69338000000,0,62956000000,182496000000,-19515000000,162981000000,30000000000,4912653000000,-1462006000000,3450647000000,-462241000000,2988406000000,-592535000000,-592535000000,2395871000000,2395871000000,802,VCI,quarterly
LPB,2025,1,8500563000000,0.049646471612462606,2533906000000,0.10234001446929321,8500563000000,-5218653000000,3281910000000,887427000000,-58964000000,828463000000,112645000000,0,4503000000,491665000000,-43487000000,448178000000,12544000000,4688243000000,-1314471000000,3373772000000,-198412000000,3175360000000,-641454000000,-641454000000,2533906000000,2533906000000,848,VCI,quarterly
LPB,2024,4,9469116000000,0.08797732567672016,2669816000000,0.01596970907776319,9469116000000,-4962399000000,4506717000000,638684000000,-128998000000,509686000000,-18120000000,9706000000,-1192000000,682757000000,-137055000000,545702000000,0,5552499000000,-1649917000000,3902582000000,-552754000000,3349828000000,-680012000000,-680012000000,2669816000000,2669816000000,510,VCI,quarterly
LPB,2024,3,8451851000000,0.04598413967030375,2330781000000,1.3475660975978245,8451851000000,-4673954000000,3777897000000,1109494000000,-93379000000,1016115000000,98757000000,12231000000,-97000000,181780000000,-62795000000,118985000000,45000000000,5068888000000,-1537540000000,3531348000000,-631846000000,2899502000000,-568721000000,-568721000000,2330781000000,2330781000000,898,VCI,quarterly
LPB,2024,2,8117566000000,0.01830922026812143,2421642000000,2.4192875195910934,8117566000000,-4472934000000,3644632000000,959068000000,-92678000000,866390000000,44391000000,21084000000,-143000000,303003000000,-57644000000,245359000000,12007000000,4833720000000,-1246838000000,3586882000000,-554423000000,3032459000000,-610817000000,-610817000000,2421642000000,2421642000000,2745,VCI,quarterly
LPB,2024,1,8098501000000,0.06582503546827333,2298661000000,0.8488147824044732,8098501000000,-4634004000000,3464497000000,886888000000,-68080000000,818808000000,148277000000,0,-30000000,78733000000,-50972000000,27761000000,18010000000,4477323000000,-1376148000000,3101175000000,-214796000000,2886379000000,-587718000000,-587718000000,2298661000000,2298661000000,-769,VCI,quarterly
LPB,2023,4,8703413000000,0.29659610139815085,2627850000000,2.934507963790878,8703413000000,-5357360000000,3346053000000,3014019000000,-88015000000,2926004000000,65726000000,0,-768000000,218076000000,-82261000000,135815000000,18092000000,6490922000000,-1594730000000,4896192000000,-1543587000000,3352605000000,-724755000000,-724755000000,2627850000000,2627850000000,1275,VCI,quarterly
LPB,2023,3,8080286000000,0.21640712548481442,992850000000,0.006042231785401976,8080286000000,-5447507000000,2632779000000,246675000000,-82492000000,164183000000,205408000000,0,-33000000,125234000000,-13295000000,111939000000,0,3114276000000,-1340887000000,1773389000000,-532672000000,1240717000000,-247867000000,-247867000000,992850000000,992850000000,483,VCI,quarterly
LPB,2023,2,7971612000000,0.31447620058972925,708230000000,-0.5063515684627636,7971612000000,-5521520000000,2450092000000,327168000000,-77859000000,249309000000,18997000000,30208000000,-4493000000,128042000000,-17116000000,110926000000,31252000000,2886291000000,-1479987000000,1406304000000,-525874000000,880430000000,-172200000000,-172200000000,708230000000,708230000000,410,VCI,quarterly
LPB,2023,1,7598340000000,0.30872530037932044,1243316000000,-0.12490788529986634,7598340000000,-4824135000000,2774205000000,318126000000,-91995000000,226131000000,144968000000,0,40000000,19173000000,-30701000000,-11528000000,0,3133816000000,-1344268000000,1789548000000,-223907000000,1565641000000,-322325000000,-322325000000,1243316000000,1243316000000,719,VCI,quarterly
