time,symbol,open,high,low,close,volume
2015-10-05,MBB,2.83,2.89,2.83,2.85,2541890.0
2015-10-06,MBB,2.87,2.93,2.87,2.91,3536140.0
2015-10-07,MBB,2.93,2.93,2.89,2.89,1786280.0
2015-10-08,MBB,2.85,2.87,2.81,2.83,9337620.0
2015-10-09,MBB,2.83,2.85,2.8,2.8,2824500.0
2015-10-10,MBB,2.83,2.85,2.8,2.8,2824500.0
2015-10-11,MBB,2.83,2.85,2.8,2.8,2824500.0
2015-10-12,MBB,2.78,2.81,2.76,2.78,2679050.0
2015-10-13,MBB,2.76,2.8,2.76,2.78,1590810.0
2015-10-14,MBB,2.78,2.8,2.76,2.76,1437730.0
2015-10-15,MBB,2.76,2.78,2.72,2.76,2858560.0
2015-10-16,MBB,2.74,2.78,2.74,2.76,2432880.0
2015-10-17,MBB,2.74,2.78,2.74,2.76,2432880.0
2015-10-18,MBB,2.74,2.78,2.74,2.76,2432880.0
2015-10-19,MBB,2.76,2.76,2.74,2.74,1423060.0
2015-10-20,MBB,2.74,2.74,2.7,2.7,1762510.0
2015-10-21,MBB,2.7,2.7,2.64,2.66,2075190.0
2015-10-22,MBB,2.66,2.7,2.66,2.68,1411620.0
2015-10-23,MBB,2.68,2.72,2.68,2.7,736810.0
2015-10-24,MBB,2.68,2.72,2.68,2.7,736810.0
2015-10-25,MBB,2.68,2.72,2.68,2.7,736810.0
2015-10-26,MBB,2.68,2.7,2.66,2.66,1303210.0
2015-10-27,MBB,2.66,2.68,2.63,2.64,1501170.0
2015-10-28,MBB,2.64,2.66,2.63,2.63,784850.0
2015-10-29,MBB,2.63,2.64,2.61,2.63,1213650.0
2015-10-30,MBB,2.64,2.72,2.64,2.7,2162260.0
2015-10-31,MBB,2.64,2.72,2.64,2.7,2162260.0
2015-11-01,MBB,2.64,2.72,2.64,2.7,2162260.0
2015-11-02,MBB,2.72,2.74,2.68,2.7,1288050.0
2015-11-03,MBB,2.7,2.72,2.66,2.7,1352090.0
2015-11-04,MBB,2.7,2.74,2.66,2.66,1370210.0
2015-11-05,MBB,2.66,2.7,2.66,2.66,675030.0
2015-11-06,MBB,2.66,2.68,2.64,2.66,669700.0
2015-11-07,MBB,2.66,2.68,2.64,2.66,669700.0
2015-11-08,MBB,2.66,2.68,2.64,2.66,669700.0
2015-11-09,MBB,2.66,2.72,2.66,2.72,1673120.0
2015-11-10,MBB,2.7,2.72,2.68,2.68,1140750.0
2015-11-11,MBB,2.68,2.72,2.68,2.7,1822830.0
2015-11-12,MBB,2.7,2.74,2.7,2.74,3101940.0
2015-11-13,MBB,2.74,2.81,2.74,2.8,4236680.0
2015-11-14,MBB,2.74,2.81,2.74,2.8,4236680.0
2015-11-15,MBB,2.74,2.81,2.74,2.8,4236680.0
2015-11-16,MBB,2.78,2.8,2.76,2.78,1992040.0
2015-11-17,MBB,2.76,2.78,2.74,2.74,1190090.0
2015-11-18,MBB,2.72,2.78,2.72,2.78,1379800.0
2015-11-19,MBB,2.78,2.78,2.74,2.76,1132620.0
2015-11-20,MBB,2.74,2.78,2.74,2.74,1155950.0
2015-11-21,MBB,2.74,2.78,2.74,2.74,1155950.0
2015-11-22,MBB,2.74,2.78,2.74,2.74,1155950.0
2015-11-23,MBB,2.74,2.76,2.72,2.74,1210690.0
2015-11-24,MBB,2.72,2.74,2.68,2.7,708920.0
2015-11-25,MBB,2.7,2.72,2.68,2.7,766440.0
2015-11-26,MBB,2.7,2.72,2.68,2.7,624860.0
2015-11-27,MBB,2.7,2.72,2.68,2.68,1400280.0
2015-11-28,MBB,2.7,2.72,2.68,2.68,1400280.0
2015-11-29,MBB,2.7,2.72,2.68,2.68,1400280.0
2015-11-30,MBB,2.68,2.68,2.64,2.64,1122050.0
2015-12-01,MBB,2.66,2.68,2.64,2.66,691030.0
2015-12-02,MBB,2.66,2.68,2.66,2.68,301570.0
2015-12-03,MBB,2.68,2.68,2.66,2.68,105650.0
2015-12-04,MBB,2.66,2.68,2.64,2.66,663540.0
2015-12-05,MBB,2.66,2.68,2.64,2.66,663540.0
2015-12-06,MBB,2.66,2.68,2.64,2.66,663540.0
2015-12-07,MBB,2.64,2.66,2.63,2.64,377080.0
2015-12-08,MBB,2.64,2.64,2.61,2.64,1294930.0
2015-12-09,MBB,2.64,2.66,2.63,2.63,864210.0
2015-12-10,MBB,2.63,2.64,2.61,2.63,351980.0
2015-12-11,MBB,2.61,2.64,2.61,2.63,438700.0
2015-12-12,MBB,2.61,2.64,2.61,2.63,438700.0
2015-12-13,MBB,2.61,2.64,2.61,2.63,438700.0
2015-12-14,MBB,2.63,2.66,2.63,2.66,624120.0
2015-12-15,MBB,2.66,2.66,2.63,2.64,355420.0
2015-12-16,MBB,2.64,2.68,2.63,2.64,287090.0
2015-12-17,MBB,2.66,2.68,2.64,2.66,747840.0
2015-12-18,MBB,2.66,2.66,2.64,2.64,328350.0
2015-12-19,MBB,2.66,2.66,2.64,2.64,328350.0
2015-12-20,MBB,2.66,2.66,2.64,2.64,328350.0
2015-12-21,MBB,2.64,2.66,2.63,2.63,789650.0
2015-12-22,MBB,2.63,2.64,2.63,2.63,320960.0
2015-12-23,MBB,2.63,2.64,2.61,2.63,491010.0
2015-12-24,MBB,2.63,2.64,2.63,2.63,345610.0
2015-12-25,MBB,2.63,2.64,2.63,2.63,167650.0
2015-12-26,MBB,2.63,2.64,2.63,2.63,167650.0
2015-12-27,MBB,2.63,2.64,2.63,2.63,167650.0
2015-12-28,MBB,2.63,2.63,2.61,2.63,499740.0
2015-12-29,MBB,2.63,2.63,2.61,2.63,619500.0
2015-12-30,MBB,2.63,2.64,2.61,2.63,861420.0
2015-12-31,MBB,2.63,2.74,2.61,2.74,2573830.0
2016-01-01,MBB,2.63,2.74,2.61,2.74,2573830.0
2016-01-02,MBB,2.63,2.74,2.61,2.74,2573830.0
2016-01-03,MBB,2.63,2.74,2.61,2.74,2573830.0
2016-01-04,MBB,2.7,2.7,2.63,2.64,532510.0
2016-01-05,MBB,2.63,2.66,2.63,2.63,400260.0
2016-01-06,MBB,2.63,2.64,2.63,2.64,251050.0
2016-01-07,MBB,2.64,2.64,2.61,2.61,601470.0
2016-01-08,MBB,2.59,2.61,2.57,2.59,646260.0
2016-01-09,MBB,2.59,2.61,2.57,2.59,646260.0
2016-01-10,MBB,2.59,2.61,2.57,2.59,646260.0
2016-01-11,MBB,2.59,2.61,2.57,2.57,420860.0
2016-01-12,MBB,2.57,2.61,2.57,2.61,467350.0
2016-01-13,MBB,2.61,2.63,2.59,2.59,379460.0
2016-01-14,MBB,2.57,2.59,2.55,2.59,458130.0
