ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
MBB,2025,2,1289644328000000,5262525000000,15251535000000,96081337000000,4585676000000,4618286000000,-32610000000,0,867340209000000,879888513000000,-12548304000000,262474257000000,258676335000000,4255592000000,-457670000000,582898000000,0,707030000000,-124132000000,5343331000000,3713430000000,1629901000000,220898000000,29912640000000,1289644328000000,1161840678000000,20894064000000,130930943000000,783291908000000,842870000000,3282236000000,170267177000000,52331480000000,127803650000000,64255415000000,19829042000000,188573000000,38370327000000,0,61022727000000,1928354000000,5160293000000,VCI,yearly
MBB,2025,1,1156917195000000,4223983000000,15521984000000,64338554000000,12481241000000,12509220000000,-27979000000,0,786486979000000,797536715000000,-11049736000000,240234807000000,236771888000000,3969626000000,-506707000000,696628000000,0,820760000000,-124132000000,5381759000000,3772404000000,1609355000000,232570000000,26852308000000,1156917195000000,1033240647000000,5494421000000,109015683000000,722622450000000,526143000000,3003072000000,146597114000000,45981764000000,123676548000000,64255319000000,14856157000000,148911000000,39322902000000,0,61022727000000,1928258000000,5093259000000,VCI,yearly
MBB,2024,4,1128801062000000,3349166000000,29825253000000,76785622000000,7931655000000,7931834000000,-179000000,0,765047985000000,776657846000000,-11609861000000,209637377000000,205507956000000,4612504000000,-483083000000,609477000000,0,775670000000,-166193000000,5430416000000,3750696000000,1679720000000,234115000000,28998487000000,1128801062000000,1011741481000000,8156285000000,110169585000000,714154479000000,191545000000,2793453000000,128964033000000,47312101000000,117059581000000,56295833000000,14996847000000,137797000000,40718224000000,0,53063241000000,1928258000000,4910880000000,VCI,yearly
MBB,2024,3,1028819208000000,3782282000000,10684041000000,77398096000000,14323942000000,14324151000000,-209000000,111681000000,691232888000000,702019545000000,-10786657000000,197206164000000,192578792000000,5422262000000,-794890000000,578426000000,0,742228000000,-163802000000,4875798000000,3268440000000,1607358000000,235660000000,27222050000000,1028819208000000,918796010000000,5046988000000,118559598000000,627567353000000,0,3351982000000,119550968000000,44719121000000,110023198000000,56103433000000,15149208000000,72723000000,34476533000000,0,52870841000000,1928258000000,4221301000000,VCI,yearly
MBB,2024,2,988604894000000,4329237000000,18087252000000,90063801000000,12308272000000,12308357000000,-85000000,0,662584515000000,673799059000000,-11214544000000,167176283000000,162592987000000,5173873000000,-590577000000,582763000000,0,746565000000,-163802000000,4915660000000,3286548000000,1629112000000,237204000000,26903897000000,988604894000000,884390946000000,7404243000000,104173671000000,618617638000000,1076174000000,3299578000000,99399834000000,50419808000000,104213948000000,56103433000000,15215743000000,137781000000,28691482000000,0,52870841000000,1928258000000,4065509000000,VCI,yearly
MBB,2024,1,900647141000000,3740794000000,11915805000000,77809357000000,30565331000000,30566124000000,-793000000,0,603072394000000,615316724000000,-12244330000000,139447285000000,134470046000000,5493045000000,-515806000000,591703000000,0,755505000000,-163802000000,5043795000000,3377532000000,1666263000000,238749000000,26640144000000,900647141000000,799305717000000,3900670000000,82905508000000,558826062000000,381529000000,3456071000000,102482877000000,47353000000000,101341424000000,54938426000000,12155807000000,87533000000,30092796000000,0,52140841000000,1928258000000,4066862000000,VCI,yearly
MBB,2023,4,944953640000000,3675394000000,66321652000000,46343813000000,44250788000000,44251400000000,-612000000,141294000000,599579267000000,611048830000000,-11469563000000,147923205000000,143010711000000,5387952000000,-475458000000,615785000000,0,779587000000,-163802000000,4854186000000,3194404000000,1659782000000,240294000000,29218094000000,944953640000000,848242481000000,8738000000,99810466000000,567532577000000,0,2799863000000,126463110000000,51627727000000,96711159000000,54938426000000,12193931000000,45939000000,25559753000000,0,52140841000000,1928258000000,3973110000000,VCI,yearly
MBB,2023,3,815880535000000,3411516000000,21634416000000,36980878000000,35880219000000,35881446000000,-1227000000,0,523969217000000,536301777000000,-12332560000000,154950526000000,150161723000000,5208122000000,-419319000000,661349000000,0,804083000000,-142734000000,4826801000000,3234534000000,1592267000000,231594000000,31438949000000,815880535000000,724117540000000,73772000000,75969591000000,479732568000000,22977000000,2766361000000,116032356000000,49519915000000,91762995000000,54938370000000,12255075000000,45458000000,20609649000000,0,52140841000000,1928202000000,3914443000000,VCI,yearly
MBB,2023,2,806237587000000,3168566000000,27503661000000,21618233000000,22891806000000,22891881000000,-75000000,183059000000,506395409000000,518071328000000,-11675919000000,183949223000000,179644261000000,4799028000000,-494066000000,676292000000,0,813650000000,-137358000000,4928489000000,3283901000000,1644588000000,233122000000,32611765000000,806237587000000,720168463000000,48346000000,87145499000000,475406125000000,0,1603596000000,112432233000000,43532664000000,86069124000000,47626099000000,12046162000000,-9945000000,22511239000000,0,45339861000000,1416911000000,3895569000000,VCI,yearly
MBB,2023,1,760761405000000,2965368000000,19077374000000,32264103000000,3910585000000,3911585000000,-1000000000,0,469698929000000,481386268000000,-11687339000000,192734969000000,187974086000000,5241908000000,-481025000000,699228000000,0,813650000000,-114422000000,5004586000000,3394729000000,1609857000000,234649000000,31993218000000,760761405000000,675993922000000,2547915000000,76745163000000,452414711000000,30603000000,1038175000000,105025490000000,38191865000000,84767483000000,47596709000000,9261266000000,-14449000000,24078246000000,0,45339861000000,1387521000000,3845711000000,VCI,yearly
