ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
MBB,2025,2,345874000000.0,11324348000000.0,27622388000000.0,-30839000000.0,-367960000000.0,27174000000.0,-224021000000.0,0.0,3500000000000.0,30867528000000.0,72986872000000.0,0.0,103854400000000.0,27591549000000.0,3035000000.0,56245000000.0,57485000000.0,0.0,VCI,yearly
MBB,2025,1,175647000000.0,7431718000000.0,-25928594000000.0,-146417000000.0,-105862000000.0,40000000.0,-176955000000.0,0.0,2198563000000.0,-24053403000000.0,97040275000000.0,0.0,72986872000000.0,-26075011000000.0,166000000.0,-71299000000.0,0.0,0.0,VCI,yearly
MBB,2024,4,508424000000.0,12636013000000.0,15569567000000.0,-155306000000.0,-910154000000.0,32861000000.0,-909022000000.0,995438000000.0,4992180000000.0,19497419000000.0,77542854000000.0,0.0,97040273000000.0,15414261000000.0,1713000000.0,-37651000000.0,4209000000.0,-162709000000.0,VCI,yearly
MBB,2024,3,156241000000.0,6610835000000.0,-20422349000000.0,-67757000000.0,-532734000000.0,-3507000000.0,-528868000000.0,0.0,395103000000.0,-20623871000000.0,98166725000000.0,0.0,77542854000000.0,-20490106000000.0,3036000000.0,0.0,4337000000.0,0.0,VCI,yearly
MBB,2024,2,56968000000.0,6232242000000.0,12467153000000.0,-80892000000.0,-291321000000.0,21761000000.0,-258471000000.0,115007000000.0,2322465000000.0,14450255000000.0,83716470000000.0,0.0,98166725000000.0,12386261000000.0,2149000000.0,-24082000000.0,33022000000.0,-2643542000000.0,VCI,yearly
MBB,2024,1,100700000000.0,4484806000000.0,-25842466000000.0,-44334000000.0,-567487000000.0,1528000000.0,-541848000000.0,0.0,1050000000000.0,-25378648000000.0,109095118000000.0,0.0,83716470000000.0,-25886800000000.0,29000000.0,24082000000.0,0.0,0.0,VCI,yearly
MBB,2023,4,174320000000.0,9732628000000.0,50422238000000.0,-67690000000.0,-494669000000.0,7890000000.0,-461834000000.0,0.0,3149000000000.0,53041714000000.0,56053404000000.0,0.0,109095118000000.0,50354548000000.0,449000000.0,24496000000.0,0.0,0.0,VCI,yearly
MBB,2023,3,187902000000.0,9295028000000.0,14717425000000.0,-122688000000.0,-265640000000.0,12612000000.0,-243461000000.0,0.0,-1966993000000.0,12384283000000.0,43669121000000.0,0.0,56053404000000.0,14594737000000.0,0.0,10180000000.0,-613000000.0,-2266993000000.0,VCI,yearly
MBB,2023,2,219739000000.0,7053119000000.0,-1864017000000.0,-25296000000.0,-538486000000.0,33369000000.0,-504617000000.0,0.0,0.0,-2393930000000.0,46063051000000.0,0.0,43669121000000.0,-1889313000000.0,500000000.0,-613000000.0,613000000.0,0.0,VCI,yearly
MBB,2023,1,131420000000.0,5253670000000.0,-21731654000000.0,-33706000000.0,-356591000000.0,3212000000.0,-395501000000.0,0.0,0.0,-22160861000000.0,68223912000000.0,0.0,46063051000000.0,-21765360000000.0,2765000000.0,-44887000000.0,0.0,0.0,VCI,yearly
MBB,2022,4,47375000000.0,8531553000000.0,22411790000000.0,-34404000000.0,-962001000000.0,5155000000.0,-1056675000000.0,0.0,200000000000.0,21520711000000.0,46703201000000.0,0.0,68223912000000.0,22377386000000.0,145000000.0,0.0,-99974000000.0,0.0,VCI,yearly
MBB,2022,3,174305000000.0,7351434000000.0,-22167343000000.0,-25693000000.0,-317591000000.0,5115000000.0,-311517000000.0,0.0,130000000000.0,-22374553000000.0,69077754000000.0,0.0,46703201000000.0,-22193036000000.0,962000000.0,114000000.0,-117000000.0,0.0,VCI,yearly
MBB,2022,2,80192000000.0,6679163000000.0,10581269000000.0,-33541000000.0,-276421000000.0,120245000000.0,66474000000.0,0.0,1790000000000.0,12404202000000.0,56673552000000.0,0.0,69077754000000.0,10547728000000.0,914000000.0,-49304000000.0,271040000000.0,0.0,VCI,yearly
MBB,2022,1,189472000000.0,6537955000000.0,-8713801000000.0,-141948000000.0,-192093000000.0,1426000000.0,-141450000000.0,0.0,0.0,-8997199000000.0,65670751000000.0,0.0,56673552000000.0,-8855749000000.0,27000000.0,49190000000.0,0.0,0.0,VCI,yearly
MBB,2021,4,221982000000.0,5376305000000.0,7250063000000.0,-62367000000.0,-448485000000.0,37607000000.0,-402366000000.0,0.0,0.0,6785330000000.0,58885421000000.0,0.0,65670751000000.0,7187696000000.0,4300000000.0,0.0,4212000000.0,0.0,VCI,yearly
MBB,2021,3,90001000000.0,4749747000000.0,16061107000000.0,-202897000000.0,-238132000000.0,13300000000.0,-222063000000.0,0.0,0.0,15636147000000.0,43249274000000.0,0.0,58885421000000.0,15858210000000.0,2907000000.0,9613000000.0,-9751000000.0,0.0,VCI,yearly
MBB,2021,2,135741000000.0,5930590000000.0,-1675353000000.0,-123645000000.0,-278120000000.0,33072000000.0,-238303000000.0,0.0,0.0,-2037301000000.0,45286575000000.0,0.0,43249274000000.0,-1798998000000.0,135000000.0,-12220000000.0,18830000000.0,0.0,VCI,yearly
MBB,2021,1,109363000000.0,5172930000000.0,-16748174000000.0,-30436000000.0,-295131000000.0,30856000000.0,-261149000000.0,0.0,0.0,-17039759000000.0,62326334000000.0,0.0,45286575000000.0,-16778610000000.0,519000000.0,2607000000.0,0.0,0.0,VCI,yearly
MBB,2020,4,-151257000000.0,3783260000000.0,30466443000000.0,-154165000000.0,-30955000000.0,6746000000.0,-51678000000.0,0.0,0.0,30260600000000.0,32065734000000.0,0.0,62326334000000.0,30312278000000.0,648000000.0,7221000000.0,-35338000000.0,0.0,VCI,yearly
MBB,2020,3,81798000000.0,3138971000000.0,-11324763000000.0,-43860000000.0,-226260000000.0,16270000000.0,-205395000000.0,0.0,0.0,-11574018000000.0,43639752000000.0,0.0,32065734000000.0,-11368623000000.0,3997000000.0,3000000.0,595000000.0,0.0,VCI,yearly
MBB,2020,2,90436000000.0,-4267638000000.0,-4279052000000.0,-14379000000.0,-213130000000.0,68274000000.0,-110041000000.0,-100746000000.0,1000000.0,-4403471000000.0,48043223000000.0,0.0,43639752000000.0,-4293431000000.0,75000000.0,-3000000.0,34743000000.0,0.0,VCI,yearly
MBB,2020,1,54080000000.0,12671696000000.0,41931000000.0,-16284000000.0,-288920000000.0,1221000000.0,-287680000000.0,1820668000000.0,2292983000000.0,2030950000000.0,46012273000000.0,0.0,48043223000000.0,25647000000.0,19000000.0,0.0,0.0,0.0,VCI,yearly
MBB,2019,4,36475000000.0,3582148000000.0,-1374995000000.0,-130368000000.0,-216516000000.0,19672000000.0,-193679000000.0,432090000000.0,432090000000.0,-1266952000000.0,47279225000000.0,0.0,46012273000000.0,-1505363000000.0,1968000000.0,606000000.0,591000000.0,0.0,VCI,yearly
MBB,2019,3,62685000000.0,4102531000000.0,-2458824000000.0,-31765000000.0,-145094000000.0,14947000000.0,-130676000000.0,0.0,0.0,-2621265000000.0,49900490000000.0,0.0,47279225000000.0,-2490589000000.0,77000000.0,-606000000.0,0.0,0.0,VCI,yearly
MBB,2019,2,42979000000.0,4111108000000.0,7316098000000.0,-16711000000.0,-235822000000.0,42880000000.0,-282123000000.0,0.0,-1304219000000.0,5713045000000.0,44187445000000.0,0.0,49900490000000.0,7299387000000.0,719000000.0,-89900000000.0,0.0,-267507000000.0,VCI,yearly
MBB,2019,1,20156000000.0,3191662000000.0,-2416701000000.0,-27977000000.0,-70018000000.0,728000000.0,20751000000.0,0.0,-1036712000000.0,-3460639000000.0,47648084000000.0,0.0,44187445000000.0,-2444678000000.0,141000000.0,89900000000.0,0.0,-1036712000000.0,VCI,yearly
MBB,2018,4,297419000000.0,2536911000000.0,6748347000000.0,-154835000000.0,-181243000000.0,-12490000000.0,-475637000000.0,0.0,0.0,6117875000000.0,41530209000000.0,0.0,47648084000000.0,6593512000000.0,-22605000000.0,-259299000000.0,0.0,0.0,VCI,yearly
MBB,2018,3,46150000000.0,1773054000000.0,-398073000000.0,-35663000000.0,-190162000000.0,2601000000.0,103236000000.0,0.0,0.0,-330500000000.0,41860709000000.0,0.0,41530209000000.0,-433736000000.0,31000000.0,290766000000.0,0.0,0.0,VCI,yearly
MBB,2018,2,551153000000.0,2311489000000.0,7869788000000.0,-816305000000.0,-52493000000.0,30843000000.0,250195000000.0,0.0,-3289000000.0,7300389000000.0,34560320000000.0,0.0,41860709000000.0,7053483000000.0,26987000000.0,245503000000.0,0.0,-3289000000.0,VCI,yearly
MBB,2018,1,-400253000000.0,2609192000000.0,-11305651000000.0,697044000000.0,-60068000000.0,9224000000.0,-295839000000.0,0.0,-1089303000000.0,-11993749000000.0,46554069000000.0,0.0,34560320000000.0,-10608607000000.0,1346000000.0,-246986000000.0,0.0,-1089303000000.0,VCI,yearly
MBB,2017,4,-459987000000.0,3346588000000.0,5217260000000.0,128765000000.0,-145401000000.0,5015000000.0,-533955000000.0,171275000000.0,262422000000.0,5074492000000.0,40506879000000.0,0.0,45581371000000.0,5346025000000.0,100073000000.0,-486349000000.0,0.0,91147000000.0,VCI,yearly
MBB,2017,3,-525710000000.0,1065857000000.0,13414565000000.0,-253161000000.0,-3264000000.0,24483000000.0,-375614000000.0,0.0,-110309000000.0,12675481000000.0,27831398000000.0,0.0,40506879000000.0,13161404000000.0,1342000000.0,-397949000000.0,-980000000.0,-110309000000.0,VCI,yearly
MBB,2017,2,-441793000000.0,2030748000000.0,9476050000000.0,-8214000000.0,-213730000000.0,27219000000.0,-322578000000.0,0.0,-3812000000.0,9141446000000.0,18689952000000.0,0.0,27831398000000.0,9467836000000.0,-1342000000.0,-134951000000.0,980000000.0,-3812000000.0,VCI,yearly
MBB,2017,1,-455204000000.0,1299757000000.0,-2862824000000.0,-38143000000.0,-140542000000.0,5441000000.0,-226632000000.0,0.0,-1031519000000.0,-4159118000000.0,22849070000000.0,0.0,18689952000000.0,-2900967000000.0,54000000.0,-92339000000.0,0.0,-1031519000000.0,VCI,yearly
MBB,2016,4,-318613000000.0,1167464000000.0,-58504000000.0,-79699000000.0,346949000000.0,-24620000000.0,722869000000.0,0.0,-18335000000.0,566331000000.0,22282739000000.0,0.0,22849070000000.0,-138203000000.0,-47772000000.0,0.0,463123000000.0,-18335000000.0,VCI,yearly
MBB,2016,3,-542545000000.0,1280168000000.0,3416964000000.0,-29548000000.0,-746311000000.0,30987000000.0,-668588000000.0,0.0,-993000000.0,2717835000000.0,19564904000000.0,0.0,22282739000000.0,3387416000000.0,310346000000.0,-278421000000.0,0.0,-993000000.0,VCI,yearly
