rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
50.9,69.0,26800,400,0.015,-0.058,11728545,MBB: Quyết định về việc thay đổi đăng ký niêm yết,TCBS,2025-10-02 15:22:00
54.3,71.0,26550,-250,-0.009,0.013,11721289,MBB: Thông báo quyết định của NHNN về việc sửa đổi nội dung vốn điều lệ tại Giấy phép thành lập và hoạt động của MBB,TCBS,2025-09-25 13:52:14
48.9,54.0,26350,200,0.008,0.006,11719246,MBB: Quyết định của HĐQT về việc thay đổi địa điểm Chi nhánh Gia Lâm,TCBS,2025-09-23 17:01:37
55.6,82.0,26600,-100,-0.004,0.094,11709938,MBB: CBTT chuyển nhượng vốn - Công ty TNHH MTV Vật tư Kỹ thuật CNQP,TCBS,2025-09-12 19:00:36
61.4,76.0,26700,-700,-0.026,0.164,11704969,MBB: Thông báo thay đổi tên Phòng GD Bà Triệu,TCBS,2025-09-08 17:40:22
61.4,76.0,26700,-700,-0.026,0.164,11704970,MBB: Thông báo công văn của VSDC về việc chứng nhận điều chỉnh thông tin số lượng cổ phiếu đăng ký của MBB,TCBS,2025-09-08 17:39:10
67.6,84.0,28450,700,0.025,0.363,11700368,"MBB: Thông qua hợp đồng, giao dịch giữa MB và MIC",TCBS,2025-09-03 17:55:13
66.8,85.0,27200,-200,-0.007,0.26,11687704,MBB: Thông báo công văn của UBCKNN về tài liệu báo cáo kết quả phát hành cổ phiếu để trả cổ tức của MBB,TCBS,2025-08-28 15:16:10
66.8,85.0,27200,-200,-0.007,0.26,11687283,MB đăng ký bán khớp lệnh 60 triệu cổ phiếu MBS,TCBS,2025-08-28 10:25:00
80.0,74.0,28200,400,0.014,0.394,11680750,MBB: Thông báo thay đổi số lượng cổ phiếu có quyền biểu quyết và báo cáo kết quả phát hành cổ phiếu để trả cổ tức,TCBS,2025-08-21 14:08:07
87.6,92.0,28250,650,0.024,0.415,11675184,MBB: Thông báo thay đổi mẫu dấu,TCBS,2025-08-15 17:11:51
75.1,82.0,22931,-150,-0.006,0.157,11667799,MBB: Quyết định của HĐQT về việc thay đổi địa chỉ Chi nhánh và Phòng giao dịch,TCBS,2025-08-08 18:16:13
75.1,82.0,22931,-150,-0.006,0.157,11667768,MBB: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền trả cổ tức bằng cổ phiếu và bằng tiền,TCBS,2025-08-08 17:54:05
59.3,63.0,22293,1426,0.068,0.125,11663621,MBB: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ Công đoàn cơ sở MBB,TCBS,2025-08-05 17:04:03
59.3,63.0,22293,1426,0.068,0.125,11662701,"Một ngân hàng lớn chuẩn bị trả cổ tức tỷ lệ 35%, gồm cả tiền mặt và cổ phiếu",TCBS,2025-08-05 09:51:00
