officer_name,officer_position,officer_own_percent
Do Van Hung,,0.0015
Luu Trung Thai,Legal Representative,0.0013
Luu Trung Thai,Chairman of Management Board,0.0013
Le Cong,Vice Chairman of Management Board,0.001
Le Cong,Spokesman,0.001
Le Cong,Member of Management Board,0.001
Le Cong,General Director,0.001
Vu Thi Hai Phuong,Vice Chairman of Management Board,0.0007
Vu Thi Hai Phuong,Spokesman,0.0007
Pham Nhu Anh,Member of Management Board,0.0007
Vu Thi Hai Phuong,Head of Supervisors Board,0.0007
Pham Nhu Anh,General Director,0.0007
Tran Minh Dat,Deputy General Director,0.0007
Nguyen Thi An Binh,,0.0006
Le Thi Loi,,0.0006
Pham Thi Trung Ha,Deputy General Director,0.0005
Tran Thi Bao Que,ROOT,0.0004
Tran Thi Bao Que,Member of Executive Committee,0.0004
Nguyen Thi Thanh Nga,Chief Financial Officer,0.0004
Le Quoc Minh,,0.0004
