ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
MBB,2025,2,21099126000000,0.2445710564486493,5877605000000,-0.02474700705139703,21099126000000,-8727009000000,12372117000000,4613875000000,-2698332000000,1915543000000,534121000000,246982000000,785944000000,1898103000000,-534306000000,1363797000000,27174000000,17245678000000,-4956470000000,12289208000000,-4786217000000,7502991000000,-1498285000000,-1496624000000,-1661000000,-127101000000,6004706000000,5877605000000,0,VCI,quarterly
MBB,2025,1,19590312000000,0.20479645260437607,6567740000000,0.4489692452486356,19590312000000,-7898128000000,11692184000000,3611961000000,-2376545000000,1235416000000,537800000000,168718000000,509329000000,1179210000000,0,1179210000000,40000000,15322697000000,-3949958000000,11372739000000,-2986414000000,8386325000000,-1711446000000,-1708859000000,-2587000000,-107139000000,6674879000000,6567740000000,0,VCI,quarterly
MBB,2024,4,18452076000000,0.08562946569329118,6284154000000,0.26026729686509176,18452076000000,-7309898000000,11142178000000,4149237000000,-2968479000000,1180758000000,484636000000,118195000000,2412338000000,2580669000000,-1377624000000,1203045000000,22361000000,16563511000000,-5246555000000,11316956000000,-3223836000000,8093120000000,-1711498000000,-1715348000000,3850000000,-97468000000,6381622000000,6284154000000,0,VCI,quarterly
MBB,2024,3,17396620000000,0.00428427783068934,5790156000000,0.0029257274696380645,17396620000000,-6979985000000,10416635000000,3436204000000,-2548181000000,888023000000,660609000000,226010000000,-172432000000,677927000000,0,677927000000,6993000000,12703765000000,-3755899000000,8947866000000,-1639970000000,7307896000000,-1464453000000,-1465240000000,787000000,-53287000000,5843443000000,5790156000000,0,VCI,quarterly
MBB,2024,2,16952930000000,-0.027978933206917897,6026749000000,0.23158376579520362,16952930000000,-6421817000000,10531113000000,3749761000000,-2395494000000,1354267000000,393436000000,447030000000,346241000000,1736820000000,-701420000000,1035400000000,21761000000,14129248000000,-4490504000000,9638744000000,-2005743000000,7633001000000,-1531018000000,-1535537000000,4519000000,-75234000000,6101983000000,6026749000000,0,VCI,quarterly
MBB,2024,1,16260267000000,-0.06459164745831979,4532698000000,-0.09773030112296567,16260267000000,-7197974000000,9062293000000,3267400000000,-2322199000000,945201000000,461483000000,964787000000,216958000000,364448000000,0,364448000000,1528000000,12016698000000,-3514292000000,8502406000000,-2707095000000,5795311000000,-1171095000000,-1172141000000,1046000000,-91518000000,4624216000000,4532698000000,0,VCI,quarterly
MBB,2023,4,16996661000000,0.11062647064396972,4986366000000,0.4520022678226311,16996661000000,-7833169000000,9163492000000,3758643000000,-2302925000000,1455718000000,289721000000,196087000000,-124027000000,761479000000,0,761479000000,7890000000,11750360000000,-3875911000000,7874449000000,-1587177000000,6287272000000,-1242184000000,-1256516000000,14332000000,-58722000000,5045088000000,4986366000000,0,VCI,quarterly
MBB,2023,3,17322406000000,0.3285934496555264,5773265000000,0.18324177789236867,17322406000000,-7510613000000,9811793000000,3240037000000,-2160948000000,1079089000000,224464000000,185957000000,180558000000,570677000000,0,570677000000,12612000000,12065150000000,-3333959000000,8731191000000,-1447404000000,7283787000000,-1463079000000,-1466726000000,3647000000,-47443000000,5820708000000,5773265000000,0,VCI,quarterly
MBB,2023,2,17440908000000,0.39749544034759926,4893495000000,0.058464458182878445,17440908000000,-7959538000000,9481370000000,3289999000000,-2429227000000,860772000000,324943000000,122498000000,108910000000,1123631000000,-494658000000,628973000000,33369000000,11560835000000,-4135168000000,7425667000000,-1202803000000,6222864000000,-1240424000000,-1240370000000,-54000000,-88945000000,4982440000000,4893495000000,0,VCI,quarterly
MBB,2023,1,17383068000000,0.49033451161578445,5023662000000,0.10502222841052843,17383068000000,-7155875000000,10227193000000,2848945000000,-2159299000000,689646000000,370697000000,37024000000,134963000000,466982000000,0,466982000000,3212000000,11929717000000,-3567903000000,8361814000000,-1849648000000,6512166000000,-1306610000000,-1306257000000,-353000000,-181894000000,5205556000000,5023662000000,0,VCI,quarterly
MBB,2022,4,15303670000000,0.49627863060958927,3434131000000,-0.026072413886985602,15303670000000,-5674068000000,9629602000000,3583934000000,-2360225000000,1223709000000,363478000000,5618000000,72380000000,451488000000,0,451488000000,5154000000,11751429000000,-3628414000000,8123015000000,-3585386000000,4537629000000,-937607000000,-933828000000,-3779000000,-165891000000,3600022000000,3434131000000,0,VCI,quarterly
MBB,2022,3,13038154000000,0.35974043635492914,4879193000000,0.6144635520896202,13038154000000,-3999525000000,9038629000000,3331326000000,-2547030000000,784296000000,401834000000,1472000000,169412000000,585491000000,0,585491000000,5116000000,10986250000000,-3728778000000,7257472000000,-961967000000,6295505000000,-1260603000000,-1258526000000,-2077000000,-155709000000,5034902000000,4879193000000,0,VCI,quarterly
MBB,2022,2,12480118000000,0.29524740029283936,4623202000000,0.7808766167981368,12480118000000,-3510712000000,8969406000000,3622219000000,-2611770000000,1010449000000,471628000000,34504000000,48957000000,902427000000,-335736000000,566691000000,120245000000,11221880000000,-3860555000000,7361325000000,-1374812000000,5986513000000,-1192694000000,-1201839000000,9145000000,-170617000000,4793819000000,4623202000000,0,VCI,quarterly
MBB,2022,1,11663870000000,0.2941037848630552,4546209000000,0.2796097397861805,11663870000000,-3278385000000,8385485000000,3706255000000,-2589141000000,1117114000000,467020000000,99534000000,1024499000000,537988000000,0,537988000000,1426000000,11633066000000,-3597881000000,8035185000000,-2125512000000,5909673000000,-1183231000000,-1188780000000,5549000000,-180233000000,4726442000000,4546209000000,0,VCI,quarterly
MBB,2021,4,10227821000000,0.1707927875704228,3526064000000,0.8263090425518139,10227821000000,-3058033000000,7169788000000,3819078000000,-2473644000000,1345434000000,416551000000,58567000000,180924000000,907984000000,0,907984000000,37607000000,10116855000000,-3462739000000,6654116000000,-2011426000000,4642690000000,-940295000000,-939058000000,-1237000000,-176331000000,3702395000000,3526064000000,0,VCI,quarterly
MBB,2021,3,9588708000000,0.17516438892225847,3022176000000,0.282148249621678,9588708000000,-3073514000000,6515194000000,2638414000000,-1712025000000,926389000000,356486000000,143062000000,264827000000,486373000000,0,486373000000,7846000000,8700177000000,-3023716000000,5676461000000,-1778158000000,3898303000000,-776090000000,-763340000000,-12750000000,-100037000000,3122213000000,3022176000000,0,VCI,quarterly
MBB,2021,2,9635316000000,0.236592015406905,2596026000000,0.1473722080594577,9635316000000,-3072780000000,6562536000000,3282045000000,-2252456000000,1029589000000,321897000000,19607000000,309425000000,1152594000000,-509572000000,643022000000,38526000000,8924602000000,-3086784000000,5837818000000,-2431410000000,3406408000000,-675911000000,-689678000000,13767000000,-134471000000,2730497000000,2596026000000,0,VCI,quarterly
MBB,2021,1,9013087000000,0.11544061582915371,3552809000000,1.074934691233937,9013087000000,-3061051000000,5952036000000,2568758000000,-1502792000000,1065966000000,236534000000,18359000000,672178000000,1216935000000,0,1216935000000,30856000000,9192864000000,-2803949000000,6388915000000,-1809057000000,4579858000000,-913526000000,-915498000000,1972000000,-113523000000,3666332000000,3552809000000,0,VCI,quarterly
MBB,2020,4,8735808000000,0.058567221525933466,1930705000000,0.032473609343415435,8735808000000,-2941898000000,5793910000000,2639766000000,-1549726000000,1090040000000,267593000000,23277000000,57375000000,475370000000,0,475370000000,6746000000,7714311000000,-3234848000000,4479463000000,-1925236000000,2554227000000,-544020000000,-552778000000,8758000000,-79502000000,2010207000000,1930705000000,0,VCI,quarterly
MBB,2020,3,8159461000000,0.0138094692580487,2357119000000,0.08339316131677331,8159461000000,-2994784000000,5164677000000,2011318000000,-1215603000000,795715000000,177555000000,27972000000,127822000000,425427000000,0,425427000000,16270000000,6735438000000,-2836321000000,3899117000000,-883677000000,3015440000000,-592131000000,-586636000000,-5495000000,-66190000000,2423309000000,2357119000000,0,VCI,quarterly
MBB,2020,2,7791831000000,0.009786144116922087,2262584000000,0.18059235620266717,7791831000000,-3167834000000,4623997000000,1960643000000,-1015731000000,944912000000,181218000000,49211000000,167440000000,847393000000,-308803000000,538590000000,68274000000,6573642000000,-2433788000000,4139854000000,-1216902000000,2922952000000,-533289000000,-542604000000,9315000000,-127079000000,2389663000000,2262584000000,1666,VCI,quarterly
MBB,2020,1,8080293000000,0.125469723803309,1712251000000,-0.07974615036098008,8080293000000,-3385082000000,4695211000000,1616446000000,-871560000000,744886000000,159443000000,-15374000000,513232000000,240163000000,0,240163000000,1221000000,6338782000000,-2050500000000,4288282000000,-2092625000000,2195657000000,-412797000000,-407402000000,-5395000000,-70609000000,1782860000000,1712251000000,0,VCI,quarterly
MBB,2019,4,8252483000000,0.23741726605868033,1869980000000,0.3467141982643765,8252483000000,-3363735000000,4888748000000,2019227000000,-1145999000000,873228000000,175541000000,215301000000,0,520585000000,0,520585000000,19672000000,6693075000000,-3059048000000,3634027000000,-1214312000000,2419715000000,-493206000000,-495558000000,2352000000,-56529000000,1926509000000,1869980000000,0,VCI,quarterly
