time,symbol,open,high,low,close,volume
2015-10-05,MSN,38.09,38.35,37.58,38.09,303610.0
2015-10-06,MSN,38.09,38.35,37.83,38.09,621550.0
2015-10-07,MSN,38.35,38.86,38.09,38.09,535450.0
2015-10-08,MSN,37.83,38.35,37.83,38.09,419880.0
2015-10-09,MSN,38.35,38.6,38.09,38.09,237210.0
2015-10-10,MSN,38.35,38.6,38.09,38.09,237210.0
2015-10-11,MSN,38.35,38.6,38.09,38.09,237210.0
2015-10-12,MSN,38.09,38.35,37.83,38.09,126450.0
2015-10-13,MSN,38.09,38.35,37.83,38.09,199180.0
2015-10-14,MSN,38.09,38.09,37.83,38.09,316750.0
2015-10-15,MSN,38.35,38.35,37.83,38.09,191440.0
2015-10-16,MSN,38.09,39.38,37.83,38.35,853210.0
2015-10-17,MSN,38.09,39.38,37.83,38.35,853210.0
2015-10-18,MSN,38.09,39.38,37.83,38.35,853210.0
2015-10-19,MSN,38.6,38.86,38.35,38.35,240820.0
2015-10-20,MSN,38.6,38.6,37.58,38.09,437050.0
2015-10-21,MSN,37.83,38.09,37.58,38.09,365430.0
2015-10-22,MSN,37.83,38.35,37.83,38.09,103550.0
2015-10-23,MSN,38.09,38.35,37.83,38.09,98100.0
2015-10-24,MSN,38.09,38.35,37.83,38.09,98100.0
2015-10-25,MSN,38.09,38.35,37.83,38.09,98100.0
2015-10-26,MSN,38.09,38.09,37.58,37.83,338560.0
2015-10-27,MSN,37.58,38.09,37.32,38.09,271830.0
2015-10-28,MSN,37.83,38.09,37.32,38.09,255940.0
2015-10-29,MSN,37.83,38.35,37.58,37.83,630820.0
2015-10-30,MSN,37.58,38.09,37.58,38.09,241610.0
2015-10-31,MSN,37.58,38.09,37.58,38.09,241610.0
2015-11-01,MSN,37.58,38.09,37.58,38.09,241610.0
2015-11-02,MSN,38.09,38.09,37.58,37.83,202820.0
2015-11-03,MSN,37.58,37.83,37.58,37.83,291740.0
2015-11-04,MSN,38.09,39.38,37.83,38.35,961390.0
2015-11-05,MSN,38.6,38.6,38.09,38.09,54650.0
2015-11-06,MSN,38.09,38.35,37.83,38.35,130670.0
2015-11-07,MSN,38.09,38.35,37.83,38.35,130670.0
2015-11-08,MSN,38.09,38.35,37.83,38.35,130670.0
2015-11-09,MSN,38.09,38.35,37.58,38.09,477620.0
2015-11-10,MSN,38.09,38.09,37.32,37.83,457570.0
2015-11-11,MSN,37.58,37.83,37.32,37.83,363150.0
2015-11-12,MSN,37.58,37.83,37.06,37.83,987880.0
2015-11-13,MSN,37.32,37.83,37.06,37.83,891760.0
2015-11-14,MSN,37.32,37.83,37.06,37.83,891760.0
2015-11-15,MSN,37.32,37.83,37.06,37.83,891760.0
2015-11-16,MSN,37.58,37.83,36.8,37.83,1542220.0
2015-11-17,MSN,37.58,37.83,37.06,37.83,1430700.0
