ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
MSN,2025,2,32650920000000,10552742000000,894755000000,9107965000000,10282782000000,1812676000000,90815639000000,79200000000,35634593000000,3405000000,37342600000000,0,11013518000000,123466559000000,81823900000000,36915519000000,44908381000000,41642659000000,41642659000000,-8388147000000,11557573000000,9168788000000,123466559000000,619658000000,81150000000,10397111000000,0,15129281000000,15129281000000,39144065000000,199937000000,21596782000000,3277452000000,7144539000000,2932523000000,4815891000000,4895091000000,VCI,yearly
MSN,2025,1,48551323000000,12769105000000,404193000000,23734255000000,9798127000000,1845643000000,94600840000000,79200000000,36348738000000,3785000000,36210272000000,0,11075636000000,143152163000000,99823728000000,52674701000000,47149027000000,43328435000000,43328435000000,-8388147000000,9834497000000,12578356000000,143152163000000,573046000000,81150000000,9994353000000,0,15129281000000,15129281000000,37107493000000,184616000000,24205929000000,3448411000000,6985737000000,2932523000000,9197299000000,9276499000000,VCI,yearly
MSN,2024,4,53569663000000,18617866000000,607993000000,21864602000000,10787396000000,1691806000000,94015055000000,79200000000,37049770000000,4166000000,35318781000000,0,11447080000000,147584718000000,106832338000000,58712175000000,48120163000000,40752380000000,40752380000000,-8388147000000,9326870000000,10510348000000,147584718000000,484488000000,81150000000,11001795000000,0,15129281000000,15129281000000,38825185000000,196922000000,26724166000000,3588102000000,7170989000000,2932523000000,8445190000000,8524390000000,VCI,yearly
MSN,2024,3,43529968000000,13225024000000,3107611000000,12366531000000,12858904000000,1971898000000,110761477000000,198440000000,43441721000000,673512000000,35621711000000,0,11685881000000,154291445000000,113111142000000,53667186000000,59443956000000,41180303000000,41180303000000,-8388147000000,8344645000000,11675551000000,154291445000000,720203000000,81150000000,13168525000000,0,15129281000000,15129281000000,36272353000000,482602000000,29466890000000,3748238000000,7230976000000,2951029000000,16862549000000,17060989000000,VCI,yearly
MSN,2024,2,48982369000000,18158242000000,3819013000000,12578145000000,12602125000000,1824844000000,108483486000000,0,42404983000000,688429000000,34554138000000,0,11902803000000,157465855000000,111259745000000,51329961000000,59929784000000,46206110000000,46206110000000,-8388147000000,12415680000000,12576068000000,157465855000000,671010000000,357610000000,12833737000000,0,14383516000000,15129281000000,38519825000000,593332000000,29351515000000,3912008000000,7310447000000,2964338000000,16453861000000,16453861000000,VCI,yearly
MSN,2024,1,42629110000000,8492733000000,5329176000000,14304720000000,12766285000000,1736196000000,103893307000000,0,43008471000000,692697000000,34441875000000,0,12158831000000,146522417000000,107688924000000,49428183000000,58260741000000,38833493000000,38833493000000,-8388147000000,11913103000000,12104887000000,146522417000000,708451000000,1591150000000,13103405000000,0,14308434000000,14308434000000,41447608000000,846984000000,28205405000000,4201332000000,7242835000000,2938727000000,11263431000000,11263431000000,VCI,yearly
MSN,2023,4,43763477000000,10124515000000,6794791000000,11985015000000,13174868000000,1684288000000,103619995000000,0,42885823000000,708670000000,33219467000000,0,12467850000000,147383472000000,109146231000000,50422500000000,58723731000000,38237241000000,38237241000000,-8388147000000,11798056000000,11677661000000,147383472000000,725077000000,81150000000,13496602000000,0,14308434000000,14308434000000,41541894000000,861932000000,28030197000000,4373139000000,7418042000000,2937702000000,11210955000000,11210955000000,VCI,yearly
MSN,2023,3,47845660000000,9477078000000,4780789000000,17765682000000,14026398000000,1795713000000,97226970000000,81150000000,42522211000000,697591000000,34299735000000,0,12882527000000,145072630000000,106999415000000,54028721000000,52970694000000,38073215000000,38073215000000,-8388147000000,11750525000000,11290086000000,145072630000000,875070000000,0,14443251000000,0,14308434000000,14308434000000,42922717000000,350226000000,25692693000000,4682258000000,7513304000000,2879146000000,3368196000000,3449346000000,VCI,yearly
MSN,2023,2,45883821000000,8829035000000,4623340000000,16745392000000,13902175000000,1783879000000,94974538000000,81150000000,42666209000000,710729000000,33247320000000,0,12611508000000,140858359000000,103334056000000,57503618000000,45830438000000,37524303000000,37524303000000,-8388147000000,11702149000000,11026873000000,140858359000000,1168734000000,0,14298203000000,0,14237248000000,14237248000000,37024147000000,573331000000,31045015000000,4715238000000,7344805000000,2876127000000,2054055000000,2135205000000,VCI,yearly
MSN,2023,1,51583262000000,16203728000000,4790093000000,15001820000000,13657155000000,1930466000000,94200357000000,81150000000,43084202000000,717980000000,32317714000000,0,12562962000000,145783619000000,108677511000000,61125017000000,47552494000000,37106108000000,37106108000000,-8388147000000,11596855000000,10712139000000,145783619000000,1304149000000,0,13794899000000,0,14237248000000,14237248000000,38691471000000,796413000000,36980336000000,4887978000000,7348329000000,2870843000000,2035143000000,2116293000000,VCI,yearly
