ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from disposal of fixed assets,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
MSN,2025,2,1846273000000.0,848014000000.0,134067000000.0,21888000000.0,0.0,-1104035000000.0,1220203000000.0,0.0,2966410000000.0,578577000000.0,-496954000000.0,-177473000000.0,41459000000.0,-1468708000000.0,-28186000000.0,0.0,-176000000.0,1346737000000.0,-363588000000.0,2761000000.0,-3482300000000.0,21849656000000.0,-755373000000.0,-508375000000.0,262606000000.0,17005387000000.0,1000000.0,-2551526000000.0,14677419000000.0,-32687317000000.0,-3030000000.0,-2033000000.0,-20566486000000.0,-2214362000000.0,12769105000000.0,-2001000000.0,10552742000000.0,VCI,quarterly
MSN,2025,1,1222369000000.0,879908000000.0,115575000000.0,6365000000.0,0.0,-1399366000000.0,1531673000000.0,0.0,2356524000000.0,-45232000000.0,1033754000000.0,-1654468000000.0,126287000000.0,-1164248000000.0,-728182000000.0,0.0,-342000000.0,-75907000000.0,-348114000000.0,8386000000.0,-4673174000000.0,2257701000000.0,-1057693000000.0,593044000000.0,111990000000.0,-3107860000000.0,2575063000000.0,0.0,13465001000000.0,-18699504000000.0,-2966000000.0,-4135000000.0,-2666541000000.0,-5850308000000.0,18617866000000.0,1547000000.0,12769105000000.0,VCI,quarterly
MSN,2024,4,2656630000000.0,974011000000.0,903345000000.0,93309000000.0,0.0,-1951120000000.0,1662454000000.0,0.0,4338629000000.0,-827783000000.0,-345960000000.0,2146126000000.0,341075000000.0,-2485001000000.0,-453516000000.0,0.0,-723000000.0,4433180000000.0,-1546327000000.0,-485000000.0,-17770550000000.0,19677015000000.0,-6557257000000.0,2901122000000.0,903936000000.0,-2392546000000.0,12876000000.0,0.0,41543173000000.0,-36818806000000.0,19841000000.0,-1395196000000.0,3361888000000.0,5402522000000.0,13225024000000.0,-9680000000.0,18617866000000.0,VCI,quarterly
MSN,2024,3,1565750000000.0,1174958000000.0,224158000000.0,2936000000.0,0.0,-1760966000000.0,1822702000000.0,0.0,3029538000000.0,56565000000.0,-344322000000.0,1441205000000.0,176383000000.0,-1490288000000.0,-81251000000.0,0.0,0.0,2577998000000.0,-933304000000.0,11740000000.0,-4465511000000.0,-35235000000.0,0.0,0.0,301007000000.0,-5121303000000.0,-63858000000.0,0.0,13845696000000.0,-15837648000000.0,-10564000000.0,-325541000000.0,-2391915000000.0,-4935220000000.0,18158242000000.0,2002000000.0,13225024000000.0,VCI,quarterly
MSN,2024,2,1168760000000.0,940218000000.0,134358000000.0,-32847000000.0,0.0,-1633438000000.0,1712918000000.0,0.0,2289969000000.0,561753000000.0,231035000000.0,-366347000000.0,-60632000000.0,-1599568000000.0,-214893000000.0,0.0,0.0,2549657000000.0,-222906000000.0,-29439000000.0,-14598276000000.0,10283509000000.0,0.0,1383184000000.0,1544166000000.0,-1639762000000.0,6409082000000.0,0.0,24468787000000.0,-22100133000000.0,-19614000000.0,-498000000.0,8757624000000.0,9667519000000.0,8492733000000.0,-2010000000.0,18158242000000.0,VCI,quarterly
MSN,2024,1,633663000000.0,1043768000000.0,100537000000.0,-50790000000.0,0.0,-1721749000000.0,1713341000000.0,0.0,1718770000000.0,-128088000000.0,360693000000.0,-1077620000000.0,171520000000.0,-1386162000000.0,-658699000000.0,0.0,0.0,-35373000000.0,-396763000000.0,52949000000.0,-3897935000000.0,2478837000000.0,0.0,0.0,222986000000.0,-1539926000000.0,53686000000.0,0.0,13748825000000.0,-13854728000000.0,-3771000000.0,-56000000.0,-56044000000.0,-1631343000000.0,10124515000000.0,-439000000.0,8492733000000.0,VCI,quarterly
MSN,2023,4,947833000000.0,1061973000000.0,-21819000000.0,-273811000000.0,0.0,-1589531000000.0,1798990000000.0,0.0,1806528000000.0,281835000000.0,915762000000.0,305010000000.0,153135000000.0,-2030131000000.0,-340305000000.0,0.0,0.0,-1874676000000.0,-462678000000.0,2101000000.0,-10690610000000.0,10978272000000.0,14304000000.0,708600000000.0,447733000000.0,997722000000.0,0.0,0.0,28875743000000.0,-27264488000000.0,-3708000000.0,-39451000000.0,1568096000000.0,691142000000.0,9477078000000.0,-43705000000.0,10124515000000.0,VCI,quarterly
MSN,2023,3,582905000000.0,1030043000000.0,91246000000.0,477305000000.0,0.0,-1494133000000.0,1894497000000.0,0.0,2581863000000.0,150372000000.0,-125544000000.0,323511000000.0,84964000000.0,-2444847000000.0,-196987000000.0,0.0,0.0,1800169000000.0,-385750000000.0,6245000000.0,-12044330000000.0,7784150000000.0,-14304000000.0,0.0,878872000000.0,-3775117000000.0,71136000000.0,0.0,23181403000000.0,-20525104000000.0,-3637000000.0,-204288000000.0,2519510000000.0,544562000000.0,8829035000000.0,103481000000.0,9477078000000.0,VCI,quarterly
MSN,2023,2,450891000000.0,946686000000.0,342539000000.0,-80390000000.0,0.0,-1395882000000.0,1886651000000.0,0.0,2150495000000.0,489257000000.0,-525040000000.0,-53068000000.0,110474000000.0,-1844932000000.0,-83519000000.0,0.0,0.0,916560000000.0,-531823000000.0,6211000000.0,-3706210000000.0,1531000000000.0,0.0,0.0,236892000000.0,-2463930000000.0,0.0,0.0,17362028000000.0,-23178757000000.0,-3964000000.0,-82000000.0,-5820775000000.0,-7368145000000.0,16203728000000.0,-6548000000.0,8829035000000.0,VCI,quarterly
MSN,2023,1,581345000000.0,1084961000000.0,-4621000000.0,-64011000000.0,0.0,-1390751000000.0,1842271000000.0,0.0,2049194000000.0,-469325000000.0,811223000000.0,-1017872000000.0,77655000000.0,-1582969000000.0,-195396000000.0,0.0,0.0,-341592000000.0,-848544000000.0,2904000000.0,-2232559000000.0,250743000000.0,0.0,0.0,245109000000.0,-2582347000000.0,0.0,0.0,21639905000000.0,-16356545000000.0,-3980000000.0,0.0,5279380000000.0,2355441000000.0,13853100000000.0,-4813000000.0,16203728000000.0,VCI,quarterly
