rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
53.7,69.0,86000.0,4000.0,0.049,0.029,11709889,MSN: Nghị quyết HĐQT ủy quyền cho TGĐ quyết định về công dấu của Công ty,TCBS,2025-09-12 17:41:35
53.7,69.0,86000.0,4000.0,0.049,0.029,11710658,MSN: Nghị quyết HĐQT ủy quyền cho TGĐ quyết định về con dấu của Công ty,TCBS,2025-09-12 17:41:00
58.8,66.0,84800.0,1800.0,0.022,0.147,11701792,MSN: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 34,TCBS,2025-09-04 16:50:06
57.1,66.0,83100.0,900.0,0.011,0.071,11687964,"MSN: Nghị quyết HĐQT về việc thông qua các giao dịch nội bộ, giao dịch đầu tư, mua bán và giao dịch bảo lãnh",TCBS,2025-08-28 18:27:15
65.7,66.0,81000.0,-3300.0,-0.039,0.042,11682849,MSN: Đính chính Báo cáo tình hình quản trị 6 tháng đầu năm 2023,TCBS,2025-08-22 18:55:10
71.9,68.0,83100.0,-1700.0,-0.02,0.115,11675301,MSN: Thông báo về việc niêm yết và giao dịch chứng khoán thay đổi niêm yết,TCBS,2025-08-15 19:10:00
76.2,73.0,84800.0,-1100.0,-0.013,0.126,11672738,MSN: Quyết định về việc thay đổi đăng ký niêm yết,TCBS,2025-08-14 10:02:00
58.6,51.0,82000.0,5300.0,0.069,0.072,11669235,MSN: Đường dẫn BCTC soát xét bán niên năm 2025 và Giải trình biến động lợi nhuận,TCBS,2025-08-11 17:12:26
58.6,51.0,82000.0,5300.0,0.069,0.072,11668721,Masan nâng tỷ lệ sở hữu tại công ty con CrownX từng được định giá 7 tỷ USD,TCBS,2025-08-11 10:40:00
45.1,35.0,73900.0,1400.0,0.019,-0.009,11661719,MSN: Điều lệ sửa đổi do tăng vốn điều lệ sau đợt phát hành cổ phiếu ESOP,TCBS,2025-08-04 15:49:57
45.1,35.0,73900.0,1400.0,0.019,-0.009,11661681,MSN: Nghị quyết HĐQT phê duyệt việc tăng vốn điều lệ sau đợt phát hành cổ phiếu ESOP,TCBS,2025-08-04 15:48:02
45.1,35.0,,,,,11660185,Giám đốc Công nghệ Masan Group tiết lộ kế hoạch chuyển đổi số tái cấu trúc toàn bộ Tập đoàn,TCBS,2025-08-03 07:25:00
46.5,30.0,72500.0,-500.0,-0.007,-0.056,11658331,MSN: Thông báo thay đổi số lượng cổ phiếu có quyền biểu quyết,TCBS,2025-07-31 17:51:27
46.5,30.0,72500.0,-500.0,-0.007,-0.056,11658327,MSN: Báo cáo kết quả giao dịch mua cổ phiếu ESOP của người nội bộ,TCBS,2025-07-31 17:50:00
46.5,30.0,72500.0,-500.0,-0.007,-0.056,11658181,MSN: Báo cáo kết quả đợt phát hành cổ phiếu ESOP,TCBS,2025-07-31 17:48:00
