officer_name,officer_position,officer_own_percent
Nguyen Hoang Yen,Member of Management Board,0.0336
Madhur Maini,Member of Management Board,0.0088
Nguyen Yen Linh,,0.0059
Nguyen Thi Thanh Thuy,,0.0054
Danny Le,Legal Representative,0.0026
Danny Le,General Director,0.0026
Michael Hung Nguyen,Deputy General Director,0.0024
Michael Hung Nguyen,Chief Financial Officer,0.0024
Nguyen Thieu Quang,,0.0019
Nguyen Quynh Lam,,0.0015
,,0.0008
Nguyen Anh Nguyen,,0.0007
Nguyen Thieu Nam,Member of Management Board,0.0005
Nguyen Thieu Nam,Deputy General Director,0.0005
Doan Thi My Duyen,Chief Financial Officer,0.0005
Tran Quang Chuc,Spokesman,0.0004
Pham Dinh Toai,Member of Supervisors Board,0.0003
Tran Phuong Bac,Spokesman,0.0002
Nguyen Huy Hung,Chief Accountant,0.0001
Dang Thi Binh An,,0.0001
