time,open,high,low,close,volume,data_source
2015-10-05,38.09,38.35,37.58,38.09,303610,TCBS
2015-10-06,38.09,38.35,37.83,38.09,621550,TCBS
2015-10-07,38.35,38.86,38.09,38.09,535450,TCBS
2015-10-08,37.83,38.35,37.83,38.09,419880,TCBS
2015-10-09,38.35,38.6,38.09,38.09,237210,TCBS
2015-10-12,38.09,38.35,37.83,38.09,126450,TCBS
2015-10-13,38.09,38.35,37.83,38.09,199180,TCBS
2015-10-14,38.09,38.09,37.83,38.09,316750,TCBS
2015-10-15,38.35,38.35,37.83,38.09,191440,TCBS
2015-10-16,38.09,39.38,37.83,38.35,853210,TCBS
2015-10-19,38.6,38.86,38.35,38.35,240820,TCBS
2015-10-20,38.6,38.6,37.58,38.09,437050,TCBS
2015-10-21,37.83,38.09,37.58,38.09,365430,TCBS
2015-10-22,37.83,38.35,37.83,38.09,103550,TCBS
2015-10-23,38.09,38.35,37.83,38.09,98100,TCBS
2015-10-26,38.09,38.09,37.58,37.83,338560,TCBS
2015-10-27,37.58,38.09,37.32,38.09,271830,TCBS
2015-10-28,37.83,38.09,37.32,38.09,255940,TCBS
2015-10-29,37.83,38.35,37.58,37.83,630820,TCBS
2015-10-30,37.58,38.09,37.58,38.09,241610,TCBS
2015-11-02,38.09,38.09,37.58,37.83,202820,TCBS
2015-11-03,37.58,37.83,37.58,37.83,291740,TCBS
2015-11-04,38.09,39.38,37.83,38.35,961390,TCBS
2015-11-05,38.6,38.6,38.09,38.09,54650,TCBS
2015-11-06,38.09,38.35,37.83,38.35,130670,TCBS
2015-11-09,38.09,38.35,37.58,38.09,477620,TCBS
2015-11-10,38.09,38.09,37.32,37.83,457570,TCBS
2015-11-11,37.58,37.83,37.32,37.83,363150,TCBS
2015-11-12,37.58,37.83,37.06,37.83,987880,TCBS
2015-11-13,37.32,37.83,37.06,37.83,891760,TCBS
2015-11-16,37.58,37.83,36.8,37.83,1542220,TCBS
2015-11-17,37.58,37.83,37.06,37.83,1430700,TCBS
2015-11-18,37.32,37.83,37.32,37.58,541670,TCBS
2015-11-19,37.32,37.58,37.32,37.58,772000,TCBS
2015-11-20,37.32,37.58,37.32,37.32,1181700,TCBS
2015-11-23,37.06,37.58,36.8,36.8,129960,TCBS
2015-11-24,36.8,37.06,35.77,36.29,867410,TCBS
2015-11-25,36.29,36.29,35.77,36.29,530220,TCBS
2015-11-26,36.03,36.55,35.77,36.03,372390,TCBS
2015-11-27,35.77,36.03,35.52,35.52,176500,TCBS
2015-11-30,35.52,36.03,35.26,36.03,1203320,TCBS
2015-12-01,35.77,36.29,35.52,36.29,510310,TCBS
2015-12-02,36.03,36.55,35.77,36.55,398410,TCBS
2015-12-03,36.55,36.8,36.29,36.8,168430,TCBS
2015-12-04,36.8,37.06,36.55,37.06,436430,TCBS
2015-12-07,37.06,37.06,36.29,37.06,385540,TCBS
2015-12-08,36.55,37.06,36.55,37.06,154180,TCBS
2015-12-09,36.8,37.06,36.55,36.8,543860,TCBS
2015-12-10,36.55,36.8,36.03,36.8,309310,TCBS
2015-12-11,36.8,36.8,36.29,36.55,149220,TCBS
2015-12-14,36.29,36.55,35.77,35.77,410270,TCBS
2015-12-15,35.52,35.77,35.26,35.77,361620,TCBS
2015-12-16,35.77,35.77,35.26,35.52,226940,TCBS
2015-12-17,35.52,35.52,34.74,35.0,762840,TCBS
2015-12-18,34.74,37.06,34.49,36.55,1883020,TCBS
2015-12-21,36.29,36.29,35.0,35.0,653570,TCBS
2015-12-22,35.0,35.77,34.74,35.0,894970,TCBS
2015-12-23,34.49,35.52,34.49,35.52,294970,TCBS
2015-12-24,35.52,36.29,35.26,36.29,190230,TCBS
2015-12-25,37.06,38.6,36.8,38.6,870300,TCBS
2015-12-28,40.92,41.18,40.41,41.18,1959360,TCBS
2015-12-29,41.18,41.18,40.15,40.15,207360,TCBS
2015-12-30,39.89,40.41,39.64,39.64,86930,TCBS
2015-12-31,39.38,39.89,38.09,39.89,394010,TCBS
2016-01-04,39.38,39.89,38.86,38.86,92620,TCBS
2016-01-05,38.86,38.86,37.58,38.6,243440,TCBS
2016-01-06,37.83,39.12,37.83,39.12,144590,TCBS
2016-01-07,38.35,40.41,38.09,39.89,375660,TCBS
2016-01-08,39.12,40.15,39.12,39.38,75080,TCBS
2016-01-11,39.12,39.38,38.6,39.12,159030,TCBS
2016-01-12,39.64,39.64,38.86,39.38,119130,TCBS
2016-01-13,39.38,39.38,38.6,38.6,72760,TCBS
2016-01-14,38.09,38.86,37.83,38.09,173530,TCBS
2016-01-15,38.6,38.6,36.03,36.03,234560,TCBS
2016-01-18,35.26,36.03,34.74,36.03,126500,TCBS
2016-01-19,36.03,36.55,35.26,36.55,50490,TCBS
2016-01-20,36.03,37.06,35.77,36.8,162910,TCBS
2016-01-21,36.8,37.83,36.8,36.8,88430,TCBS
2016-01-22,36.8,36.8,35.77,36.55,77780,TCBS
2016-01-25,37.32,38.09,36.8,38.09,83770,TCBS
2016-01-26,37.06,38.6,37.06,37.83,93100,TCBS
2016-01-27,37.32,38.35,37.32,37.83,137500,TCBS
2016-01-28,38.09,38.09,37.06,37.58,42820,TCBS
2016-01-29,37.32,37.58,37.06,37.32,160350,TCBS
2016-02-01,37.32,37.32,36.8,36.8,51260,TCBS
2016-02-02,37.06,38.35,36.29,36.29,92570,TCBS
2016-02-03,37.06,37.32,36.29,37.06,98450,TCBS
2016-02-04,37.06,38.09,37.06,37.83,101460,TCBS
2016-02-05,37.83,38.09,37.32,37.83,23030,TCBS
2016-02-15,36.8,37.83,36.55,37.06,135790,TCBS
2016-02-16,36.8,37.32,36.8,37.06,111070,TCBS
2016-02-17,37.32,37.32,36.8,37.06,113100,TCBS
2016-02-18,36.8,37.58,36.8,37.06,75490,TCBS
2016-02-19,37.32,37.32,36.8,36.8,125160,TCBS
2016-02-22,36.8,38.86,36.8,38.35,256860,TCBS
2016-02-23,38.86,38.86,37.83,38.09,88940,TCBS
2016-02-24,38.09,38.09,37.83,37.83,28430,TCBS
2016-02-25,38.35,38.35,37.06,37.06,127080,TCBS
2016-02-26,37.58,38.09,36.8,38.09,72350,TCBS
2016-02-29,37.58,38.09,37.06,37.06,137790,TCBS
2016-03-01,37.06,37.32,37.06,37.06,80880,TCBS
2016-03-02,37.06,37.83,37.06,37.58,116760,TCBS
2016-03-03,37.83,38.86,37.83,38.35,252210,TCBS
2016-03-04,38.86,38.86,38.09,38.35,160570,TCBS
2016-03-07,38.35,39.64,38.09,38.35,320530,TCBS
2016-03-08,38.6,38.86,38.35,38.6,138590,TCBS
2016-03-09,38.86,39.12,38.86,38.86,54060,TCBS
2016-03-10,38.86,38.86,38.09,38.35,153780,TCBS
2016-03-11,38.09,38.6,37.83,37.83,236980,TCBS
2016-03-14,38.09,38.6,38.09,38.6,263000,TCBS
2016-03-15,38.6,38.6,37.58,37.83,254170,TCBS
2016-03-16,38.09,38.09,37.58,37.58,237120,TCBS
2016-03-17,37.83,38.09,37.06,37.32,903720,TCBS
2016-03-18,37.32,37.32,36.8,36.8,1188240,TCBS
2016-03-21,37.06,37.32,36.03,36.03,485990,TCBS
2016-03-22,36.29,36.55,35.52,36.03,323900,TCBS
2016-03-23,36.03,37.32,36.03,37.06,545030,TCBS
2016-03-24,37.06,39.38,37.06,37.83,1122090,TCBS
2016-03-25,38.09,38.35,37.06,38.09,342700,TCBS
2016-03-28,38.09,38.35,37.83,38.35,220710,TCBS
2016-03-29,38.09,38.09,37.32,37.32,375020,TCBS
2016-03-30,37.06,37.83,37.06,37.32,340720,TCBS
2016-03-31,37.32,37.32,36.8,36.8,420860,TCBS
2016-04-01,36.55,37.06,36.29,36.55,331930,TCBS
2016-04-04,36.55,36.8,35.77,36.03,384220,TCBS
2016-04-05,36.03,36.55,35.77,36.29,399050,TCBS
2016-04-06,36.8,36.8,35.77,36.55,428160,TCBS
2016-04-07,36.8,36.8,36.03,36.55,208440,TCBS
2016-04-08,36.03,36.29,35.52,35.77,599800,TCBS
2016-04-11,35.77,36.55,35.77,36.55,694480,TCBS
2016-04-12,36.55,36.55,36.03,36.03,235220,TCBS
2016-04-13,36.29,36.29,35.52,35.52,239340,TCBS
2016-04-14,35.77,36.29,35.77,35.77,197410,TCBS
2016-04-15,36.03,36.03,35.52,35.77,155690,TCBS
2016-04-19,35.77,36.03,35.0,35.52,427350,TCBS
2016-04-20,35.52,35.52,34.74,34.74,214480,TCBS
2016-04-21,34.74,36.03,34.74,36.03,334330,TCBS
2016-04-22,35.77,36.03,35.52,35.52,195010,TCBS
2016-04-25,35.77,36.03,34.74,35.26,339790,TCBS
2016-04-26,35.0,36.03,35.0,35.52,465120,TCBS
2016-04-27,35.52,36.03,35.26,35.77,381930,TCBS
2016-04-28,35.77,36.03,35.52,35.52,232460,TCBS
2016-04-29,35.52,36.8,35.52,36.03,681090,TCBS
2016-05-04,36.55,36.8,36.03,36.55,504510,TCBS
2016-05-05,36.55,36.8,36.29,36.55,403090,TCBS
2016-05-06,36.55,38.09,36.55,37.32,1012480,TCBS
2016-05-09,37.32,38.09,36.8,36.8,232020,TCBS
2016-05-10,36.55,37.06,36.03,36.8,380290,TCBS
2016-05-11,37.06,37.06,36.29,37.06,353890,TCBS
2016-05-12,37.06,37.32,36.8,37.06,229250,TCBS
2016-05-13,37.06,37.06,36.29,36.29,272690,TCBS
2016-05-16,36.55,36.8,36.29,36.55,287960,TCBS
2016-05-17,36.8,37.06,36.55,36.55,201400,TCBS
2016-05-18,36.8,37.06,36.55,36.8,134110,TCBS
2016-05-19,36.8,37.06,36.03,36.03,294740,TCBS
2016-05-20,36.03,36.03,35.52,35.77,413900,TCBS
2016-05-23,35.77,36.03,35.52,35.77,150590,TCBS
2016-05-24,36.03,36.55,35.77,36.55,353360,TCBS
