ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
MSN,2025,2,-0.08802710379718065,18425059000000,1032192000000,1.0537987213899562,367427000000,-1111787000000,18425059000000,-109919000000,18315140000000,-12625712000000,5689428000000,-1387959000000,1241070000000,-3328768000000,-956663000000,1624535000000,238346000000,0,-16608000000,221738000000,1846273000000,-183243000000,-43654000000,1619376000000,587184000000,1032192000000,VCI,quarterly
MSN,2025,1,0.00021343706420406505,18946395000000,393500000000,2.770746291540496,576758000000,-1392622000000,18946395000000,-49857000000,18896538000000,-12702295000000,6194243000000,-1882532000000,1190093000000,-3709832000000,-849360000000,1519370000000,11235000000,0,-308236000000,-297001000000,1222369000000,-217864000000,-21465000000,983040000000,589540000000,393500000000,VCI,quarterly
MSN,2024,4,0.08991401708517521,22735941000000,691055000000,12.790760327279983,1967701000000,-1526425000000,22735941000000,-34410000000,22701531000000,-15638991000000,7062540000000,-1917003000000,763709000000,-3604582000000,-905824000000,3366541000000,68022000000,0,-777933000000,-709911000000,2656630000000,-605522000000,-504550000000,1546558000000,855503000000,691055000000,VCI,quarterly
MSN,2024,3,0.06568735718869959,21574637000000,701071000000,13.492124193815116,854509000000,-1707361000000,21574637000000,-87742000000,21486895000000,-15066285000000,6420610000000,-2032036000000,1158157000000,-3678318000000,-1129210000000,1593712000000,35316000000,0,-63278000000,-27962000000,1565750000000,-371275000000,106538000000,1301013000000,599942000000,701071000000,VCI,quarterly
MSN,2024,2,0.08057926726049318,20203516000000,502577000000,3.7730829866849014,647309000000,-1549022000000,20203516000000,-69120000000,20134396000000,-14216646000000,5917750000000,-2051759000000,1273366000000,-3702498000000,-910503000000,1173665000000,58136000000,0,-63041000000,-4905000000,1168760000000,-239401000000,16603000000,945962000000,443385000000,502577000000,VCI,quarterly
MSN,2024,1,0.012150712435703816,18942352000000,104356000000,-0.5144312867877998,574011000000,-1621898000000,18942352000000,-87454000000,18854898000000,-13600060000000,5254838000000,-1899341000000,1248537000000,-3579977000000,-971437000000,626631000000,18552000000,0,-11520000000,7032000000,633663000000,-294738000000,139926000000,478851000000,374495000000,104356000000,VCI,quarterly
MSN,2023,4,0.00667352957612526,20860307000000,50110000000,-0.887909629795325,644411000000,-1669014000000,20860307000000,-78387000000,20781920000000,-15014087000000,5767833000000,-1614622000000,945882000000,-3820368000000,-1030071000000,893065000000,84343000000,0,-29575000000,54768000000,947833000000,-495321000000,64264000000,516776000000,466666000000,50110000000,VCI,quarterly
MSN,2023,3,0.03406823443684531,20244809000000,48376000000,-0.9109351842475905,420977000000,-1744521000000,20244809000000,-89898000000,20154911000000,-14215276000000,5939635000000,-2386183000000,1048977000000,-3623606000000,-956812000000,442988000000,163235000000,0,-23318000000,139917000000,582905000000,-318800000000,220408000000,484513000000,436137000000,48376000000,VCI,quarterly
MSN,2023,2,0.04673486601218017,18696931000000,105294000000,-0.8926569281005107,689805000000,-1785953000000,18696931000000,-88370000000,18608561000000,-13281084000000,5327477000000,-2139281000000,923588000000,-3432137000000,-902880000000,466572000000,18075000000,0,-33756000000,-15681000000,450891000000,-256119000000,234415000000,429187000000,323893000000,105294000000,VCI,quarterly
MSN,2023,1,0.027235279856328305,18714952000000,214915000000,-0.865331353234579,650012000000,-1746572000000,18714952000000,-8725000000,18706227000000,-13620060000000,5086167000000,-1989427000000,977535000000,-3316244000000,-860239000000,547804000000,44323000000,0,-10782000000,33541000000,581345000000,-218546000000,76652000000,439451000000,224536000000,214915000000,VCI,quarterly
