ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
MWG,2025,2,75933600138863,6030067748439,34303249939745,11374184436260,23691724133318,534373881101,5067799108905,0,2977795755305,1211059390404,0,379627026598,81001399247768,50985234350916,50985234350916,0,30016164896852,30016164896852,0,14297771841487,374192144379,81001399247768,38235583466,7929000000000,24132788913496,0,14796931770000,14796931770000,0,91483894773,31537973205989,0,79314425325,392831179367,392831179367,VCI,quarterly
MWG,2025,1,68350202307085,2658218136149,32390515015620,9862532179881,22808478321986,630458653449,4329022407862,0,3233901626643,245165572130,0,395223532870,72679224714947,43010091137156,43010091137156,0,29669133577791,29669133577791,0,14128082357783,365640314393,72679224714947,62660193813,6972000000000,23243566847543,0,14622441770000,14622441770000,0,74354490258,26222186029667,0,94346155484,398376958399,398376958399,VCI,quarterly
MWG,2024,4,65836422620040,4897331540730,29324441756320,8825896224771,22244676326705,544076771514,4601353101564,0,3586628664045,242035797830,0,358454413877,70437775721604,42316198897749,42316198897749,0,28121576823855,28121576823855,0,12582145266842,364020651398,70437775721604,115888383111,6037714596101,22667774012643,0,14622441770000,14622441770000,0,90966314915,27300246721779,0,68471833530,389707802472,389707802472,VCI,quarterly
MWG,2024,3,61074953380269,9752339611719,21548922441819,7355271408055,21853578009429,564841909247,5825089761066,0,4172053614940,954837182399,0,290295051827,66900043141335,39624478410590,33471434719176,6153043691414,27275564730745,27275564730745,0,11735140884637,359711951531,66900043141335,99504470546,4536444000000,22212929474722,0,14622441770000,14622441770000,6151875000000,105104143804,17815809454540,107435776206,65335388244,397943974045,397943974045,VCI,quarterly
MWG,2024,2,59688208633825,5776462799036,25180620627700,7120709443487,21040831426681,569584336921,6181616403325,0,4963437616643,409735189099,0,394567740029,65869825037150,39393065032134,33260021340720,6133043691414,26476760005016,26476760005016,0,10941518177431,354529877223,65869825037150,89769785614,4079054912328,21319351807165,0,14622441770000,14622441770000,6131875000000,66936043455,16896538090308,214871552412,73485826589,411637054880,411637054880,VCI,quarterly
MWG,2024,1,56259440492906,5570878069236,24673243705959,4862847451165,20492369388618,660101877928,7284090676792,0,5800295210430,626146680251,0,427378020040,63543531169698,37509371821306,31420953129892,6088418691414,26034159348392,26034159348392,0,9062760763129,753272607994,63543531169698,47835419540,1820000000000,20759701168631,0,14633767160000,14633767160000,6087250000000,73645237397,17573259019801,230219520441,88037008961,428907077138,428907077138,VCI,quarterly
MWG,2023,4,51946979209618,5365704857172,18937008073823,5158853337785,21824235626176,661177314662,8160899236677,9244973329,6500135608914,746632252729,0,452067531470,60107878446295,36748320478957,30761901787543,5986418691414,23359557967338,23359557967338,0,8160323595574,13401030472,60107878446295,95981093251,2085917697638,22028684523096,0,14633767160000,14633767160000,5985250000000,88995836420,19128541817781,245567488471,105411103799,448325013301,457569986630,VCI,quarterly
MWG,2023,3,49825377770911,2351917872085,20901865637222,3076466093091,22853546635654,641581532859,8819420082454,9744723329,7370760159443,231034840000,0,577904496828,58644797853365,35374645192264,29475270192264,5899375000000,23270152661101,23270152661101,0,8070066037983,13451365961,58644797853365,182052135682,16917697638,23080345901883,0,14633767160000,14633767160000,5899375000000,100423104927,17026618308464,260915456501,154743817113,470227965788,479972689117,VCI,quarterly
MWG,2023,2,49859318033009,3441539364017,20978938278068,2616211969186,22122248996255,700379425483,9509184001159,9744723329,8195522086549,231034840000,0,592185687837,59368502034168,36136108083222,30236733083222,5899375000000,23232393950946,23232393950946,0,8031326812078,13374728747,59368502034168,157337870026,16917697638,22404226573742,0,14633767160000,14633767160000,5899375000000,70529398738,16337283059017,276263424531,137493454361,477080612132,486825335461,VCI,quarterly
MWG,2023,1,43359007145864,2781240200379,17028152930606,1916483442480,20957418654686,675711917713,10560009308621,9744723329,9102248126679,231034840000,0,640218535512,53919016454485,29965599051004,24064349051004,5901250000000,23953417403481,23953417403481,0,8745201169916,14522468026,53919016454485,317182014758,16917697638,21267470463002,0,14638792800000,14638792800000,5901250000000,73547466237,11313106175626,291611392560,157310297472,492831944003,502576667332,VCI,quarterly
