rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
53.5,63.0,77800.0,1300.0,0.017,0.131,11718765,Thế Giới Di Động và Điện máy Xanh tăng trưởng doanh thu 15% dù đóng hơn 150 cửa hàng,TCBS,2025-09-23 13:27:00
60.3,63.0,,,,,11716734,"Sau tuyên bố ""Bắc tiến"", Bách Hóa Xanh tăng tốc mở mới cửa hàng trong tháng 8",TCBS,2025-09-21 00:01:00
60.3,63.0,,,,,11716694,"Thế giới Di động lập đỉnh doanh thu mới 13.300 tỷ sau 6 tháng tăng liên tiếp, chứng kiến điều bất ngờ tại Indonesia",TCBS,2025-09-20 09:50:00
59.0,62.0,78500.0,500.0,0.006,0.121,11715099,MWG: Thông báo về việc thay đổi mẫu con dấu của Công ty,TCBS,2025-09-18 17:30:50
66.7,72.0,78000.0,-2300.0,-0.029,0.114,11713927,MWG: Báo cáo về ngày không còn là cổ đông lớn của nhóm NĐT có liên quan,TCBS,2025-09-17 17:13:00
64.4,78.0,79500.0,500.0,0.006,0.128,11711310,MWG: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ Quỹ Từ Thiện Mái Ấm Thế giới Di Động,TCBS,2025-09-15 17:27:28
64.4,78.0,79500.0,500.0,0.006,0.128,11711246,"Tỷ phú Phạm Nhật Vượng ""bắt tay"" ông Nguyễn Đức Tài triển khai hơn 2.000 trạm sạc, điểm đổi pin VinFast tại cửa hàng Thế Giới Di Động",TCBS,2025-09-15 17:00:00
57.6,54.0,74000.0,-1000.0,-0.013,0.028,11704915,MWG: Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ Phạm Văn Trọng,TCBS,2025-09-08 17:04:25
61.8,66.0,75000.0,1400.0,0.019,0.068,11686562,MWG: Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ Qũy Từ Thiện Mái Ấm Thế Giới Di Động,TCBS,2025-08-27 15:41:00
53.8,59.0,68800.0,-1500.0,-0.021,-0.019,11683005,"Thế giới Di động của ông Nguyễn Đức Tài thu hơn 86.700 tỷ sau 7 tháng, tăng tốc hiện diện Bách Hóa Xanh",TCBS,2025-08-25 00:02:00
51.1,36.0,71000.0,1600.0,0.023,0.029,11680901,Bách hoá Xanh kỳ vọng sẽ IPO năm 2028 khi đã xoá lỗ luỹ kế,TCBS,2025-08-21 15:01:00
56.0,41.0,70000.0,-500.0,-0.007,0.004,11676781,MWG: Thành viên HĐQT đăng ký bán 500.000 cổ phiếu,TCBS,2025-08-18 17:15:00
56.0,41.0,70000.0,-500.0,-0.007,0.004,11675432,Đầu tư Thế giới Di động (MWG) sẽ niêm yết cả ba chuỗi bán lẻ cốt lõi,TCBS,2025-08-18 08:45:00
66.6,46.0,72200.0,100.0,0.001,0.061,11669750,MWG muốn niêm yết độc lập chuỗi MW và BHX trước 2030,TCBS,2025-08-12 09:25:00
66.4,62.0,,,,,11667845,MWG muốn niêm yết độc lập chuỗi Thế Giới Di Động và Bách Hóa Xanh,TCBS,2025-08-09 00:01:00
