officer_name,officer_position,officer_own_percent
Nguyen Duc Tai,Chairman of Management Board,0.0222
Dinh Anh Huan,,0.0222
DIEU CHINH HAI TRIEU,,0.008
Tran Huy Thanh Tung,Spokesman,0.0075
Tran Huy Thanh Tung,Head of Supervisors Board,0.0075
Tran Kinh Doanh,Member of Management Board,0.0065
Nguyen Xuan Doai,,0.0051
Robert Alan Willett,Member of Management Board,0.0047
Nguyen Thi Thu Huong,,0.0045
Phan Thi Thu Hien,,0.004
Doan Van Hieu Em,,0.0025
Pham Van Trong,Member of Management Board,0.0018
DANG MINH LUOM,,0.0015
Vu Dang Linh,Member of Management Board,0.0009
Vu Dang Linh,General Director,0.0009
Ly Tran Kim Ngan,Chief Accountant,0.0008
Nguyen Thi Thu Thao,,0.0007
Le Thi Thu Trang,,0.0002
Nguyen Thi Thu Tam,,0.0002
Trinh Quang Khai,,0.0001
