ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
MWG,2025,2,0.1006139682996812,37844160678840,1648146246704,0.4059359432709086,768832246965,-375178482038,37844160678840,-224192018870,37619968659970,-30051267999814,7568700660156,-402454468644,11121630774,-4703283205201,-1201666094080,2041250769970,1186376818,-14232391412,-13046014594,2028204755376,-370110858352,-564776114,1657529120910,9382874206,1648146246704,VCI,yearly
MWG,2025,1,0.14669064430310894,36332913479242,1545937090941,0.7130689498632393,693293667931,-322792850500,36332913479242,-197955061033,36134958418209,-28934547803004,7200410615205,-339023162705,3129774300,-4403006343750,-1214599786616,1940204764365,12087549570,-17630926715,-5543377145,1934661387220,-397722415583,10894797039,1547833768676,1896677735,1545937090941,VCI,yearly
MWG,2024,4,0.09922257812455582,34793923302149,847004382205,8.38430426007294,635695584388,-323470486929,34793923302149,-220002524817,34573920777332,-27986951875213,6586968902119,-189071963171,2422520118,-5123108197082,-916356723640,996550122732,8777694085,30143437181,38921131266,1035471253998,-356954512092,173627384384,852144126290,5139744085,847004382205,VCI,yearly
MWG,2024,3,0.12583952909684865,34361569620937,800149979434,19.654774604846352,575388786548,-303696061820,34361569620937,-214900932986,34146668687951,-27254757625648,6891911062303,-330440626256,147877008,-4848950073481,-967618855194,1320438170928,6069253262,-258462023583,-252392770321,1068045400607,-273572425416,11313526349,805786501540,5636522106,800149979434,VCI,yearly
MWG,2024,2,0.15675480380843942,34384590572937,1172276912467,66.35030622967277,580108784951,-243089634104,34384590572937,-250519038985,34134071533952,-26826357532252,7307714001700,-293717254558,-26681279547,-5056436083812,-813335766167,1697652402567,-13729722842,-167879586433,-181609309275,1516043093292,-340747935233,-2911129611,1172384028448,107115981,1172276912467,VCI,yearly
MWG,2024,1,0.15913361646773377,31685017802969,902437167555,41.43379710878742,585309449376,-266979946895,31685017802969,-198525953402,31486491849567,-24773875738668,6712616110899,-375235765525,-20485572478,-4821343255507,-868456238101,1212404728664,24626671159,-30828134642,-6201463483,1206203265181,-311262244178,8032551439,902973572442,536404887,902437167555,VCI,yearly
MWG,2023,4,0.025112946053124915,31653210181975,90257557591,-0.8541977130177426,603394491753,-329035164103,31653210181975,-231721479826,31421488702149,-25235028171607,6186460530542,-418580725428,0,-5607079567766,-300975912573,463218816528,6948746152,-251242339368,-244293593216,218925223312,-66282219888,-62324975429,90318027995,60470404,90257557591,VCI,yearly
MWG,2023,3,-0.05573880615254372,30520841321411,38739225905,-0.9572530790875805,619115610735,-438383487662,30520841321411,-233184034458,30287657286953,-24609172513201,5678484773752,-444911058770,0,-5314324273437,-341530615165,196834437115,10998898676,-25817248670,-14818349994,182016087121,-127016638271,-16183585731,38815863119,76637214,38739225905,VCI,yearly
MWG,2023,2,-0.1434405248950857,29725046708024,17405665662,-0.9845969059213063,585368718654,-384520976326,29725046708024,-260216264133,29464830443891,-24023662436242,5441168007649,-396875094839,0,-5211133500533,-229156805109,189371325822,5463565025,-65050415045,-59586850020,129784475802,-99502489884,-12868036535,17413949383,8283721,17405665662,VCI,yearly
MWG,2023,1,-0.2575855531524388,27335086613676,21266943546,-0.9852769438003197,359084893949,-295778726706,27335086613676,-229274591227,27105812022449,-21891312170662,5214499851787,-295779227945,0,-4784685911213,-324692291418,168427315160,13472209198,-22932942697,-9460733499,158966581661,-140455828472,2770561253,21281314442,14370896,21266943546,VCI,yearly
