time,symbol,open,high,low,close,volume
2017-04-21,PLX,36.22,36.22,32.17,34.19,4820970.0
2017-04-22,PLX,36.22,36.22,32.17,34.19,4820970.0
2017-04-23,PLX,36.22,36.22,32.17,34.19,4820970.0
2017-04-24,PLX,34.19,34.61,33.56,33.84,1757390.0
2017-04-25,PLX,33.63,33.84,31.5,31.57,2533550.0
2017-04-26,PLX,30.14,31.12,30.14,30.84,1743790.0
2017-04-27,PLX,30.84,32.1,30.84,32.1,825430.0
2017-04-28,PLX,32.24,32.86,32.24,32.62,781910.0
2017-04-29,PLX,32.24,32.86,32.24,32.62,781910.0
2017-04-30,PLX,32.24,32.86,32.24,32.62,781910.0
2017-05-01,PLX,32.24,32.86,32.24,32.62,781910.0
2017-05-02,PLX,32.24,32.86,32.24,32.62,781910.0
2017-05-03,PLX,32.62,32.72,32.17,32.69,521490.0
2017-05-04,PLX,32.69,33.22,32.66,33.22,2947740.0
2017-05-05,PLX,32.94,33.22,32.86,32.94,1274310.0
2017-05-06,PLX,32.94,33.22,32.86,32.94,1274310.0
2017-05-07,PLX,32.94,33.22,32.86,32.94,1274310.0
2017-05-08,PLX,32.86,33.22,32.59,33.22,1414880.0
2017-05-09,PLX,33.22,33.22,32.8,32.8,864620.0
2017-05-10,PLX,32.8,33.15,32.8,32.94,2706150.0
2017-05-11,PLX,32.94,34.75,32.94,33.98,3351200.0
2017-05-12,PLX,33.98,34.19,33.84,33.98,1272460.0
2017-05-13,PLX,33.98,34.19,33.84,33.98,1272460.0
2017-05-14,PLX,33.98,34.19,33.84,33.98,1272460.0
2017-05-15,PLX,33.74,34.4,33.56,34.05,2429190.0
2017-05-16,PLX,34.33,36.36,34.05,35.73,3627190.0
2017-05-17,PLX,35.66,36.36,35.31,35.66,1642560.0
2017-05-18,PLX,35.52,37.06,35.52,37.06,3077950.0
2017-05-19,PLX,37.62,39.65,37.27,39.65,4369030.0
2017-05-20,PLX,37.62,39.65,37.27,39.65,4369030.0
2017-05-21,PLX,37.62,39.65,37.27,39.65,4369030.0
2017-05-22,PLX,41.82,42.38,41.26,42.38,3062670.0
2017-05-23,PLX,42.66,45.1,42.38,42.38,2839240.0
2017-05-24,PLX,42.38,42.44,40.21,41.26,1789900.0
2017-05-25,PLX,41.26,42.03,40.98,41.26,684100.0
2017-05-26,PLX,40.7,41.19,40.28,40.63,1237030.0
