ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
PLX,2025,2,60926785823298,10770637171668,16235106665818,15898006476916,16789377724048,1233657784848,26322703704439,13086516425129,105787074297,7771798740291,0,3480171986189,87249489527737,59044109329602,58197563961918,846545367684,28205380198135,28205380198135,1143832515772,2830321976089,3154348822835,87249489527737,361351656811,17005212435654,759912200,2036253925573,12938780810000,12938780810000,442509360623,382187536031,20798556890981,0,3208028961277,260411708977,35905128998,31249338998,VCI,quarterly
PLX,2025,1,58986937922224,10446733576792,20016387716915,11896134250401,15677477473291,950204904825,21048936519350,13248957528011,107389889848,2973417696267,0,3308339559036,80035874441574,50515699095191,49731701032965,783998062226,29520175346383,29520175346383,966832515772,4049415332826,3373133379319,80035874441574,383849823679,16011682679299,712129793,2097514040161,12938780810000,12938780810000,463536210570,310432899874,20055168162024,0,3156124377783,260411708977,36374646665,31128856665,VCI,quarterly
PLX,2024,4,59543529720085,14933068792315,15108762286646,12465105480349,15673039677316,1363553483459,21731105153387,13585527863398,107979606627,3221257702429,0,3339510809214,81274634873472,51966660429999,51179621629763,787038800236,29307974443473,29307974443473,966832515772,3928809359665,3285111765231,81274634873472,383629822851,15746686393576,708194767,2095393107398,12938780810000,12938780810000,487101948000,300833697756,17384522205263,0,3196608497707,263775498977,33355357852,31273357852,VCI,quarterly
PLX,2024,3,49620976389763,12293516815584,12762530159825,10172950141660,13527159161356,864820111338,20568127461605,13323137325894,112739387554,3090448438158,0,3023441914208,70189103851368,41514069989863,40691667265528,822402724335,28675033861505,28675033861505,966832515772,3361020737803,3223607720048,70189103851368,801291570659,13572416807707,742026820,2095145833294,12938780810000,12938780810000,549820852640,245301346715,13058047813229,0,2880579183107,263775498977,30273451848,27821604848,VCI,quarterly
PLX,2024,2,53985272117977,15557231111566,11142790183777,11040842595033,15319145847336,925262380265,20715100404760,13554397474049,113750622716,3274387771629,0,2928188925989,74700372522737,46117824418323,45325553539657,792270878666,28582548104414,28582548104414,966832515772,3321122032292,3160742333211,74700372522737,653134867943,15329890674422,877213701,2094888299655,12938780810000,12938780810000,595969196062,240819868910,16906283447644,0,2829741014677,263775498977,33132716098,30180869098,VCI,quarterly
PLX,2024,1,58284382173273,17106789867259,8619413552464,14924518812554,16750218612666,883441328330,22447975876131,13420217868715,114305000706,5159280269004,0,2816640358998,80732358049404,50419174634317,49633736217195,785438417122,30313183415087,30313183415087,966832515772,5239838017239,3314423328191,80732358049404,686926379136,16761535979080,799164850,1770609963549,12938780810000,12938780810000,616679227364,202712455811,16007278977169,0,2732505976836,263775498977,31019457735,27897762735,VCI,quarterly
PLX,2023,4,56666894557096,13379071377082,16536864145068,10972776040794,14634152741500,1144030252652,22295177240441,13655143465067,114427500594,4797707092312,0,2820828480237,78962071797537,49776783589778,48980243005567,796540584211,29185288207759,29185288207759,969028497087,4185987075713,3260400120518,78962071797537,663399363041,14679623974167,782490023,1769538104318,12938780810000,12938780810000,646814450564,288201048281,19186422861280,0,2751287965498,263775498977,31524341822,28025260822,VCI,quarterly
PLX,2023,3,61140995552423,9738929836739,17056908938988,13636492285584,19594579714657,1114084776455,20735410783700,13358953544633,116134172999,3902703868967,0,2589614172858,81876406336123,53447994481488,52498296413734,949698067754,28428411854635,28428411854635,964342477627,3550090740429,3138142739802,81876406336123,752352837985,20450650280328,1694959369,1772094163737,12938780810000,12938780810000,758369620424,248516004296,16333617160851,0,2520273749360,263775498977,33171029950,29094562950,VCI,quarterly
PLX,2023,2,56867278634788,16148497585124,11018966669538,12634610023671,15594623478284,1470580878171,22844703422623,13627386612225,117933487770,5802538024773,0,2614387177732,79711982057411,51778886098983,50866444604675,912441494308,27933095958428,27933095958428,1109594420603,2792529696500,3143551540832,79711982057411,709183464871,15674059108821,1202533750,1872543979846,12938780810000,12938780810000,769018606683,277777281289,17338594452050,0,2533464795196,263463634307,33339217392,28685364392,VCI,quarterly
PLX,2023,1,44727892286423,9011729563471,7362006179146,12224056757185,14580944303096,1549155483525,23910988669620,13914032147770,119742840893,6645167543235,0,2641673020056,68638880956043,40212984862289,39256787640378,956197221911,28425896093754,28425896093754,1109594420603,3269932795250,3374668917958,68638880956043,709161825379,14646995387497,1849301759,1693195636719,12938780810000,12938780810000,792485911508,293042961471,13552482867455,0,2572821345628,263463634307,34273142028,29034365028,VCI,quarterly
PLX,2022,4,49477221511764,11611732569013,7092606800290,11983835692225,17234116930612,1554929519624,24333860691058,14284148565921,120950457534,6527697846837,0,2818249399889,73811082202822,46003635211062,45010203410442,993431800620,27807446991760,27807446991760,1109578340168,2970170748177,3243165604376,73811082202822,655313039959,17301977439111,3585118433,1692208675970,12938780810000,12938780810000,823350989928,341956537883,14034368085604,0,2660724387998,263463634307,36093164319,30177001319,VCI,quarterly
PLX,2022,3,45378460607445,7552604444429,10466624993325,10855831917854,14692230366991,1811168884846,25647684300523,14160048970685,122509177756,7826519178783,0,2848726709588,71026144907968,44613183079613,43434880472954,1178302606659,26412961828355,26412961828355,1109578340168,1513615796928,3116257891803,71026144907968,349250456824,15123857132835,2616999482,1691855323310,12938780810000,12938780810000,1011646721802,290636635397,13329409838043,0,2658159600396,263463634307,38577938639,33133141125,VCI,quarterly
PLX,2022,2,55029939228125,5247607426127,12473801703769,12706208128499,21536397075466,3065924894264,26050468085514,14370019073351,124198782875,7831250912634,0,2975337774994,81080407313639,54858760810381,53621539858461,1237220951920,26221646503258,26221646503258,1109580966442,1445276208742,3011065799337,81080407313639,345600755574,22866890125514,2660127339,1693091667226,12938780810000,12938780810000,1067208516006,299424295147,17224594957435,0,2647474209629,263463634307,39149429682,32470238142,VCI,quarterly
PLX,2022,1,58388394984946,6667783278311,12350221496202,12175001059728,24253627897698,2941761253007,24823644735655,14423516950643,126058796386,6919890138283,0,2685732731937,83212039720601,54535985553495,53294486508139,1241499045356,28676054167106,28676054167106,1102441871233,3844588069001,3171928154761,83212039720601,380039135390,24776662876391,2911487638,1638541840393,12938780810000,12938780810000,1040387766121,247503964655,16521975653804,0,2619030870859,263463634307,39918410139,31708312335,VCI,quarterly
PLX,2021,4,40797469422322,6188823500741,11836093701847,7089483429398,13160650249581,2522418540755,23500379057749,14757566896018,127830043542,5284128594050,0,2669574812193,64297848480071,36062704166698,34834614717855,1228089448843,28235144313373,28235144313373,1090107703278,3391071421115,3206224150211,64297848480071,356612725930,13384328710290,21487680383,1637731757307,12938780810000,12938780810000,995939382832,359050848082,13804452824216,0,2609844280577,263463839507,35779197840,26880437927,VCI,quarterly
