ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
PLX,2025,2,1646725151153.0,576467199344.0,116363665946.0,21537977092.0,-474414962883.0,180785086150.0,0.0,2067464116802.0,-4577990153239.0,-993529756355.0,6371851111651.0,-163465919900.0,-172269396554.0,-74835938224.0,1562263104.0,-265679377377.0,2193106949908.0,-518627135843.0,5398850662.0,-12956193451054.0,11985500000000.0,0.0,-3363790000.0,542620701769.0,-944664824466.0,0.0,0.0,-9209451742345.0,9892070047581.0,0.0,-1620869749073.0,-938251443837.0,310190681605.0,10446733576792.0,13712913271.0,10770637171668.0,VCI,yearly
PLX,2025,1,358383651559.0,509588024859.0,369009007035.0,1370325813.0,-374846332104.0,165571705006.0,0.0,1029076382168.0,1236838507913.0,-264996285723.0,-3844678681826.0,41111851021.0,-165571705006.0,-440339463279.0,1377268924.0,-142602244637.0,-2549784370445.0,-190316844600.0,3953326171.0,-13130402852755.0,8475202573826.0,0.0,3363790000.0,260716510243.0,-4577483497115.0,0.0,0.0,19584769894732.0,-16937689675401.0,0.0,-10079500.0,2647070139831.0,-4480197727729.0,14933068792315.0,-6137487794.0,10446733576792.0,VCI,yearly
PLX,2024,4,772212272736.0,673783635728.0,261107890427.0,-30956476566.0,-434033410338.0,60571390579.0,0.0,1302685302566.0,-3060303338763.0,-2174269585869.0,6150691804551.0,-120067498088.0,-86931379556.0,-149995167870.0,1481339133.0,-607559053222.0,1255732422882.0,-840832043589.0,23625850964.0,-9611548090991.0,7275719339329.0,0.0,0.0,460017047045.0,-2693017897242.0,0.0,0.0,15662176430216.0,-11421802039055.0,0.0,-202997781440.0,4037376609721.0,2600091135361.0,12293516815584.0,39460841370.0,14933068792315.0,VCI,yearly
PLX,2024,3,241211680612.0,451860907093.0,100695750488.0,5047403800.0,-289671487356.0,174618679639.0,0.0,683762934276.0,946436403119.0,1757473866715.0,-885360404129.0,4732339364.0,-142133809926.0,-115834405420.0,1379090885.0,-118745746563.0,2131710268321.0,-257761180462.0,276267273.0,-5916429795490.0,4428575313729.0,0.0,0.0,97316092669.0,-1648023302281.0,0.0,0.0,18740006868434.0,-22588056851667.0,0.0,146263766639.0,-3701786216594.0,-3218099250554.0,15557231111566.0,-45615045428.0,12293516815584.0,VCI,yearly
PLX,2024,2,1517620600023.0,539548401407.0,88857258216.0,2178023031.0,-452541478157.0,139075931881.0,0.0,1838241235201.0,3300513741158.0,1431645304658.0,-5553287033012.0,-217277177021.0,-171560801594.0,-95905486094.0,-49683315692.0,-98473284906.0,384213182698.0,-613989983756.0,15593166457.0,-4420226206120.0,3819047403879.0,0.0,0.0,520069969188.0,-679505650352.0,0.0,0.0,15463272651831.0,-14631312207262.0,0.0,-2050684168984.0,-1218723724415.0,-1514016192069.0,17106789867259.0,-35542563624.0,15557231111566.0,VCI,yearly
PLX,2024,1,1441135726084.0,512001054047.0,6114512991.0,12852894782.0,-369933086140.0,193924117257.0,0.0,1815895112221.0,-3173518424480.0,-2083991628863.0,2974005954695.0,10635715299.0,-193924117257.0,-546892677640.0,52473822320.0,-253348857042.0,-1398665100747.0,-283148391829.0,4870228272.0,-2912960274529.0,10501138542656.0,0.0,0.0,262129017952.0,7572029122522.0,0.0,0.0,21602734968499.0,-24760915030938.0,0.0,0.0,-3158180062439.0,3015183959336.0,14048245083619.0,43360824304.0,17106789867259.0,VCI,yearly
PLX,2023,4,849874516134.0,518499048851.0,-922985175976.0,-6977143243.0,-437554015372.0,214657189461.0,0.0,178296055320.0,1183816143248.0,5771026306161.0,-4626879314748.0,-251193580940.0,-214657189461.0,-78885371508.0,-168799601490.0,-96203384317.0,1696520062265.0,-813128364460.0,296542323.0,-10939133756484.0,10239110000000.0,0.0,1078456879223.0,318735434083.0,-115663265315.0,0.0,0.0,19827311021155.0,-17086060490586.0,0.0,-689406860415.0,2051843670154.0,3632700467104.0,9738929836739.0,7441073239.0,13379071377082.0,VCI,yearly
PLX,2023,3,1179810317031.0,487022406183.0,881411093956.0,2898437245.0,-1098504659132.0,226222043873.0,0.0,1567311440861.0,829158830356.0,-4776591171507.0,3013891108581.0,129545878613.0,-249700324068.0,-81154090266.0,166626322665.0,-266957857280.0,331853412139.0,-108145231970.0,4032842062.0,-8298866525999.0,2282956698131.0,0.0,717849504.0,212604073865.0,-5906700294407.0,0.0,0.0,18833706581947.0,-19814471874260.0,0.0,183844031041.0,-796921261272.0,-6371768143540.0,16148497585124.0,-37799604845.0,9738929836739.0,VCI,yearly
PLX,2023,2,1063843895248.0,569238793631.0,135413023076.0,51708739734.0,-510809796284.0,230136836631.0,0.0,2273351101594.0,-559507029763.0,-1027063721324.0,6126334265359.0,-94423799915.0,-206658556436.0,-33028769194.0,37846038031.0,3307369753.0,6520433623921.0,-395298511705.0,10416220921.0,-5310476202879.0,2283647745526.0,0.0,0.0,426451726589.0,-2985259021548.0,0.0,0.0,18276057451529.0,-14548274156904.0,0.0,-183844031041.0,3543939263584.0,7079113865957.0,9011729563471.0,57654155696.0,16148497585124.0,VCI,yearly
PLX,2023,1,838369660646.0,530100404056.0,42541698358.0,-6456099373.0,-376929733141.0,232824020411.0,0.0,1737053867613.0,631516402268.0,2654341374238.0,-7034889682921.0,94012119509.0,-232824020411.0,-242956635549.0,-35672759206.0,-248655357000.0,-2678074691459.0,-157605513576.0,2936687234.0,-3934107124185.0,4039334049706.0,0.0,0.0,227062261062.0,177620360241.0,0.0,0.0,27674078444543.0,-27742209738666.0,0.0,0.0,-68131294123.0,-2568585625341.0,11606028926698.0,-25713737886.0,9011729563471.0,VCI,yearly
PLX,2022,4,1646372266413.0,533542268479.0,-357626744974.0,-193051759299.0,-372825841908.0,167633825006.0,0.0,2387923186109.0,713863535081.0,-2178120306276.0,199577604949.0,-13810207088.0,-167633825006.0,-68955730665.0,-21081123336.0,-121554439551.0,730208694217.0,-662243185401.0,251484690744.0,-708320105100.0,5087054082734.0,0.0,-6262036.0,230903795355.0,4198873016296.0,0.0,0.0,23693296864394.0,-23176634348707.0,0.0,-1365926664784.0,-849264149097.0,4079817561416.0,7552604444429.0,-20689436832.0,11611732569013.0,VCI,yearly
PLX,2022,3,312844842275.0,492738751431.0,-953924682281.0,35469838462.0,-374087697031.0,154089337128.0,0.0,825758869740.0,3341352294077.0,7743032992679.0,-7713407614279.0,30398026671.0,-161333960618.0,-103562432417.0,32493136919.0,-124908884659.0,3869822428113.0,-92475920863.0,1971143485.0,-1808963920526.0,3942089313561.0,0.0,0.0,281373099732.0,2323993715389.0,0.0,0.0,20687736825750.0,-24597695044159.0,0.0,0.0,-3909958218409.0,2283857925093.0,5247607426127.0,21139093209.0,7552604444429.0,VCI,yearly
PLX,2022,2,-269979938338.0,567375469197.0,687147722614.0,99199638154.0,-399124927148.0,169953256207.0,0.0,1133559003943.0,-1051037321038.0,1909772750877.0,-1859429146316.0,-64949422267.0,-162708632717.0,-94057304836.0,791383355.0,-145487784221.0,-333546473220.0,-715410994770.0,4854152561.0,-8195591524422.0,7122010686439.0,0.0,-4053897903.0,163637662251.0,-1624553915844.0,0.0,0.0,28556168231024.0,-27867516872695.0,0.0,-158893422646.0,529757935683.0,-1428342453381.0,6667783278311.0,8166601197.0,5247607426127.0,VCI,yearly
PLX,2022,1,571144466294.0,529308865393.0,294753620773.0,22107095150.0,-432862600988.0,154908870719.0,0.0,909813980750.0,-4746873410946.0,-11389888105984.0,15890604894645.0,-18922728933.0,-154908870719.0,-191167396072.0,-791383355.0,-141885662061.0,155981317325.0,-164714411896.0,3541348220.0,-7326021972557.0,5419000310964.0,0.0,4060159939.0,202119174420.0,-1862015390910.0,0.0,0.0,23692713030582.0,-21499877125134.0,0.0,0.0,2192835905448.0,486801831863.0,6192497034229.0,-11515587781.0,6667783278311.0,VCI,yearly
PLX,2021,4,828887352103.0,535214480542.0,33239362398.0,-70273558852.0,-336303809118.0,144433842570.0,0.0,1142876502889.0,2207412423725.0,-1429045044465.0,4195390975078.0,9569081510.0,-144433842570.0,-104263742052.0,1065527549.0,-83175753357.0,5796163128307.0,-579649961695.0,112962013987.0,-8026528061809.0,6040200000000.0,0.0,5757365169.0,185950280273.0,-2261308364075.0,91523297805.0,418000000.0,16200781196629.0,-18479730447058.0,0.0,-1522529402256.0,-3709537354880.0,-174682590648.0,6368584811511.0,0.0,6193902220863.0,VCI,yearly
PLX,2021,3,111972774711.0,498319008307.0,137830193552.0,21413241727.0,-214819238057.0,164021379785.0,0.0,454918147086.0,2648153856479.0,612974567165.0,-6281451907933.0,-146922916662.0,-145237125208.0,-202062220445.0,4976296345.0,-27786731451.0,-3081004614624.0,48322641912.0,-258843051840.0,-4019284285103.0,4755238013369.0,-45272285200.0,-5757365169.0,-53180618723.0,421223049246.0,-15011567021.0,-418000000.0,20649085521735.0,-19248304907976.0,0.0,57074588333.0,1442425635071.0,-1217355930307.0,7606274282467.0,-20333540649.0,6368584811511.0,VCI,yearly
PLX,2021,2,1827666830592.0,587426724799.0,77482196189.0,19176682960.0,-399962988350.0,149661767994.0,0.0,343035311422.0,-1957012629344.0,-2011384532180.0,2148066101954.0,-47713259284.0,-163281966069.0,-68071081078.0,-176336128.0,-135648012557.0,-1892068403264.0,-369903807040.0,264736416529.0,-8283150325898.0,5950499406631.0,-4203248000.0,64511740837.0,403468133064.0,-1974041683877.0,1387682967021.0,0.0,16140000155655.0,-15642926423923.0,0.0,-57074588333.0,1827682110420.0,-2038427976721.0,9637237339038.0,7464920150.0,7606274282467.0,VCI,yearly
PLX,2021,1,1012841357840.0,526108412542.0,85679725136.0,-10490413561.0,-323482491333.0,144357826906.0,0.0,-238757607841.0,-2321557673691.0,-1135103232844.0,3348179829298.0,79685009244.0,-149521883408.0,-46913025282.0,2662829308.0,-110994942060.0,-572320697276.0,-482766091632.0,16054418942.0,-4243661685700.0,3574900000000.0,1254948000.0,0.0,156442328387.0,-977776082003.0,1424278492820.0,0.0,15951403751929.0,-16790955335694.0,0.0,0.0,584726909055.0,-965369870224.0,10611737373774.0,-9130164512.0,9637237339038.0,VCI,yearly
PLX,2020,4,1204955748596.0,526710877191.0,-113021204773.0,-8083056006.0,-344917988661.0,145957061095.0,0.0,878988336712.0,-1044808189893.0,-1019756740119.0,3496861110117.0,-68286920455.0,-183168924082.0,-90613300712.0,16019058961.0,-173564379374.0,1815699973713.0,-747010157318.0,4131272443.0,-4556719600885.0,4395873673069.0,-3689715097.0,0.0,159127353846.0,-748287173942.0,0.0,0.0,12545139703813.0,-13623368958511.0,0.0,1232987223858.0,154757969160.0,1222170768931.0,9388181484134.0,13609097632.0,10623961350697.0,VCI,yearly
PLX,2020,3,1113518094410.0,496170817052.0,-45071086085.0,38680433159.0,-257155108634.0,192868291250.0,0.0,1323343614939.0,1205324834452.0,413154034764.0,-2998968360947.0,-144874716622.0,-171361101882.0,-60764777989.0,4683287740.0,-73850063872.0,-503313249417.0,-223527908015.0,4812930253.0,-4040080136985.0,336672954794.0,138488859613.0,0.0,-106717594054.0,-3890350894394.0,847774969832.0,0.0,14715986273756.0,-12821914381006.0,0.0,-1155370958414.0,1586475904168.0,-2807188239643.0,12214554630923.0,-19184907146.0,9388181484134.0,VCI,yearly
