rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
30.3,18.0,34000.0,-150.0,-0.004,-0.07,11728775,PLX: CBTT ký hợp đồng sáp nhập,TCBS,2025-10-02 18:06:35
30.7,18.0,34150.0,-50.0,-0.001,-0.066,11727575,PLX: Giấy ủy quyền thực hiện công bố thông tin,TCBS,2025-10-01 17:37:43
35.6,22.0,34200.0,-550.0,-0.016,-0.064,11726280,PLX: Thông báo thay đổi nhân sự - Miễn nhiệm và bổ nhiệm Kế toán trưởng,TCBS,2025-09-30 17:52:48
41.3,22.0,35350.0,-250.0,-0.007,-0.078,11716641,"Petrolimex sáp nhập, giảm đầu mối để mỗi tỉnh, thành phố chỉ còn 1 công ty thành viên",TCBS,2025-09-19 20:59:00
41.3,24.0,36550.0,450.0,0.012,-0.001,11700192,PLX: Giải trình biến động LNST trên BCTC bán niên 2025 soát xét so với cùng kỳ năm trước,TCBS,2025-09-03 16:33:09
37.2,18.0,,,,,11660182,"Một doanh nghiệp có doanh thu vượt xa Vingroup, gấp đôi Thế Giới Di Động, Hòa Phát, Vietnam Airlines…",TCBS,2025-08-03 01:48:00
40.7,22.0,35800.0,-450.0,-0.012,-0.03,11659745,PLX: Giải trình BCTC quý 2/2025 so với cùng kỳ năm trước,TCBS,2025-08-01 14:50:00
41.1,19.0,36250.0,-50.0,-0.001,-0.027,11658389,PLX: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,TCBS,2025-07-31 18:16:13
56.4,32.0,36500.0,-1350.0,-0.036,-0.02,11653743,PLX: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 15,TCBS,2025-07-29 16:17:14
51.9,28.0,37100.0,-200.0,-0.005,-0.077,11641253,PLX: Thông báo thay đổi nhân sự,TCBS,2025-07-21 15:20:42
51.9,28.0,,,,,11639688,Petrolimex có tổng giám đốc mới,TCBS,2025-07-19 17:21:00
53.1,43.0,37450.0,150.0,0.004,0.046,11627367,PLX: Thông tin về người tạm dừng tư cách thành viên HĐQT,TCBS,2025-07-09 17:35:00
69.4,75.0,38050.0,-2150.0,-0.053,0.133,11608818,PLX: Thông báo ký kết hợp đồng kiểm toán BCTC 2025,TCBS,2025-06-24 15:57:54
56.0,44.0,34930.0,48.0,0.001,0.073,11593450,PLX: Thông báo về ngày đăng ký cuối cùng chi trả cổ tức năm 2024 bằng tiền,TCBS,2025-06-05 09:12:52
45.0,28.0,34447.0,1065.0,0.032,0.058,11592312,PLX: Nghị quyết HĐQT về việc miễn nhiệm chức vụ Tổng Giám đốc và tạm dừng tư cách thành viên HĐQT,TCBS,2025-06-02 17:52:25
