officer_name,officer_position,officer_own_percent
Vu Lam,,0.0006
Tran Ngoc Nam,Member of Management Board,0.0
Dinh Thai Huong,Independent Member of Management Board,0.0
Nguyen Thanh Son,Deputy General Director,0.0
Nguyen Quang Dung,Deputy General Director,0.0
Tran Ngoc Nam,Deputy General Director,0.0
Nguyen Ngoc Tu,Deputy General Director,0.0
Tong Van Hai,Deputy Director Internal Audit ,0.0
Bui Ngoc Bao,,0.0
Pham Duc Thang,,0.0
Tran Van Thinh,,0.0
,,0.0
Nguyen Anh Dung,,0.0
Dinh Viet Tien,,0.0
Hoang Mai Ninh,,0.0
Le Van Huong,,0.0
Nguyen Xuan Hung,,0.0
Tran Ngoc Nam,,0.0
Dang Thi Hong Ha,,0.0
Dao Nam Hai,,0.0
