ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
PLX,2025,2,0.0405444294174963,76568084039970,1366405037475,0.13330443409635334,441123331368,-180785086150,76568084039970,-29104065392,76538979974578,-71390871963554,5148108011024,-338296689689,150267587738,-3462501087318,-301177952047,1637523201076,23228053831,0,-14026103754,9201950077,1646725151153,-338677276338,116363202647,1424411077462,58006039987,1366405037475,VCI,yearly
PLX,2025,1,-0.09638673969271727,67890171339647,133414809920,-0.8756588664992847,421762522293,-165571705006,67890171339647,-29140851991,67861030487656,-64149128072879,3711902414777,-293602592566,114290656351,-3353223304063,-263607670164,337522026628,30163478827,0,-9301853896,20861624931,358383651559,-101717149134,-45897701886,210768800539,77353990619,133414809920,VCI,yearly
PLX,2024,4,0.034548100720202465,71055339774054,545272943919,-0.1493995738397427,294548639619,-60571390579,71055339774054,-27921227222,71027418546832,-66387623732363,4639794814469,-254304223346,142520174307,-3880675591660,-285584161214,656299652175,164929226500,0,-49016605939,115912620561,772212272736,-159885802834,-2312701888,610013768014,64740824095,545272943919,VCI,yearly
PLX,2024,3,-0.11163845721964223,64352149009035,65874458258,-0.9107598251408201,495756246975,-174618679639,64352149009035,-27759775244,64324389233791,-60887953877442,3436435356349,-231690804893,108984884024,-3318400967579,-268478694668,222606020208,34140384799,0,-15534724395,18605660404,241211680612,-85772393306,-24954092788,130485194518,64610736260,65874458258,VCI,yearly
PLX,2024,2,0.11872739977726372,73584636922071,1205682247740,0.4828420624044321,395015815499,-139075931881,73584636922071,-25217547762,73559419374309,-68953777954794,4605641419515,-335147614948,165725475694,-3120606148129,-248532081519,1462096866112,67992206143,0,-12468472232,55523733911,1517620600023,-242619955127,12819476286,1287820121182,82137873442,1205682247740,VCI,yearly
PLX,2024,1,0.11374290306473404,75131889185159,1072974052623,0.7315092950128536,449958172299,-193924117257,75131889185159,-25691800931,75106197384228,-70436759049100,4669438335128,-374932475618,110774850310,-3198008518779,-238100394385,1419129968955,28402612760,0,-6396855631,22005757129,1441135726084,-311329262671,3026393388,1132832856801,59858804178,1072974052623,VCI,yearly
PLX,2023,4,-0.1240706757647187,68682490185414,641044757502,-0.4511774778472993,606117935428,-214657189461,68682490185414,-26072876010,68656417309404,-64674449288849,3981968020555,-357215102934,119359038558,-3252121872283,-299029481658,799078537666,84176039414,0,-33380060946,50795978468,849874516134,-75716558198,-9977012392,764180945544,123136188042,641044757502,VCI,yearly
PLX,2023,3,-0.01738159445208062,72439143197969,738170430100,6.46034755165705,1188962825096,-226222043873,72439143197969,-25011321855,72414131876114,-68634570758197,3779561117917,-627228865990,136940949591,-3109932691275,-215506376154,1152796959185,38549241950,0,-11535884104,27013357846,1179810317031,-437853710025,-12577818493,729378788513,-8791641587,738170430100,VCI,yearly
PLX,2023,2,-0.22629014266233832,65775305884813,813088782891,31.07391859320841,431952637224,-230136836631,65775305884813,-25496274690,65749809610123,-61818706800641,3931102809482,-355123483889,193400625815,-2958171192640,-219485091387,1023676304605,50406109778,0,-10238519135,40167590643,1063843895248,-185941690020,13698782485,891600987713,78512204822,813088782891,VCI,yearly
PLX,2023,1,0.006193336561184352,67458916217033,619675594993,1.5465741571366018,513732112835,-232824020411,67458916217033,-26602596894,67432313620139,-63873148693345,3559164926794,-382292307601,149866513971,-2807666334205,-206598594439,826206317355,25534423454,0,-13371080163,12163343291,838369660646,-95110575813,-76286691303,666972393530,47296798537,619675594993,VCI,yearly
PLX,2022,4,0.5873227997775763,78410995368121,1168036535723,0.9632992888447899,920095636266,-167633825006,78410995368121,-27924271547,78383071096574,-74097247834698,4285823261876,-560174516915,144835453390,-3191439741349,-241162550578,1357977542690,305149314440,0,-16754590717,288394723723,1646372266413,-187453561378,-44711248551,1414207456484,246170920761,1168036535723,VCI,yearly
PLX,2022,3,1.1278646717095224,73720523439184,98945850041,0.2988921781221014,278559048666,-154089337128,73720523439184,-25753864653,73694769574531,-70891978809638,2802790764893,-318534573086,142645738126,-2406858281086,-196123514999,302479182514,25863731867,0,-15498072106,10365659761,312844842275,16315792082,-139348146135,189812488222,90866638181,98945850041,VCI,yearly
PLX,2022,2,0.8127227099904611,85012883396815,-27036343148,-1.0180524064140137,411616926497,-169953256207,85012883396815,-30344617700,84982538779115,-82526276023104,2456262756011,-511121441307,178572437674,-2616981256561,-205397253945,-287047831631,39029055570,0,-21961162277,17067893293,-269979938338,-117384033526,253439612501,-133924359363,-106888016215,-27036343148,VCI,yearly
PLX,2022,1,0.751917064891219,67043692067753,243336952610,-0.6320065743515717,321393319365,-154908870719,67043692067753,-23772428549,67019919639204,-64242452421305,2777467217899,-300187223884,234133267738,-2297811567544,-181676977976,553318035598,25562043942,0,-7735613246,17826430696,571144466294,-131473049020,2760538504,442431955778,199095003168,243336952610,VCI,yearly
PLX,2021,4,0.5780413773632934,49398266930399,594935546689,-0.3625660315996091,289715169535,-144433842570,49398266930399,-26402565321,49371864365078,-46322476323450,3049388041628,-259847354167,152990540858,-2385376671150,-245014945158,601854781546,260922833595,0,-33890263038,227032570557,828887352103,-128591864635,1143455698,701438943166,106503396477,594935546689,VCI,yearly
PLX,2021,3,0.2606878759469069,34645306357738,76177108237,-0.9107082473094189,263173135946,-164021379785,34645306357738,-20010673093,34625295684645,-32589628746140,2035666938505,-214406408438,72581275315,-1924847512879,-149102004364,83065424085,29130359583,0,-223008957,28907350626,111972774711,-33220213230,793978832,79546540313,3369432076,76177108237,VCI,yearly
PLX,2021,2,0.7545981800513952,46897897250519,1497658679289,0.3905501507678383,235689061250,-149661767994,46897897250519,-28984859151,46868912391368,-42641539164127,4227373227241,-174304937916,171999322898,-2424928135876,-206388588911,1829439948686,73360792827,0,-75133910921,-1773118094,1827666830592,-248200437071,14876006536,1594342400057,96683720768,1497658679289,VCI,yearly
PLX,2021,1,-0.005867241186319137,38268759070462,661253532400,1.3492976430941037,209861827778,-144357826906,38268759070462,-21698316560,38247060753902,-34853306068986,3393754684916,-186484170462,170032917496,-2422112221108,-181233973234,983819065386,35507468477,0,-6485176023,29022292454,1012841357840,-216225804432,-60400679793,736214873615,74961341215,661253532400,VCI,yearly
PLX,2020,4,-0.3657963353732601,31303530844633,933328903356,-0.04295091355693374,208223320022,-145957061095,31303530844633,-26759169148,31276771675485,-27560242500530,3716529174955,-164306087631,186196572169,-2507083484124,-265186664481,1174372830910,49242303418,0,-18659385732,30582917686,1204955748596,39620329214,-237810599331,1006765478479,73436575123,933328903356,VCI,yearly
PLX,2020,3,-0.43514246195171546,27481271945854,853125915234,-0.11094425041527964,198112463923,-192868291250,27481271945854,-19298472920,27461973472934,-24325671675782,3136301797152,-231361335147,152394405007,-2010775640952,-217074476310,1027597213673,97241896488,0,-11321015751,85920880737,1113518094410,-67641168279,-124734300997,921142625134,68016709900,853125915234,VCI,yearly
PLX,2020,2,-0.4623395496624236,26728568274900,1077026009067,-0.0878446788921826,280527587628,-168538494918,26728568274900,-20886958356,26707681316544,-23975844618797,2731836697747,-204108651912,124953493182,-2062414081575,-188819689619,681975355451,94711829209,0,5156436158,99868265367,781843620818,-62214346148,400983887945,1120613162615,43587153548,1077026009067,VCI,yearly
PLX,2020,1,-0.0828463744512143,38494616268484,-1893094744478,-2.5763032672080044,230307397506,-201387460219,38494616268484,-16878236658,38477738031826,-38027942431755,449795600071,-352315504704,133652144605,-2015983692969,-148745460243,-1703289515734,26219525836,0,-25218257501,1001268335,-1702288247399,-111083172664,215331136,-1813156088927,79938655551,-1893094744478,VCI,yearly
PLX,2019,4,0.005243950523542774,49358798428036,975215291020,0.1778808327207654,332236186817,-198822521889,49358798428036,-19274355499,49339524072537,-45782434192678,3557089879859,-206843278379,164869000666,-2275515166074,-198422646663,1373413976226,68898710867,0,-37533857827,31364853040,1404778829266,-313270827213,40645859502,1132153861555,156938570535,975215291020,VCI,yearly
PLX,2019,3,0.05344490557744873,48651686655025,959586522704,0.19143385043533373,259115072418,-173445663605,48651686655025,-11585466582,48640101188443,-45262961731982,3377139456461,-211992209238,173832455793,-2150141615718,-150710803616,1297242356100,29119678099,0,-15787863386,13331814713,1310574170813,-196604553487,-1755748617,1112213868709,152627346005,959586522704,VCI,yearly
PLX,2019,2,-0.029316065317975558,49712729024644,1180748480159,0.0020868466440796714,245753416290,-239242964636,49712729024644,-11470525383,49701258499261,-46023259506706,3677998992555,-333174651112,161335188718,-2014427906030,-148757183757,1588727856664,44052539605,0,-9673781062,34378758543,1623106615207,-282858126867,1151336932,1341399825272,160651345113,1180748480159,VCI,yearly
PLX,2019,1,-0.07635653920010955,41971830232313,1200971148040,0.3367788326261481,166831334065,-184613614576,41971830232313,-10995453778,41960834778535,-38182580119663,3778254658872,-206229489350,166296201383,-2253727959298,-134677077998,1516747667674,59792068539,0,-8170590687,51621477852,1568369145526,-259520699544,-14360717185,1294487728797,93516580757,1200971148040,VCI,yearly
PLX,2018,4,0.13571825419147687,49101313569039,827940538575,-0.10094712180420826,260051672271,-225969787833,49101313569039,-11452439890,49089861129149,-45790701204887,3299159924262,-254160991200,174974912938,-2295983752981,-153390558503,1030651206787,141985461186,0,-47280470864,94704990322,1125356197109,-189338498236,-9663882130,926353816743,98413278168,827940538575,VCI,yearly
PLX,2018,3,0.20580467696934743,46183418228556,805404783785,0.04170275627787312,350327515322,-228614622386,46183418228556,-8282754917,46175135473639,-42848885866274,3326249607365,-596419166931,138426336166,-2057007212246,-107386494246,1054190585430,52737793894,0,35639685366,88377479260,1142568064690,-251483640390,-538166774,890546257526,85141473741,805404783785,VCI,yearly
PLX,2018,2,0.33563605686240955,51214125678230,1178289570523,0.5033794309163299,232493579115,-205072419044,51214125678230,-13810600330,51200315077900,-47167368548501,4032946529399,-388229896553,151793611412,-2205357872544,-164767731604,1658878219225,33998506026,0,-76721176458,-42722670432,1616155548793,-324833219631,-714313878,1290608015284,112318444761,1178289570523,VCI,yearly
PLX,2018,1,0.26894010973407767,45441593010321,898406766122,-0.09131591827512592,162808906106,-205858998091,45441593010321,-11304810914,45430288199407,-42219668157921,3210620041486,-267886045031,183723919079,-1956922884951,-149818338894,1182525597795,31827689377,0,-8049831756,23777857621,1206303455416,-201636125988,-1462257039,1003205072389,104798306267,898406766122,VCI,yearly
PLX,2017,4,0.2325341545854709,43233709934507,920903051038,-0.4609490997193186,182425682182,-172058428150,43233709934507,-9709772369,43224000162138,-40160975797104,3063024365034,-187745849254,86379454604,-1612607592368,-302611249410,1228864810788,193638229950,0,-91300490212,102337739738,1331202550526,-275508065978,22599500554,1078293985102,157390934064,920903051038,VCI,yearly
PLX,2017,3,0.30791701471588495,38300911508017,773161805449,-0.1800020281685707,178438559861,-125101299959,38300911508017,-7983677952,38292927830065,-35105834899807,3187092930258,-164625473030,61756458644,-2010441578932,-198028157638,1054192739163,77800708360,0,-25896533835,51904174525,1106096913688,-211715341890,-248352070,894133219728,120971414279,773161805449,VCI,yearly
PLX,2017,2,0.22811024938352417,38344371893148,783760603805,-0.20411566117667396,218076055465,-144573012730,38344371893148,-11100355416,38333271537732,-35259604338349,3073667199383,-207781402958,112778146363,-1978441844979,-269032177101,949265976173,178146843370,0,-37451723663,140695119707,1089961095880,-184823828952,137484347,905274751275,121514147470,783760603805,VCI,yearly
PLX,2017,1,0.2997107260496502,35810668022657,988689891449,-0.039415410404272565,253688785857,-141715666594,35810668022657,-9435840842,35801232181815,-32618732537220,3182499644595,-232691793284,172114199364,-1800310173119,-239143686718,1336156976695,32972933369,0,-19263736536,13709196833,1349866173528,-243011019287,-740988104,1106114166137,117424274688,988689891449,VCI,yearly
