time,symbol,open,high,low,close,volume
2016-12-06,SAB,49.34,49.34,49.34,49.34,3010.0
2016-12-07,SAB,52.78,52.78,52.78,52.78,30.0
2016-12-08,SAB,56.44,56.44,56.44,56.44,1000.0
2016-12-09,SAB,56.44,60.37,56.44,60.37,3010.0
2016-12-10,SAB,56.44,60.37,56.44,60.37,3010.0
2016-12-11,SAB,56.44,60.37,56.44,60.37,3010.0
2016-12-12,SAB,64.59,64.59,64.59,64.59,35690.0
2016-12-13,SAB,69.08,69.08,69.08,69.08,96830.0
2016-12-14,SAB,73.9,73.9,73.9,73.9,154380.0
2016-12-15,SAB,79.06,79.06,78.5,79.06,380050.0
2016-12-16,SAB,84.59,84.59,74.76,84.1,387520.0
2016-12-17,SAB,84.59,84.59,74.76,84.1,387520.0
2016-12-18,SAB,84.59,84.59,74.76,84.1,387520.0
2016-12-19,SAB,79.24,84.1,79.24,79.24,168190.0
2016-12-20,SAB,78.87,79.06,73.71,73.71,399710.0
2016-12-21,SAB,73.71,76.07,69.15,75.06,241750.0
2016-12-22,SAB,78.46,78.46,75.88,75.88,52460.0
2016-12-23,SAB,75.88,75.88,73.68,74.76,54810.0
2016-12-24,SAB,75.88,75.88,73.68,74.76,54810.0
2016-12-25,SAB,75.88,75.88,73.68,74.76,54810.0
2016-12-26,SAB,75.14,75.14,72.1,74.76,169870.0
2016-12-27,SAB,74.76,75.82,73.28,75.14,69880.0
2016-12-28,SAB,75.82,75.82,74.8,75.48,28530.0
2016-12-29,SAB,75.14,75.14,73.24,74.76,98560.0
2016-12-30,SAB,75.14,75.14,74.19,75.03,96740.0
2016-12-31,SAB,75.14,75.14,74.19,75.03,96740.0
2017-01-01,SAB,75.14,75.14,74.19,75.03,96740.0
2017-01-02,SAB,75.14,75.14,74.19,75.03,96740.0
2017-01-03,SAB,75.03,75.03,74.34,74.76,63170.0
2017-01-04,SAB,74.76,75.37,74.0,74.76,87490.0
2017-01-05,SAB,74.76,75.14,74.38,74.8,27170.0
2017-01-06,SAB,75.1,79.65,74.83,78.17,212390.0
2017-01-07,SAB,75.1,79.65,74.83,78.17,212390.0
2017-01-08,SAB,75.1,79.65,74.83,78.17,212390.0
2017-01-09,SAB,78.17,78.93,77.8,77.8,31390.0
2017-01-10,SAB,78.52,78.52,76.47,77.6,44540.0
2017-01-11,SAB,77.42,79.69,76.66,79.69,228480.0
