ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
SAB,2025,2,25102973272497,6502903596185,15682490071428,1066459100621,1664304566153,186815938110,8093805844847,0,4421102059846,246030762733,2265736649423,986051807918,33196779117344,10322437517835,9852424610880,470012906955,22874341599509,22874341599509,3408784538,7275878980244,0,1499755244972,33196779117344,54695541752,1727426070580,0,1186744293943,12825623720000,12825623720000,168646045663,69000173338,182609401416,332891966559,460455006656,362429271916,34680790051,34229690051,VCI,quarterly
SAB,2025,1,23595997493910,3998216920843,16263953545620,889683095932,2215700673157,228443258358,8022758141076,0,4576716223425,248722388842,2032111891602,1013355971758,31618755634986,6012710111842,5547243699255,465466412587,25606045523144,25606045523144,3408784538,9974658766508,0,1541257926015,31618755634986,49568980899,2278205215696,0,1183429056260,12825623720000,12825623720000,169029470625,64826924326,481748911003,0,806521017049,362429271916,34792783693,34341683693,VCI,quarterly
SAB,2024,4,25066732804106,4477501667326,16566239177101,1818472380110,1978543927286,225975652283,8372673560545,0,3593253846771,268304664076,3672561077153,682574707770,33439406364651,9002313181979,8657140531800,345172650179,24437093182672,24437093182672,3208666226,9217801321446,0,1154973247501,33439406364651,48390695221,2042852750470,0,1181709861073,12825623720000,12825623720000,169444430406,94511172026,245383983749,0,455034726932,410929271916,34416343693,33965243693,VCI,quarterly
SAB,2024,3,24070634490878,5428443756883,15361135259235,1304622708914,1766584936155,209847829691,8163317002518,0,3671164839985,270536970542,3411103554607,655573066221,32233951493396,6012261617310,5662214040005,350047577305,26221689876086,26221689876086,3208666226,10914183193947,0,1285029411536,32233951493396,56894040231,1837489441053,0,1122249449316,12825623720000,12825623720000,169771108778,63768701184,125754245692,0,489592853041,411229271916,35308519051,34857419051,VCI,quarterly
SAB,2024,2,27431927836484,6034105422392,17324383616495,1487774094506,2350871616141,234793086950,6721720431544,0,3772602511828,273379564388,1829465906074,680708038374,34153648268028,9023944917056,8668920290705,355024626351,25129703350972,25129703350972,3208666226,9823058178315,0,1282332938014,34153648268028,47135218856,2422099526527,0,1122241373127,12825623720000,12825623720000,170090455484,69149033947,456125146624,0,499330788245,434314271916,35027019051,34575919051,VCI,quarterly
SAB,2024,1,24868688794432,3213098600682,18202453317303,1044442604668,2193114405334,215579866445,7277832061277,0,3899751895568,276222158234,2243198942835,711443565128,32146520855709,5689664383909,5344983823852,344680560057,26456856471800,26456856471800,3208666226,11184361337659,0,1273502549571,32146520855709,31436351846,2269041546330,0,1122241373127,12825623720000,12825623720000,170443177736,40712130033,560984397640,0,519418852780,434314271916,35199499051,34748399051,VCI,quarterly
SAB,2023,4,26553405591714,5039908030600,17741052417665,1229401278553,2317504988808,225538876088,7503219247991,0,3969724119615,279064752080,2287392366503,788417120457,34056624839705,8571466944838,8224608450196,346858494642,25485157894867,25485157894867,3208666226,10217284050181,0,1272845884034,34056624839705,33281517536,2393084700363,0,1122241373127,12825623720000,12825623720000,170828414155,44800935324,530129396183,0,550304398466,434314271916,35152681051,34701581051,VCI,quarterly
SAB,2023,3,25948826631933,2391612113327,19997640046912,1158808305410,2151252724958,249513441326,7477547024409,0,4097561292700,148245207118,2253726454360,721912921326,33426373656342,6907845863286,6490318537843,417527325443,26518527793056,26518527793056,3208666226,17637233522109,0,1293205604632,33426373656342,39992144550,2224944168796,0,1122241373127,6412811860000,6412811860000,238550176216,30423741652,409420367101,0,546683447591,434314271916,37009422971,36558322971,VCI,quarterly
SAB,2023,2,26098897838382,3741721292562,18638871262711,983673481545,2430169420205,304462381359,7547978320269,0,4226704637199,149873133748,2318431137559,658087146273,33646876158651,8123463218998,7638834830419,484628388579,25523412939653,25523412939653,3208666226,16622919408722,0,1320228120905,33646876158651,38045230537,2506667113835,0,1122241373127,6412811860000,6412811860000,310315364437,38632447875,556158670975,0,481405467687,434314271916,46406242971,37955142971,VCI,quarterly
SAB,2023,1,24035836979493,2994887902083,17367463728464,895231761646,2496501979005,281751608295,7444470317636,0,4332477847025,151501060378,2250998912815,538845994369,31480307297129,5907352826161,5382595929564,524756896597,25572954470968,25572954470968,3208666226,16514706491498,0,1483200641216,31480307297129,24448402562,2573370207574,0,1122241373127,6412811860000,6412811860000,351639919066,26102264256,581908285519,0,361292191801,434314271916,48077373799,39626273799,VCI,quarterly
