ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from disposal of fixed assets,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
SAB,2025,2,1561500118324,175942761359,8298283269,-94128164,0,-199683890938,8765781329,0,1468130172055,-114223971511,544945665559,606611618199,30784344582,-9232294713,-78041945540,0,-131603088982,2317370499649,-43748833316,934389730,-1926250000000,2304703474192,-155654970568,146777742691,211758238898,538520041627,0,0,641310658043,-940480870338,-52040636576,-351210848871,2504679692405,3998216920843,6982937,6502903596185,VCI,yearly
SAB,2025,1,1022209928640,177369747574,-1975993056,63728979,0,-209009993479,10901060239,0,999558478897,346845984666,53199968455,-1197123423024,36082544137,-12450176858,-348023474471,0,-3105244403,-125015342601,-68710471141,123500000,-1542419034801,3306015002193,140774646548,0,432826201906,2268609844705,0,0,774373572761,-835195770880,-2562059987197,-2622882185316,-479287683212,4477501667326,2936729,3998216920843,VCI,yearly
SAB,2024,4,1239136748590,137294637834,-2880156765,313413067,0,-395032089676,4881451450,0,983714004500,-151118396316,-205631922636,430142056077,59115420457,-4809448566,-460330451687,0,-3323427233,647757834596,-58554102756,394940540,-4743201147866,3827187230000,-954279098706,0,265176262909,-1663275915879,0,0,472886513161,-353286513161,-55045458883,64554541117,-950963540166,5428443756883,21450609,4477501667326,VCI,yearly
SAB,2024,3,1471058114394,137109733409,5765318745,-256959627,0,-317858343240,6169631263,0,1318497849365,90623403814,583329558668,-313205197291,36920102089,-6303549950,-110396456616,0,-2619329257,1596846380822,-49729572730,2309398912,-8295412642740,8638271000000,0,0,430854026835,726292210277,0,0,463400000000,-793800000000,-2598340802528,-2928740802528,-605602211429,6034105422392,-59454080,5428443756883,VCI,yearly
SAB,2024,2,1634270656484,136844272972,1747114332,-154644532,0,-273107092893,7599673429,0,1490689625371,-84671291806,-156483296530,850245767568,-21702549654,2746138237,-223665292526,0,-115803444832,1741355655828,-16385158319,820499000,-4009691474192,4883561175000,0,0,389918323185,1248223364674,0,0,869011460906,-973898879545,-63332013624,-168219432263,2821359588239,3213098600682,-352766529,6034105422392,VCI,yearly
SAB,2024,1,1302893108698,137634982540,-317207279,678925084,0,-262533850576,8798792489,0,1187154750956,158888380475,124245211930,-758271867681,48843428329,-19255749007,-362349512520,0,-2704945188,376549697294,-171349444233,0,-3337829912303,2915649012665,0,0,301175070121,-292355273750,0,0,1128776452301,-1097989033662,-1941831952929,-1911044534290,-1826850110746,5039908030600,40680828,3213098600682,VCI,yearly
SAB,2023,4,1248929973773,149590786325,7003396827,5122967322,0,-372682147213,7723006840,0,1045687983874,-182558422029,-166417677523,-321120204067,36922877299,-14605050346,-410885829448,0,-3071960654,-16048282894,-39676788414,1964759124,-3653163405000,5880431034247,0,0,463239019193,2652794619150,0,0,1328403431730,-1275145640786,-41626494215,11631296729,2648377632985,2391612113327,-81715712,5039908030600,VCI,yearly
SAB,2023,3,1344898352935,139716855089,-1363723209,220208535,0,-568375967342,10637821704,0,1048299273320,23997558912,274183147930,-86186450616,-11358693744,-19332309706,-238835162934,0,-2452040524,988315322638,-76212740172,19046500,-5440139784201,4081013000000,0,0,327224433647,-1108096044226,0,0,1039439730675,-1257678823907,-1012086587895,-1230325681127,-1350106402715,3741721292562,-2776520,2391612113327,VCI,yearly
SAB,2023,2,1524359738040,140033176269,-212744556,1544577730,0,-303388955385,14330165656,0,1254100232146,-53551386070,64030643075,1011672577360,-169719875909,-15975561941,-82859934163,0,-169181448939,1838515245559,-65053701056,80000000,-7199536534247,5922387000000,0,0,367037442414,-975085792889,0,0,794357160210,-861131796123,-49795665068,-116570300981,746859151689,2994887902083,-25761210,3741721292562,VCI,yearly
SAB,2023,1,1252222339547,140691204674,-2009062439,1456511271,0,-381468239209,17523731719,0,1028416485563,172527838459,-307286310581,-1388106890350,-2539495297,-14232489268,-367188507890,0,-2723185543,-881132554907,-92377286788,421225600,-1269568133669,3311873905205,0,0,206035353308,2156385063656,0,0,968344982235,-1067521362183,-2250583978885,-2349760358833,-1074507850084,4069464160642,-68408475,2994887902083,VCI,yearly
