rsi,rs,id,price,price_change,price_change_ratio,price_change_ratio_1m,event_name,event_code,notify_date,exer_date,reg_final_date,exer_right_date,event_desc
48.6,42.0,2600762,46000.0,-800.0,-0.017,-0.024,SAB - Change Address,OTHE,2025-09-19,2025-09-12,1753-01-01,1753-01-01,"Saigon Beer - Alcohol - Beverage Corporation (SAB) changes address from Ward 12, District 5, Ho Chi Minh City, Vietnam to Cho Lon Ward, Ho Chi Minh City, Vietnam"
43.5,30.0,2599344,46550.0,0.0,0.0,-0.017,SAB - Audited Financial Statement Quarter 2/2025,KQQY,2025-08-29,2025-08-29,1753-01-01,1753-01-01,SAB - Audited Financial Statement Quarter 2/2025
46.1,26.0,2599365,47150.0,-350.0,-0.007,-0.022,SAB - Audited Financial Statement Quarter 2/2025 (holding company),KQQY,2025-08-18,2025-08-18,1753-01-01,1753-01-01,SAB - Audited Financial Statement Quarter 2/2025 (holding company)
68.3,44.0,2595810,,,,,SAB - Financial Statement Quarter 2/2025,KQQY,2025-07-26,2025-07-26,1753-01-01,1753-01-01,SAB - Financial Statement Quarter 2/2025
68.3,44.0,2595812,,,,,SAB - Financial Statement Quarter 2/2025 (holding company),KQQY,2025-07-26,2025-07-26,1753-01-01,1753-01-01,SAB - Financial Statement Quarter 2/2025 (holding company)
48.1,46.0,2591554,45671.0,470.0,0.01,0.14,SAB - Pay cash dividend 2024 - Interim 2 at VND 3000/share,DIV,2025-05-08,2025-07-31,2025-07-01,2025-06-30,"Saigon Beer - Alcohol - Beverage Corporation (SAB) pays cash dividend 2024-Interim 2: Ex-date: June 30, 2025 Record date: July 1, 2025 Payment date: July 31, 2025 Payment rate: 30%/parvalue (VND 3000/shares). "
54.9,60.0,2590476,48164.0,1599.0,0.034,0.039,SAB - Financial Statement Quarter 1/2025,KQQY,2025-04-28,2025-04-28,1753-01-01,1753-01-01,SAB - Financial Statement Quarter 1/2025
54.9,60.0,2590633,48164.0,1599.0,0.034,0.039,SAB - Financial Statement Quarter 1/2025 (holding company),KQQY,2025-04-28,2025-04-28,1753-01-01,1753-01-01,SAB - Financial Statement Quarter 1/2025 (holding company)
25.8,22.0,2586281,46612.0,0.0,0.0,-0.051,SAB - Audited Financial Statement FY 2024,KQCT,2025-03-27,2025-03-27,1753-01-01,1753-01-01,SAB - Audited Financial Statement FY 2024
25.8,22.0,2586282,46612.0,0.0,0.0,-0.051,SAB - Audited Financial Statement Quarter 4/2024,KQQY,2025-03-27,2025-03-27,1753-01-01,1753-01-01,SAB - Audited Financial Statement Quarter 4/2024
25.8,22.0,2586302,46612.0,0.0,0.0,-0.051,SAB - Audited Financial Statement FY 2024 (holding company),KQCT,2025-03-27,2025-03-27,1753-01-01,1753-01-01,SAB - Audited Financial Statement FY 2024 (holding company)
25.8,22.0,2586309,46612.0,0.0,0.0,-0.051,SAB - Audited Financial Statement Quarter 4/2024 (holding company),KQQY,2025-03-27,2025-03-27,1753-01-01,1753-01-01,SAB - Audited Financial Statement Quarter 4/2024 (holding company)
36.7,24.0,2581172,49951.0,376.0,0.008,-0.009,SAB - Holds 2025 AGM,AGME,2025-02-05,2025-04-24,2025-03-24,2025-03-21,"Saigon Beer - Alcohol - Beverage Corporation (SAB) holds 2025 AGM Ex-date: March 21, 2025 Record date: March 24, 2025 Meeting time: April 24, 2025 Venue: To be advised later;. "
46.6,38.0,2580837,50610.0,-188.0,-0.004,-0.026,SAB - Financial Statement Quarter 4/2024,KQQY,2025-01-24,2025-01-24,1753-01-01,1753-01-01,SAB - Financial Statement Quarter 4/2024
46.6,38.0,2582691,50610.0,-188.0,-0.004,-0.026,SAB - Financial Statement Quarter 4/2024 (holding company),KQQY,2025-01-24,2025-01-24,1753-01-01,1753-01-01,SAB - Financial Statement Quarter 4/2024 (holding company)
