rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
48.6,42.0,46000.0,-800.0,-0.017,-0.024,11716611,SAB: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 14,TCBS,2025-09-19 17:42:57
41.3,30.0,47100.0,750.0,0.016,-0.021,11701793,SAB: Nghị quyết HĐQT về việc thông qua giao dịch với SATRACO và SBCO,TCBS,2025-09-04 16:51:33
43.5,34.0,46350.0,-200.0,-0.004,-0.036,11699464,SAB: Giải trình biến động KQKD 6 tháng đầu năm 2025 đã soát xét so với cùng kỳ năm trước,TCBS,2025-09-03 09:46:02
43.5,34.0,46350.0,-200.0,-0.004,-0.036,11699459,SAB: CBTT gia hạn các khoản vay nội bộ của CTCP Nước giải khát Chương Dương với SABECO,TCBS,2025-09-03 09:44:51
43.5,30.0,46550.0,0.0,0.0,-0.017,11698603,SAB: Giải trình BCTC Riêng soát xét bán niên năm 2025 so với cùng kỳ năm trước,TCBS,2025-08-29 18:10:07
38.4,21.0,46600.0,-150.0,-0.003,-0.023,11679793,Sabeco vẫn quyết tâm tăng 32% công suất nhà máy bia Củ Chi lên 350 triệu lít/năm sau nhiều lần bị từ chối từ 2019,TCBS,2025-08-21 08:52:00
48.8,28.0,47650.0,50.0,0.001,0.014,11657774,SAB: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,TCBS,2025-07-31 15:21:27
68.3,44.0,,,,,11649718,"Lợi nhuận ""đi lùi"", Sabeco vẫn có hơn 22.000 tỷ đồng gửi ngân hàng",TCBS,2025-07-27 20:10:00
67.6,46.0,49100.0,100.0,0.002,0.038,11649507,SAB: Giải trình BCTC quý 2/2025,TCBS,2025-07-25 18:06:00
59.4,55.0,47505.0,188.0,0.004,0.021,11611899,SAB: Thông báo ký kết hợp đồng kiểm toán BCTC 2025,TCBS,2025-06-26 17:33:26
59.4,55.0,47505.0,188.0,0.004,0.021,11611900,SAB: Nghị quyết HĐQT về việc thông qua hợp đồng mua bán với TBC - Ball,TCBS,2025-06-26 17:32:49
59.4,55.0,47505.0,188.0,0.004,0.021,11611901,SAB: Nghị quyết HĐQT về việc thông qua phụ lục hợp đồng tư vấn với Công ty TNHH Trung tâm Mê Linh,TCBS,2025-06-26 17:31:39
48.1,46.0,45671.0,470.0,0.01,0.14,11565444,SAB: Thông báo về ngày đăng ký cuối cùng chi trả cổ tức năm 2024 còn lại bằng tiền mặt,TCBS,2025-05-08 08:32:55
47.4,40.0,45012.0,-48.0,-0.001,0.123,11563394,"Sabeco (SAB) tạm ứng cổ tức bằng tiền mặt, tỷ lệ 30%",TCBS,2025-05-06 17:29:00
61.2,67.0,45248.0,-2916.0,-0.061,-0.016,11557960,Sabeco báo doanh thu và lợi nhuận quý 1/2025 thấp nhất từ thời Covid,TCBS,2025-04-29 07:57:00
