officer_name,officer_position,officer_own_percent
Le Hong Xanh,Member of Management Board,0.0
Le Hong Xanh,General Director,0.0
Lam Du An,Deputy General Director of Produce,0.0
Le Hong Xanh,Deputy General Director,0.0
Koh Poh Tiong,Chairman of Management Board,0.0
Tran Nguyen Trung,,0.0
Chung Tri Dung,,0.0
Pham Thi Hong Hanh,,0.0
Nguyen Thanh Nam,,0.0
Nguyen Van Minh,,0.0
Nguyen Thi Kim Khanh,,0.0
Bui Ngoc Hanh,,0.0
NGUYEN TIEN DUNG,,0.0
Nguyen Thi Thu Ha,,0.0
Nguyen Viet Tuan,,0.0
Ly Minh Hoang,,0.0
Nguyen Van Loc,,0.0
"Tan Tiang Hing, Malcolm",,0.0
Sunyaluck Chaikajornwat,,0.0
NEO GIM SIONG BENNETT,,0.0
