ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
SAB,2025,2,-0.15583961410298144,6867333006980,1207496669486,-0.03267838271403521,255243028080,-8765781329,6867333006980,-62998692205,6804334314775,-4356268929121,2448065385654,-15117680647,33710120832,-916441248237,-239298328912,1566161276770,4927803618,0,-9588962064,-4661158446,1561500118324,-289648060008,-21175769550,1250676288766,43179619280,1207496669486,VCI,yearly
SAB,2025,1,-0.18550452916715987,5899500354875,793113384493,-0.20471438763578528,243085541738,-10901060239,5899500354875,-88771713823,5810728641052,-3938664433825,1872064207227,-91111026238,52888632292,-798819252172,-247276682656,1030831420191,1250245672,0,-9871737223,-8621491551,1022209928640,-143258083584,-79316607744,799635237312,6521852819,793113384493,VCI,yearly
SAB,2024,4,0.05450209631744218,9048632840427,965458506669,0.01987101870439738,268487039624,-4881451450,9048632840427,-116121473511,8932511366916,-6433184640631,2499326726285,4487618119,130073647925,-1429400492822,-229906607275,1243067931856,15921152086,0,-19852335352,-3931183266,1239136748590,-314714975240,66348789509,990770562859,25312056190,965458506669,VCI,yearly
SAB,2024,3,0.031091406337009422,7737388215882,1119097179306,0.07151242362203447,253590755449,-6169631263,7737388215882,-67279614677,7670108601205,-5391899712720,2278208888485,-12464565152,50860754308,-867894877500,-224468201063,1477832754527,4485921047,0,-11260561181,-6774640134,1471058114393,-295901232943,-13797158364,1161359723086,42262543780,1119097179306,VCI,yearly
SAB,2024,2,-0.029407929577643876,8135104562722,1248288726219,0.07681220572057501,266344194542,-7599673429,8135104562722,-48818635505,8086285927217,-5645843203726,2440442723491,-8220884069,27875972006,-902281014716,-176489145552,1647671845702,7045833707,0,-20447022925,-13401189218,1634270656484,-300336107111,-15013044550,1318921504823,70632778604,1248288726219,VCI,yearly
SAB,2024,1,0.16073244068827752,7243134635043,997268619176,0.03097760734509359,278656181876,-8798792489,7243134635043,-59623043725,7183511591318,-5083293361314,2100218230004,-8590131912,-11365617585,-841980122799,-208549883706,1308388655878,860274298,0,-6355821478,-5495547180,1302893108698,-235304820116,-43866652439,1023721636143,26453016967,997268619176,VCI,yearly
SAB,2023,4,-0.15307952086080215,8580952917995,946647653441,-0.09267331701986789,346613696066,-7723006840,8580952917995,-60565784936,8520387133059,-6064659377808,2455727755251,-15528556143,32841390356,-1338740891061,-214018287934,1266895106535,7730992456,0,-25696125218,-17965132762,1248929973773,-344621238286,62210201436,966518936923,19871283482,946647653441,VCI,yearly
SAB,2023,3,-0.13541383223447442,7504075941598,1044408963102,-0.22171771515950872,373131633964,-10637821704,7504075941598,-89172067650,7414903873948,-5182137916658,2232765957290,-19396559741,76646778693,-1112062729381,-204452640392,1346632440433,4938700211,0,-6672787709,-1734087498,1344898352935,-261348321589,-9503202735,1074046828611,29637865509,1044408963102,VCI,yearly
SAB,2023,2,-0.0755175078319628,8381589764258,1159244592128,-0.3049581041748722,354413768251,-14330165656,8381589764258,-69447936430,8312141827828,-5824262761534,2487879066294,-17219852644,78103889404,-1167073474371,-200013094048,1536090302886,2921952020,0,-14652516866,-11730564846,1524359738040,-306141670985,-7778306770,1210439760285,51195168157,1159244592128,VCI,yearly
SAB,2023,1,-0.15196084355032125,6240141466838,967303860017,-0.17373601336219793,358409422073,-17523731719,6240141466838,-26207019458,6213934447380,-4298944721980,1914989725400,-21288714153,44461836204,-861350744768,-182207597561,1253013927195,1893047782,0,-2684635430,-791587648,1252222339547,-186971581113,-61203288544,1004047469890,36743609873,967303860017,VCI,yearly
SAB,2022,4,0.11456776357526281,10131946421601,1043337169730,-0.20582038060684182,324044164085,-13730253818,10131946421601,-102742147183,10029204274418,-7215615568862,2813588705556,-31503508249,65213973010,-1612396044064,-200308163933,1358639126405,7391710650,0,-6064269289,1327441361,1359966567766,-342596036213,58512170863,1075882702416,32545532686,1043337169730,VCI,yearly
SAB,2022,3,1.0079634345870436,8679384682954,1341941071312,2.0226271046843487,284273475636,-10570350223,8679384682954,-44306485418,8635078197536,-5940919284814,2694158912722,-13226929386,128914815087,-1152713360551,-210066739331,1731340174177,5913514109,0,-20126976588,-14213462479,1717126711698,-320873799856,-1656354438,1394596557404,52655486092,1341941071312,VCI,yearly
SAB,2022,2,0.2467581688213411,9066250399834,1667877287817,0.6700123716617998,253439018467,-10218965015,9066250399834,-57805206662,9008445193172,-5922532171779,3085913021393,-26529346987,73980377944,-1011692726370,-165365631116,2209744713331,3877697611,0,-8994070516,-5116372905,2204628340426,-383630888396,-27903220456,1793094231574,125216943757,1667877287817,VCI,yearly
SAB,2022,1,0.24861264053700755,7358317619392,1170695898236,0.27133998440479934,228804104459,-10997727944,7358317619392,-51961290683,7306356328709,-5129310041296,2177046287413,-10733332408,55010195235,-755266142154,-164925126088,1529935986457,3807243948,0,-2047531333,1759712615,1531695699072,-276881494261,-18589718921,1236224485890,65528587654,1170695898236,VCI,yearly
SAB,2021,4,0.14991816752709816,9090471438991,1313729469068,-0.10374093682887657,262381331690,-10758586829,9090471438991,-86624343072,9003847095919,-6511805224558,2492041871361,-10044816873,96993285475,-946942340208,-170807966554,1723621364891,5836160199,0,-6475439208,-639279009,1722982085882,-381960964172,59070487689,1400091609399,86362140331,1313729469068,VCI,yearly
SAB,2021,3,-0.4667937512398731,4322481442367,443965141857,-0.6812917307018453,222929704799,-11108422977,4322481442367,-40144769697,4282336672670,-3140769580677,1141567091993,-2723463678,3605064993,-608094954216,-159503041402,597780402489,3564827277,0,-2432794386,1132032891,598912435380,-109014305548,-17973607547,471924522285,27959380428,443965141857,VCI,yearly
SAB,2021,2,0.012093454689805213,7271859632895,998721516151,-0.14233109877421873,216904379300,-40953029703,7271859632895,-45590113781,7226269519114,-4963084978792,2263184540322,7343976541,12661763629,-1100553991152,-96338600667,1303202067973,8721028870,0,-8038323723,682705147,1303884773120,-205257357164,-27682017453,1070945398503,72223882352,998721516151,VCI,yearly
SAB,2021,1,0.19325650950990506,5893194879260,920836214228,0.3150480286258048,417381706068,14080239135,5893194879260,-31901873105,5861293006155,-4149521698338,1711771307817,-17359863597,59679849465,-844777343793,-171066646789,1155629009171,77807340480,0,-2321394290,75485946190,1231114955361,-258731621712,13960683402,986344017051,65507802823,920836214228,VCI,yearly
SAB,2020,4,-0.19432906889177057,7905320305131,1465792116422,0.45355954015987116,239953417054,-16349094162,7905320305131,-39958208887,7865362096244,-5397087868646,2468274227598,-42250549725,90438304308,-754295011022,-139733278845,1862387109368,17659319730,0,-8442499722,9216820008,1871603929376,-333797687102,-4049751803,1533756490471,67964374049,1465792116422,VCI,yearly
SAB,2020,3,-0.17316299546039132,8106584370341,1393014190798,0.004705658046182808,238673205859,-12786266446,8106584370341,-54466296230,8052118074111,-5579652554380,2472465519731,-24013836212,78499797946,-750027856987,-209279647616,1806317182721,23394526327,0,-7370854399,16023671928,1822340854649,-343388101315,-8536945438,1470415807896,77401617098,1393014190798,VCI,yearly
SAB,2020,2,-0.21727063305027156,7184968541392,1164460451724,-0.1900754289410012,226730792757,-16505453910,7184968541392,-49944475416,7135024065976,-4927884582852,2207139483124,-19105894502,57548990273,-794505301726,-211607411214,1466200658712,8967181772,0,-2588951449,6378230323,1472578889035,-223471270627,-33415883786,1215691734622,51231282898,1164460451724,VCI,yearly
SAB,2020,1,-0.47111185866479577,4938749407435,700230101246,-0.4263790049204197,269044219200,-18040511955,4938749407435,-29929806755,4908819600680,-3555604046684,1353215553996,-20079097127,40918827464,-560208611348,-141385006840,941505885345,5931223157,0,-2142455597,3788767560,945294652905,-224285763426,-4026952214,716981937265,16751836019,700230101246,VCI,yearly
SAB,2019,4,-0.05701835576729536,9812095732754,1008415600410,0.16834443010887615,267743284104,-17744056606,9812095732754,-83012735777,9729082996977,-7181884978097,2547198018880,-98302533226,122373098445,-903901753854,-517138474052,1417971640297,34573998268,0,-23207031752,11366966516,1429338606813,-367620724593,29122952766,1090840834986,82425234576,1008415600410,VCI,yearly
SAB,2019,3,0.14491264688562172,9804331840294,1386489843709,0.42222408144167667,251070983705,-5792155363,9804331840294,-58897471761,9745434368533,-7346798519028,2398635849505,14319721967,88839463031,-763534225029,-181277264334,1808054528845,20092101094,0,-26958201665,-6866100571,1801188428274,-343965448685,2084949429,1459307929018,72818085309,1386489843709,VCI,yearly
SAB,2019,2,-0.006428872047175094,9179377757847,1437739381337,0.17513017489257218,198779893800,-5970927556,9179377757847,-91611628993,9087766128854,-6674203727429,2413562401425,-12800748500,91368677569,-644166172570,-183283817366,1863460234358,12435493600,0,-4316718275,8118775325,1871579009683,-287202507070,-54310769354,1530065733259,92326351922,1437739381337,VCI,yearly
