time,symbol,open,high,low,close,volume
2015-10-05,SHB,1.91,1.97,1.91,1.94,1266134.0
2015-10-06,SHB,1.94,2.0,1.94,1.97,1634906.0
2015-10-07,SHB,1.97,1.97,1.91,1.94,1211857.0
2015-10-08,SHB,1.94,1.99,1.94,1.97,4768036.0
2015-10-09,SHB,1.97,1.99,1.96,1.97,2837419.0
2015-10-10,SHB,1.97,1.99,1.96,1.97,2837419.0
2015-10-11,SHB,1.97,1.99,1.96,1.97,2837419.0
2015-10-12,SHB,1.97,2.01,1.95,1.97,2034148.0
2015-10-13,SHB,2.0,2.0,1.94,1.97,2440995.0
2015-10-14,SHB,1.97,1.94,1.92,1.94,627491.0
2015-10-15,SHB,1.94,2.01,1.93,1.97,5956855.0
2015-10-16,SHB,1.97,2.0,1.94,1.97,2326643.0
2015-10-17,SHB,1.97,2.0,1.94,1.97,2326643.0
2015-10-18,SHB,1.97,2.0,1.94,1.97,2326643.0
2015-10-19,SHB,1.97,1.98,1.95,1.97,3098321.0
2015-10-20,SHB,1.97,1.95,1.92,1.94,1272373.0
2015-10-21,SHB,1.94,1.91,1.89,1.91,2744410.0
2015-10-22,SHB,1.91,1.97,1.91,1.94,1336132.0
2015-10-23,SHB,1.94,1.96,1.93,1.94,1139546.0
2015-10-24,SHB,1.94,1.96,1.93,1.94,1139546.0
2015-10-25,SHB,1.94,1.96,1.93,1.94,1139546.0
2015-10-26,SHB,1.97,2.01,1.95,1.97,4523912.0
2015-10-27,SHB,1.94,1.96,1.9,1.91,2869040.0
2015-10-28,SHB,1.94,1.94,1.88,1.91,1664385.0
2015-10-29,SHB,1.91,1.94,1.91,1.91,953806.0
2015-10-30,SHB,1.91,1.97,1.91,1.94,857330.0
2015-10-31,SHB,1.91,1.97,1.91,1.94,857330.0
2015-11-01,SHB,1.91,1.97,1.91,1.94,857330.0
2015-11-02,SHB,2.03,2.0,1.89,1.91,605434.0
2015-11-03,SHB,1.91,1.97,1.91,1.94,763554.0
2015-11-04,SHB,1.91,1.97,1.94,1.94,825645.0
2015-11-05,SHB,1.94,1.93,1.9,1.91,502277.0
2015-11-06,SHB,1.91,1.94,1.88,1.91,878020.0
2015-11-07,SHB,1.91,1.94,1.88,1.91,878020.0
2015-11-08,SHB,1.91,1.94,1.88,1.91,878020.0
2015-11-09,SHB,1.74,1.94,1.74,1.91,762920.0
2015-11-10,SHB,1.91,1.94,1.91,1.91,1057213.0
2015-11-11,SHB,1.91,1.94,1.88,1.91,795984.0
2015-11-12,SHB,1.91,1.91,1.88,1.91,730847.0
2015-11-13,SHB,1.94,1.97,1.91,1.94,2322996.0
2015-11-14,SHB,1.94,1.97,1.91,1.94,2322996.0
2015-11-15,SHB,1.94,1.97,1.91,1.94,2322996.0
2015-11-16,SHB,1.94,1.94,1.91,1.91,386414.0
2015-11-17,SHB,1.91,1.94,1.91,1.91,2689212.0
2015-11-18,SHB,1.91,1.97,1.91,1.94,814176.0
2015-11-19,SHB,1.94,1.94,1.88,1.91,1066628.0
2015-11-20,SHB,1.91,1.94,1.91,1.91,1022302.0
2015-11-21,SHB,1.91,1.94,1.91,1.91,1022302.0
2015-11-22,SHB,1.91,1.94,1.91,1.91,1022302.0
2015-11-23,SHB,1.91,1.94,1.91,1.91,1019451.0
2015-11-24,SHB,1.88,1.94,1.88,1.91,1348484.0
2015-11-25,SHB,1.91,1.92,1.89,1.91,555886.0
2015-11-26,SHB,1.91,1.94,1.91,1.91,1364519.0
2015-11-27,SHB,1.91,1.95,1.89,1.91,972226.0
2015-11-28,SHB,1.91,1.95,1.89,1.91,972226.0
2015-11-29,SHB,1.91,1.95,1.89,1.91,972226.0
2015-11-30,SHB,1.88,1.94,1.91,1.91,1041927.0
2015-12-01,SHB,1.88,1.92,1.87,1.88,1678361.0
2015-12-02,SHB,1.88,1.92,1.86,1.88,2947689.0
2015-12-03,SHB,1.88,1.88,1.85,1.86,689669.0
