ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Leased assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Difference upon Assets Revaluation,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
SHB,2025,2,825718979000000,2097126000000,30626622000000,106638988000000,1810000000,3325000000,-1515000000,0,584806636000000,594564116000000,-9757480000000,44637945000000,17326696000000,27734964000000,-423715000000,419945000000,348668000000,158272000000,-86995000000,5350814000000,830465000000,0,4520349000000,0,51139093000000,825718979000000,762451065000000,1206750000000,121148251000000,561718311000000,86710000000,7978507000000,54598314000000,15714222000000,63267914000000,42101813000000,7182424000000,-460465000000,0,14444142000000,0,40657470000000,0,0,VCI,yearly
SHB,2025,1,790742321000000,1690751000000,35473344000000,124110875000000,1821000000,3880000000,-2059000000,0,558296462000000,567948143000000,-9651681000000,28810113000000,14395427000000,14838424000000,-423738000000,443238000000,371961000000,158272000000,-86995000000,5321898000000,825432000000,0,4496466000000,0,36593819000000,790742321000000,729269185000000,1227058000000,137035250000000,530116264000000,52351000000,5264242000000,41598814000000,13975206000000,61473136000000,42101813000000,7158400000000,-508863000000,0,12721786000000,0,40657470000000,0,0,VCI,yearly
SHB,2024,4,747478069000000,1563509000000,27436936000000,117348823000000,4910456000000,4949608000000,-39152000000,0,511153150000000,519949991000000,-8796841000000,32335975000000,14956915000000,17812962000000,-433902000000,441291000000,370014000000,158272000000,-86995000000,5328025000000,826882000000,0,4501143000000,0,46959904000000,747478069000000,689410725000000,1242864000000,134090990000000,499896571000000,61927000000,1429650000000,39248195000000,13440528000000,58067344000000,38073428000000,7191833000000,-530940000000,0,13333023000000,0,36629085000000,0,0,VCI,yearly
SHB,2024,3,688387029000000,1537467000000,38162945000000,101054271000000,6633596000000,6672352000000,-38756000000,21453000000,471738755000000,480983938000000,-9245183000000,29003078000000,12733839000000,16508132000000,-238893000000,432018000000,357742000000,158272000000,-83996000000,5254701000000,756692000000,1594000000,4496415000000,0,34548745000000,688387029000000,632635960000000,1260590000000,107670219000000,471799292000000,0,1496988000000,36548196000000,13860675000000,55751069000000,38073428000000,5357607000000,-614627000000,0,12934661000000,0,36629085000000,0,0,VCI,yearly
SHB,2024,2,659861729000000,1708837000000,23163052000000,85931463000000,4918981000000,4957767000000,-38786000000,0,452461770000000,461255744000000,-8793974000000,48012351000000,14023686000000,34241168000000,-252503000000,422214000000,350938000000,158272000000,-86996000000,5252411000000,750047000000,0,4502364000000,0,37990650000000,659861729000000,603764664000000,1278944000000,91908829000000,459295640000000,240110000000,1540687000000,35832622000000,13667832000000,56097065000000,38073428000000,5356734000000,-538444000000,0,13205347000000,0,36629085000000,0,0,VCI,yearly
SHB,2024,1,621144113000000,1557555000000,8836250000000,69288881000000,6070761000000,6118159000000,-47398000000,0,428512864000000,437666533000000,-9153669000000,62808501000000,14020640000000,48929072000000,-141211000000,421989000000,350713000000,158272000000,-86996000000,5244103000000,751262000000,2243000000,4490598000000,0,38403209000000,621144113000000,567963139000000,1308808000000,68598943000000,444297051000000,171196000000,1575243000000,35944078000000,16067820000000,53180974000000,37638324000000,5132384000000,-679092000000,0,11089358000000,0,36193981000000,0,0,VCI,yearly
SHB,2023,4,630424751000000,1370849000000,54763646000000,63547919000000,7851612000000,7853152000000,-1540000000,0,428763835000000,438464147000000,-9700312000000,32078505000000,14373759000000,17833636000000,-128890000000,341523000000,294940000000,158272000000,-111689000000,5229416000000,734978000000,0,4494438000000,0,36477446000000,630424751000000,580544885000000,1333658000000,70773152000000,447503426000000,97152000000,1611235000000,42821727000000,16404535000000,49879866000000,37638324000000,4034288000000,-689038000000,0,8896292000000,0,36193981000000,0,0,VCI,yearly
SHB,2023,3,595697716000000,1523019000000,30361033000000,65682788000000,2341000000,3881000000,-1540000000,0,412668584000000,420528170000000,-7859586000000,35354340000000,15036485000000,20396042000000,-78187000000,379774000000,333140000000,158272000000,-111638000000,5197617000000,719696000000,2841000000,4475080000000,0,44528220000000,595697716000000,546174112000000,1353887000000,57847064000000,427449408000000,94310000000,1645732000000,35923070000000,21860641000000,49523604000000,37638324000000,4035087000000,-681604000000,0,8531797000000,0,36193981000000,0,0,VCI,yearly
SHB,2023,2,585269850000000,1443956000000,30143998000000,68922397000000,2341000000,3881000000,-1540000000,145447000000,400631980000000,407634077000000,-7002097000000,33700784000000,15959254000000,17820729000000,-79199000000,410293000000,335900000000,158272000000,-83879000000,4997949000000,525542000000,0,4472407000000,0,44870705000000,585269850000000,537656308000000,1374724000000,63199373000000,409618315000000,0,1452356000000,42258821000000,19752719000000,47613542000000,32118175000000,4042005000000,-663587000000,0,12116949000000,0,30673832000000,0,0,VCI,yearly
SHB,2023,1,570193860000000,1478314000000,17537834000000,56572446000000,1547000000,3881000000,-2334000000,389427000000,400120644000000,408529502000000,-8408858000000,38852358000000,18917903000000,20041796000000,-107341000000,46699000000,0,158272000000,-111573000000,4991698000000,526347000000,5548000000,4459803000000,0,50202893000000,570193860000000,524380204000000,1394326000000,70694596000000,391481655000000,0,1515424000000,38840405000000,20453798000000,45813656000000,32118175000000,4056810000000,-613051000000,0,10251722000000,0,30673832000000,0,0,VCI,yearly
