ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
SHB,2025,2,293242000000,12613163000000,-13388477000000,-34656000000,-59794000000,-1947000000,-61883000000,0,997251000000,-12487765000000,136032807000000,0,123545042000000,-13423133000000,392000000,0,0,-2002749000000,VCI,quarterly
SHB,2025,1,1360000000,-2027057000000,14735318000000,0,-22178000000,1947000000,-19964000000,0,-81000000,14715273000000,121317534000000,0,136032807000000,14735318000000,341000000,0,0,-81000000,VCI,quarterly
SHB,2024,4,159109000000,14614301000000,6120568000000,0,-106788000000,14772000000,-91602000000,0,-1711463000000,4317503000000,117000031000000,0,121317534000000,6120568000000,1051000000,0,0,-1711463000000,VCI,quarterly
SHB,2024,3,336377000000,2357697000000,27983662000000,0,-29206000000,7111000000,-21680000000,0,-34658000000,27927324000000,89072707000000,0,117000031000000,27983662000000,759000000,0,0,-34658000000,VCI,quarterly
SHB,2024,2,36651000000,206861000000,30261297000000,0,-277341000000,7619000000,-269093000000,435104000000,435059000000,30427263000000,58645444000000,0,89072707000000,30261297000000,632000000,0,0,-45000000,VCI,quarterly
SHB,2024,1,144190000000,-2525435000000,-52416402000000,0,202603000000,0,202387000000,0,-327000000,-52214342000000,110859786000000,0,58645444000000,-52416402000000,32000000,0,0,-327000000,VCI,quarterly
SHB,2023,4,249072000000,6677067000000,25303592000000,0,-62400000000,-574000000,10653000000,0,0,25314245000000,85645898000000,0,110960143000000,25303592000000,-424000000,38200000000,35966000000,0,VCI,quarterly
SHB,2023,3,-5257000000,4801434000000,-4140894000000,0,-46001000000,-2759000000,-45801000000,5520149000000,5520137000000,1333442000000,84312456000000,0,85645898000000,-4140894000000,199000000,2760000000,0,-12000000,VCI,quarterly
SHB,2023,2,-4010000000,453302000000,18443215000000,0,-71098000000,1666000000,767570000000,0,-1000000,19210784000000,65101672000000,0,84312456000000,18443215000000,114000000,0,836888000000,-1000000,VCI,quarterly
SHB,2023,1,18839000000,7519113000000,-4338848000000,0,-61342000000,1667000000,-59564000000,0,-8000000,-4398420000000,69500092000000,0,65101672000000,-4338848000000,111000000,0,0,-8000000,VCI,quarterly
