rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
45.7,58.0,17000,50,0.003,-0.108,11728848,SHB lấy ý kiến cổ đông bằng văn bản về phương án tăng vốn điều lệ năm 2025,TCBS,2025-10-02 19:50:00
45.7,58.0,17000,50,0.003,-0.108,11728753,SHB: Thông báo ngày ĐKCC lấy ý kiến cổ đông bằng văn bản,TCBS,2025-10-02 18:04:11
45.7,58.0,17000,50,0.003,-0.108,11728765,SHB: Nghị quyết HĐQT về việc lấy ý kiến cổ đông bằng văn bản,TCBS,2025-10-02 17:26:29
47.9,80.0,16800,-400,-0.023,-0.106,11724611,SHB chính thức nâng vốn điều lệ lên 45.942 tỷ đồng,TCBS,2025-09-29 15:01:00
47.9,80.0,16800,-400,-0.023,-0.106,11724641,SHB: Thông báo quyết định của NHNN về việc sửa đổi nội dung vốn điều lệ tại Giấy phép thành lập và hoạt động của SHB,TCBS,2025-09-29 14:52:19
49.5,64.0,17200,-150,-0.009,-0.011,11723117,SHB: Thông báo về việc giao dịch chứng khoán thay đổi đăng ký niêm yết,TCBS,2025-09-26 15:10:00
49.5,63.0,17350,0,0.0,0.064,11721709,"SHB: Quyết định của HĐQT về việc điều chỉnh tên gọi và địa chỉ trụ sở của CN Quảng Ninh, Thủ Đô và các phòng GD trực thuộc",TCBS,2025-09-25 17:46:43
54.5,76.0,17750,-100,-0.006,-0.041,11716612,SHB: Nghị quyết HĐQT về việc cấp hạn mưc thấu chi đối với khách hàng doanh nghiệp,TCBS,2025-09-19 17:44:30
54.5,76.0,17750,-100,-0.006,-0.041,11716422,SHB: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ CTCP CK Sài Gòn - Hà Nội,TCBS,2025-09-19 15:57:08
56.6,79.0,17850,-200,-0.011,-0.053,11715025,SHB: Quyết định của HĐQT về việc thay đổi địa điểm trụ sở Chi nhánh Long An,TCBS,2025-09-18 15:48:46
58.2,76.0,18050,-150,-0.008,-0.042,11713825,SHB: Quyết định về việc thay đổi đăng ký niêm yết,TCBS,2025-09-17 16:03:00
53.1,72.0,17800,250,0.014,-0.035,11710659,SHB: Nghị quyết HĐQT về việc tái cấp hạn mức tín dụng đối với khách hàng doanh nghiệp,TCBS,2025-09-15 10:20:03
54.0,71.0,17800,200,0.011,0.053,11707342,SHB: Thông báo về việc nhận được văn bản của UBCKNN về tài liệu báo cáo kết quả phát hành cổ phiếu để trả cổ tức,TCBS,2025-09-10 16:46:32
65.9,88.0,18000,-850,-0.045,0.108,11703529,SHB: Thông báo nhận được Quyết định của Chi cục thuế doanh nghiệp lớn - Cục thuế,TCBS,2025-09-05 17:49:03
66.8,95.0,19050,250,0.013,0.157,11700147,SHB: Giải trình biến động LNST trên BCTC bán niên 2025 soát xét so với cùng kỳ năm trước,TCBS,2025-09-03 16:10:53
