officer_name,officer_position,officer_own_percent
Do Vinh Quang,,0.0293
Do Quang Vinh,Vice Chairman of Management Board,0.0277
Do Quang Vinh,Deputy General Director,0.0277
Do Quang Hien,Chairman of Management Board,0.0272
Do Thi Thu Ha,,0.0203
NGUYEN VAN LE,,0.0023
Tran Ngoc Linh,,0.002
Phan Huy Chi,,0.0017
Ngo Thu Ha,Member of Management Board,0.0008
Ngo Thu Ha,Legal Representative,0.0008
Ngo Thu Ha,General Director,0.0008
Dang To Loan,,0.0007
Dam Ngoc Bich,Member of Management Board,0.0003
Vu Thi Le Quyen,,0.0003
Nguyen Ngoc Phung,,0.0003
Thai Quoc Minh,Member of Management Board,0.0001
Pham Hoa Binh,Head of Supervisors Board,0.0001
Ninh Thi Lan Huong,Deputy General Director,0.0001
Do Duc Hai,Deputy General Director,0.0001
Nguyen Thi Mi,,0.0001
