Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
SHB,2025,2,12.0511491022,0.0845738963355106,1.377125803610853,0.3981302969062225,0.1839488044,0.0,0.0143768137,0.0,13.05114910221317,78092965246000,4593703838,7.1190572896,1.2343217961,2.6260842567,2.2052179382,793.8907532157714,13772.7455297914,VCI,quarterly
SHB,2025,1,11.8632175362,0.0865727429295294,1.3380596334261827,0.630692416881311,0.1661104206,0.0,0.0133159435,0.0,12.863217536193371,57523299046400,4065250816,5.9877891909,0.9357469423,2.4186324867,0.7273848484,860.0576343872998,15121.6096576512,VCI,quarterly
SHB,2024,4,11.872606486,0.09175596183631199,1.2639272059696458,0.24886170467302823,0.1723643549,0.0,0.0135298878,0.1512605042,12.872606486013895,48376484710400,4065250816,5.1768528735,0.8331099957,2.0522628907,4.0386520743,513.4989437266742,14283.8281395723,VCI,quarterly
SHB,2024,3,11.3475126369,0.09425291916824052,1.213509832152663,0.5334253273031399,0.1454292365,0.0,0.012021631,0.1782178218,12.347512636932576,36990364795600,3662412356,4.7069488261,0.6634915789,1.8604275076,1.1813447615,475.0778533033106,15222.4991565095,VCI,quarterly
SHB,2024,2,10.7628565594,0.09363076303546362,1.2210409800824988,0.5179537170908961,0.1558791297,0.0,0.0129746419,0.1666666667,11.762856559429624,39554053444800,3662412356,4.8211206203,0.7051002302,1.91803621,-39.5066429901,623.9690613363582,15316.9713148489,VCI,quarterly
SHB,2024,1,10.6798182937,0.09860863022177818,1.157567666235335,0.6207427325466129,0.1558162728,0.0,0.0128236945,0.1518987342,11.679818293662692,43399586418600,3662412356,5.5184294007,0.809450967,2.0349244383,-3.3594045598,876.275986438923,14639.5525894736,VCI,quarterly
SHB,2023,4,11.5852760813,0.10484021749376793,1.085713850930057,0.10811410788614155,0.157517018,0.0,0.0124896894,0.1327433628,12.638862161337803,41385259622800,3662412356,5.5957683539,0.8189686918,1.9403830313,1.0053281775,158.1102682365459,13797.8412526959,VCI,quarterly
SHB,2023,3,11.0285614916,0.10495231728288595,1.077959247339902,0.46560488046819853,0.1587424331,0.0,0.012803217,0.1219512195,12.028561491607114,44512493702100,3618901927,6.0405559736,0.8988136991,2.1620657885,1.481203648,568.8720063510027,13684.7046421769,VCI,quarterly
SHB,2023,2,11.2920880366,0.10496906531339341,1.0363837393075597,0.475089096627511,0.177093934,0.0,0.0141395935,0.1382488479,12.29208803663462,39265085907950,3618901927,4.9697594258,0.8246621499,1.8422304404,1.2351173783,539.2478269279167,13156.9031049898,VCI,quarterly
SHB,2023,1,11.4459366439,0.10895655216863723,0.9972063854571083,0.4930205131460763,0.1874871368,0.0,0.0147404772,0.1090909091,12.445936643868807,42169696387500,3066887010,5.2686359009,0.9204612788,2.0195303635,20.2600255489,939.4438042893534,14938.1623289734,VCI,quarterly
