time,open,high,low,close,volume,data_source
2015-10-05,1.91,1.97,1.91,1.94,1266134,TCBS
2015-10-06,1.94,2.0,1.94,1.97,1634906,TCBS
2015-10-07,1.97,1.97,1.91,1.94,1211857,TCBS
2015-10-08,1.94,1.99,1.94,1.97,4768036,TCBS
2015-10-09,1.97,1.99,1.96,1.97,2837419,TCBS
2015-10-12,1.97,2.01,1.95,1.97,2034148,TCBS
2015-10-13,2.0,2.0,1.94,1.97,2440995,TCBS
2015-10-14,1.97,1.94,1.92,1.94,627491,TCBS
2015-10-15,1.94,2.01,1.93,1.97,5956855,TCBS
2015-10-16,1.97,2.0,1.94,1.97,2326643,TCBS
2015-10-19,1.97,1.98,1.95,1.97,3098321,TCBS
2015-10-20,1.97,1.95,1.92,1.94,1272373,TCBS
2015-10-21,1.94,1.91,1.89,1.91,2744410,TCBS
2015-10-22,1.91,1.97,1.91,1.94,1336132,TCBS
2015-10-23,1.94,1.96,1.93,1.94,1139546,TCBS
2015-10-26,1.97,2.01,1.95,1.97,4523912,TCBS
2015-10-27,1.94,1.96,1.9,1.91,2869040,TCBS
2015-10-28,1.94,1.94,1.88,1.91,1664385,TCBS
2015-10-29,1.91,1.94,1.91,1.91,953806,TCBS
2015-10-30,1.91,1.97,1.91,1.94,857330,TCBS
2015-11-02,2.03,2.0,1.89,1.91,605434,TCBS
2015-11-03,1.91,1.97,1.91,1.94,763554,TCBS
2015-11-04,1.91,1.97,1.94,1.94,825645,TCBS
2015-11-05,1.94,1.93,1.9,1.91,502277,TCBS
2015-11-06,1.91,1.94,1.88,1.91,878020,TCBS
2015-11-09,1.74,1.94,1.74,1.91,762920,TCBS
2015-11-10,1.91,1.94,1.91,1.91,1057213,TCBS
2015-11-11,1.91,1.94,1.88,1.91,795984,TCBS
2015-11-12,1.91,1.91,1.88,1.91,730847,TCBS
2015-11-13,1.94,1.97,1.91,1.94,2322996,TCBS
2015-11-16,1.94,1.94,1.91,1.91,386414,TCBS
2015-11-17,1.91,1.94,1.91,1.91,2689212,TCBS
2015-11-18,1.91,1.97,1.91,1.94,814176,TCBS
2015-11-19,1.94,1.94,1.88,1.91,1066628,TCBS
2015-11-20,1.91,1.94,1.91,1.91,1022302,TCBS
2015-11-23,1.91,1.94,1.91,1.91,1019451,TCBS
2015-11-24,1.88,1.94,1.88,1.91,1348484,TCBS
2015-11-25,1.91,1.92,1.89,1.91,555886,TCBS
2015-11-26,1.91,1.94,1.91,1.91,1364519,TCBS
2015-11-27,1.91,1.95,1.89,1.91,972226,TCBS
2015-11-30,1.88,1.94,1.91,1.91,1041927,TCBS
2015-12-01,1.88,1.92,1.87,1.88,1678361,TCBS
2015-12-02,1.88,1.92,1.86,1.88,2947689,TCBS
2015-12-03,1.88,1.88,1.85,1.86,689669,TCBS
2015-12-04,1.86,1.89,1.83,1.86,2455175,TCBS
2015-12-07,1.86,1.85,1.82,1.83,960442,TCBS
2015-12-08,1.83,1.84,1.81,1.83,3167145,TCBS
2015-12-09,1.8,1.82,1.79,1.8,1358326,TCBS
