ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
SHB,2025,2,18018126000000,0.6117137080489321,3646899000000,0.5958550379129997,18018126000000,-8858062000000,9160064000000,761293000000,-77138000000,684155000000,68196000000,42089000000,10272000000,455872000000,-60424000000,395448000000,-23293000000,10336931000000,-1620285000000,8716646000000,-4140819000000,4575827000000,-928928000000,-919005000000,-9923000000,0,3646899000000,3646899000000,0,VCI,quarterly
SHB,2025,1,13868209000000,0.06250024420741918,3496350000000,0.08944861221381467,13868209000000,-8324540000000,5543669000000,375946000000,-46695000000,329251000000,48409000000,0,56128000000,86062000000,-14465000000,71597000000,1947000000,6051001000000,-1059418000000,4991583000000,-621079000000,4370504000000,-874154000000,-874154000000,0,0,3496350000000,3496350000000,0,VCI,quarterly
SHB,2024,4,15880029000000,0.04940154483784595,2087502000000,2.604952811860499,15880029000000,-7491828000000,8388201000000,796567000000,-29782000000,766785000000,38523000000,2141000000,-194463000000,618649000000,-136825000000,481824000000,14772000000,9497783000000,-2287293000000,7210490000000,-4689381000000,2521109000000,-433607000000,-447588000000,13981000000,0,2087502000000,2087502000000,2306,VCI,quarterly
SHB,2024,3,10375405000000,-0.2454329384065315,1739931000000,-0.15483666327940265,10375405000000,-7113597000000,3261808000000,236730000000,-92004000000,144726000000,-25716000000,24000000,74788000000,406435000000,-17473000000,388962000000,7111000000,3851703000000,-1160910000000,2690793000000,-517380000000,2173413000000,-433482000000,-421562000000,-11920000000,0,1739931000000,1739931000000,0,VCI,quarterly
SHB,2024,2,11179483000000,-0.19926014805633974,2285232000000,0.17102206780989862,11179483000000,-6767444000000,4412039000000,309730000000,-86363000000,223367000000,21021000000,1164000000,-103428000000,-157295000000,-14036000000,-171331000000,79000000,4382911000000,-1197373000000,3185538000000,-327839000000,2857699000000,-572467000000,-584387000000,11920000000,0,2285232000000,2285232000000,1500,VCI,quarterly
SHB,2024,1,13052429000000,-0.13893527291265956,3209284000000,0.1138829807911236,13052429000000,-7882358000000,5170071000000,226505000000,-77963000000,148542000000,52460000000,0,5042000000,474012000000,-17799000000,456213000000,7540000000,5839868000000,-1114655000000,4725213000000,-708192000000,4017021000000,-807737000000,-807737000000,0,0,3209284000000,3209284000000,0,VCI,quarterly
SHB,2023,4,15132462000000,0.3451712254151729,579065000000,0.2100483338104721,15132462000000,-9776408000000,5356054000000,252767000000,-118521000000,134246000000,45021000000,0,34224000000,307833000000,-24844000000,282989000000,-44293000000,5808241000000,-1192502000000,4615739000000,-3880765000000,734974000000,-155909000000,-155909000000,0,0,579065000000,579065000000,0,VCI,quarterly
SHB,2023,3,13750143000000,0.29524776183514445,2058692000000,-0.2053293744400478,13750143000000,-9328600000000,4421543000000,102011000000,-64117000000,37894000000,107792000000,0,11543000000,38359000000,-25989000000,12370000000,0,4591142000000,-1546063000000,3045079000000,-619788000000,2425291000000,-366599000000,-364243000000,-2356000000,0,2058692000000,2058692000000,0,VCI,quarterly
SHB,2023,2,13961442000000,0.4128573130128226,1951485000000,-0.050277059403521715,13961442000000,-9853823000000,4107619000000,225188000000,-95893000000,129295000000,64569000000,794000000,27358000000,81230000000,-5602000000,75628000000,682856000000,5088119000000,-1086678000000,4001441000000,-1537138000000,2464303000000,-512818000000,-515174000000,2356000000,0,1951485000000,1951485000000,1335,VCI,quarterly
SHB,2023,1,15158476000000,0.6113528028983455,2881168000000,0.11600464968367509,15158476000000,-9314565000000,5843911000000,308594000000,-86270000000,222324000000,64831000000,0,988000000,85883000000,-15931000000,69952000000,1667000000,6203673000000,-1209770000000,4993903000000,-1373956000000,3619947000000,-738779000000,-738779000000,0,0,2881168000000,2881168000000,0,VCI,quarterly
