time,symbol,open,high,low,close,volume
2021-03-24,SSB,9.95,9.95,9.95,9.95,6007500.0
2021-03-25,SSB,10.64,10.64,10.64,10.64,1464100.0
2021-03-26,SSB,11.38,11.38,11.38,11.38,1078500.0
2021-03-27,SSB,11.38,11.38,11.38,11.38,1078500.0
2021-03-28,SSB,11.38,11.38,11.38,11.38,1078500.0
2021-03-29,SSB,12.17,12.17,11.85,12.17,3992200.0
2021-03-30,SSB,13.01,13.01,12.96,13.01,1896300.0
2021-03-31,SSB,13.89,13.89,13.43,13.89,4138700.0
2021-04-01,SSB,13.87,13.92,13.38,13.92,3793500.0
2021-04-02,SSB,13.67,13.94,13.67,13.94,2990700.0
2021-04-03,SSB,13.67,13.94,13.67,13.94,2990700.0
2021-04-04,SSB,13.67,13.94,13.67,13.94,2990700.0
2021-04-05,SSB,13.84,13.89,13.52,13.87,1564100.0
2021-04-06,SSB,13.77,13.82,13.48,13.82,1881700.0
2021-04-07,SSB,13.82,13.82,13.57,13.82,1208100.0
2021-04-08,SSB,13.72,13.72,13.57,13.62,911300.0
2021-04-09,SSB,13.33,13.67,13.33,13.67,955900.0
2021-04-10,SSB,13.33,13.67,13.33,13.67,955900.0
2021-04-11,SSB,13.33,13.67,13.33,13.67,955900.0
2021-04-12,SSB,13.67,13.67,13.67,13.67,846900.0
2021-04-13,SSB,13.38,13.57,13.38,13.48,433600.0
2021-04-14,SSB,13.33,13.45,13.23,13.23,579800.0
2021-04-15,SSB,13.03,13.33,12.59,13.33,1409400.0
2021-04-16,SSB,13.33,13.48,13.08,13.48,574400.0
2021-04-17,SSB,13.33,13.48,13.08,13.48,574400.0
2021-04-18,SSB,13.33,13.48,13.08,13.48,574400.0
2021-04-19,SSB,13.52,13.57,13.38,13.57,886900.0
2021-04-20,SSB,13.62,13.62,13.52,13.57,1465400.0
2021-04-21,SSB,13.62,13.62,13.52,13.57,1465400.0
2021-04-22,SSB,13.48,13.57,13.23,13.57,729000.0
2021-04-23,SSB,13.57,13.57,12.88,12.88,853900.0
2021-04-24,SSB,13.57,13.57,12.88,12.88,853900.0
2021-04-25,SSB,13.57,13.57,12.88,12.88,853900.0
2021-04-26,SSB,13.33,13.43,13.01,13.23,578000.0
2021-04-27,SSB,12.39,13.28,12.39,13.28,705300.0
2021-04-28,SSB,12.83,13.3,12.83,13.23,846500.0
2021-04-29,SSB,12.88,13.3,12.88,13.25,1199900.0
2021-04-30,SSB,12.88,13.3,12.88,13.25,1199900.0
2021-05-01,SSB,12.88,13.3,12.88,13.25,1199900.0
2021-05-02,SSB,12.88,13.3,12.88,13.25,1199900.0
2021-05-03,SSB,12.88,13.3,12.88,13.25,1199900.0
2021-05-04,SSB,12.86,13.08,12.86,13.03,1055500.0
2021-05-05,SSB,13.03,13.08,12.88,13.06,647500.0
2021-05-06,SSB,13.06,13.97,12.98,13.5,1078900.0
2021-05-07,SSB,13.57,13.67,13.33,13.57,1122000.0
2021-05-08,SSB,13.57,13.67,13.33,13.57,1122000.0
2021-05-09,SSB,13.57,13.67,13.33,13.57,1122000.0
2021-05-10,SSB,13.57,13.82,13.33,13.82,1638300.0
2021-05-11,SSB,13.97,13.97,13.67,13.82,942400.0
2021-05-12,SSB,13.82,13.82,13.67,13.82,1429600.0
2021-05-13,SSB,13.82,14.07,13.38,13.97,2069300.0
2021-05-14,SSB,14.07,14.93,13.57,14.93,3100400.0
2021-05-15,SSB,14.07,14.93,13.57,14.93,3100400.0
2021-05-16,SSB,14.07,14.93,13.57,14.93,3100400.0
2021-05-17,SSB,14.96,15.8,14.96,15.52,3145000.0
