ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),Other Reserves,data_source,period_type
SSB,2025,2,379013742000000,1088414000000,6163000000000,110144975000000,10264524000000,10264524000000,0,0,217398122000000,220570565000000,-3172443000000,23292635000000,23292635000000,350458000000,-350458000000,59070000000,0,59070000000,0,1455204000000,508877000000,946327000000,56855000000,9090943000000,379013742000000,339525772000000,6597412000000,127173329000000,166648051000000,702967000000,0,32344900000000,6059113000000,39487970000000,28453167000000,2666271000000,-845000000,8369377000000,28450000000000,0,VCI,yearly
SSB,2025,1,333746268000000,915550000000,2626811000000,80397739000000,9866146000000,9866146000000,0,0,209845503000000,213048049000000,-3202546000000,20410871000000,20410871000000,350458000000,-350458000000,58707000000,0,59070000000,-363000000,1417911000000,466075000000,951836000000,53716000000,8153314000000,333746268000000,295146662000000,4964376000000,95061787000000,160043132000000,528630000000,0,29950200000000,4598537000000,38599606000000,28453167000000,2666271000000,4266000000,7475902000000,28450000000000,0,VCI,yearly
SSB,2024,4,325698848000000,963723000000,11299668000000,70243963000000,8866716000000,8868966000000,-2250000000,0,206073210000000,209354643000000,-3281433000000,19632455000000,17555894000000,2427019000000,-350458000000,62069000000,0,62432000000,-363000000,1367030000000,488465000000,878565000000,54010000000,7136004000000,325698848000000,290695993000000,2064483000000,85303651000000,168320164000000,303574000000,1020000000,30450200000000,4252901000000,35002855000000,28353167000000,2666271000000,0,3983417000000,28350000000000,0,VCI,yearly
SSB,2024,3,288517800000000,859909000000,3686861000000,55028118000000,6436973000000,6436973000000,0,0,193911181000000,196889847000000,-2978666000000,16771225000000,16771225000000,350458000000,-350458000000,62069000000,0,62432000000,-363000000,1348159000000,490716000000,857443000000,55331000000,10357974000000,288517800000000,254740132000000,5477553000000,78113387000000,153618314000000,90308000000,1020000000,13250200000000,4189350000000,33777668000000,28353167000000,1715339000000,-4252000000,3713414000000,28350000000000,0,VCI,yearly
SSB,2024,2,280657951000000,890478000000,5290439000000,54967471000000,4250418000000,4250418000000,0,0,183236845000000,185958901000000,-2722056000000,16992347000000,9992329000000,7350476000000,-350458000000,62069000000,0,62432000000,-363000000,1221080000000,508702000000,712378000000,55220000000,13691584000000,280657951000000,247889283000000,2087066000000,80855868000000,149453325000000,31441000000,1020000000,11473300000000,3987263000000,32768668000000,25063167000000,1715339000000,-1279000000,5991441000000,24957000000000,0,VCI,yearly
SSB,2024,1,271613578000000,852434000000,2114509000000,60695832000000,4830268000000,4830268000000,0,0,178163099000000,181184610000000,-3021511000000,10191233000000,10191233000000,350458000000,-350458000000,61892000000,0,62432000000,-540000000,1236865000000,529840000000,707025000000,55513000000,13411933000000,271613578000000,240047910000000,2093996000000,65368819000000,154371586000000,106349000000,1020000000,14233900000000,3872240000000,31565668000000,25063167000000,1715339000000,67497000000,4719665000000,24957000000000,0,VCI,yearly
SSB,2023,4,266107033000000,851299000000,2799895000000,48698574000000,8353236000000,8353236000000,0,0,176773874000000,179751893000000,-2978019000000,14350639000000,14035545000000,350458000000,-35364000000,61892000000,0,62432000000,-540000000,1269298000000,551265000000,718033000000,56584000000,12891742000000,266107033000000,235810354000000,2538637000000,66698038000000,144840006000000,107131000000,1020000000,16846100000000,4779422000000,30296679000000,25063167000000,1715315000000,0,3518197000000,24957000000000,0,VCI,yearly
SSB,2023,3,248810092000000,919434000000,4920294000000,45093497000000,2699313000000,2699313000000,0,0,165739695000000,168848063000000,-3108368000000,13634762000000,13319668000000,350458000000,-35364000000,61892000000,0,62432000000,-540000000,1183153000000,480356000000,702797000000,60783000000,14497269000000,248810092000000,220182346000000,2119375000000,48843150000000,140963124000000,202514000000,1020000000,22946900000000,5106263000000,28627746000000,24559167000000,1155967000000,-3644000000,2916256000000,24537000000000,0,VCI,yearly
SSB,2023,2,245206026000000,920926000000,5277471000000,44259836000000,4946023000000,4946023000000,0,76891000000,159125807000000,161889255000000,-2763448000000,15380037000000,15064943000000,350458000000,-35364000000,61892000000,0,62432000000,-540000000,1174401000000,491261000000,683140000000,61076000000,13921666000000,245206026000000,217484189000000,2126443000000,65789598000000,123232629000000,0,1020000000,21555100000000,4779399000000,27721837000000,21607167000000,1155967000000,-1359000000,4960062000000,20402983000000,0,VCI,yearly
SSB,2023,1,245169088000000,963485000000,1505339000000,54925730000000,4293033000000,4293033000000,0,0,156604830000000,159281216000000,-2676386000000,12687533000000,12332892000000,374458000000,-19817000000,61313000000,0,62432000000,-1119000000,1072695000000,410464000000,662231000000,57757000000,12997373000000,245169088000000,218082604000000,2131646000000,68338473000000,117695160000000,348398000000,1020000000,24763900000000,4804007000000,27086484000000,21607167000000,1155967000000,457000000,4322893000000,20402983000000,0,VCI,yearly
