ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
SSB,2025,2,-6860000000.0,1773546000000.0,31203679000000.0,0.0,-83055000000.0,7544000000.0,-64378000000.0,0.0,0.0,31139301000000.0,81859488000000.0,0.0,112998789000000.0,31203679000000.0,11133000000.0,0.0,0.0,0.0,VCI,yearly
SSB,2025,1,10665000000.0,686728000000.0,-2622183000000.0,0.0,-107863000000.0,0.0,4198577000000.0,100000000000.0,100000000000.0,1676394000000.0,80183094000000.0,0.0,81859488000000.0,-2622183000000.0,0.0,0.0,4300000000000.0,0.0,VCI,yearly
SSB,2024,4,27823000000.0,3197953000000.0,25710005000000.0,0.0,-54752000000.0,161000000.0,-49154000000.0,0.0,0.0,25660851000000.0,56522243000000.0,0.0,82183094000000.0,25710005000000.0,213000000.0,0.0,0.0,0.0,VCI,yearly
SSB,2024,3,-2950000000.0,1413967000000.0,-6949831000000.0,0.0,-161379000000.0,445000000.0,-158576000000.0,0.0,0.0,-7108407000000.0,63630650000000.0,0.0,56522243000000.0,-6949831000000.0,109000000.0,0.0,0.0,0.0,VCI,yearly
SSB,2024,2,-5787000000.0,2704316000000.0,5328154000000.0,0.0,-19001000000.0,827000000.0,-18078000000.0,0.0,0.0,5310076000000.0,58320574000000.0,0.0,63630650000000.0,5328154000000.0,96000000.0,0.0,0.0,0.0,VCI,yearly
SSB,2024,1,-2324000000.0,300442000000.0,8862143000000.0,0.0,-1734000000.0,12000000.0,-787000000.0,0.0,0.0,8861356000000.0,49459218000000.0,0.0,58320574000000.0,8862143000000.0,5000000.0,0.0,0.0,0.0,VCI,yearly
SSB,2023,4,3461000000.0,2158514000000.0,2570924000000.0,0.0,-121206000000.0,0.0,-115901000000.0,504000000000.0,504000000000.0,2959023000000.0,46500195000000.0,0.0,49459218000000.0,2570924000000.0,29000000.0,0.0,0.0,0.0,VCI,yearly
SSB,2023,3,11509000000.0,666159000000.0,-668929000000.0,0.0,-40630000000.0,6521000000.0,-34109000000.0,0.0,0.0,-703038000000.0,47203233000000.0,0.0,46500195000000.0,-668929000000.0,0.0,0.0,0.0,0.0,VCI,yearly
SSB,2023,2,69397000000.0,1481921000000.0,-4646311000000.0,0.0,-133508000000.0,26000000.0,-133479000000.0,0.0,0.0,-4779790000000.0,51983023000000.0,0.0,47203233000000.0,-4646311000000.0,0.0,0.0,0.0,0.0,VCI,yearly
SSB,2023,1,23241000000.0,75488000000.0,-337217000000.0,0.0,-14717000000.0,7837000000.0,-6883000000.0,0.0,0.0,-344100000000.0,52327123000000.0,0.0,51983023000000.0,-337217000000.0,0.0,0.0,0.0,0.0,VCI,yearly
