rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
40.8,42.0,19400,100,0.005,-0.083,11574157,SSB: SBV approved the supplement to the content of Operating Licence,TCBS,2025-10-01 09:49:02
40.8,42.0,19400,100,0.005,-0.083,11574159,SSB: Changing the seal specimen,TCBS,2025-10-01 09:47:52
40.8,42.0,19400,100,0.005,-0.083,11574156,SSB: Approving a payment guarantee,TCBS,2025-10-01 09:47:31
40.3,31.0,19300,0,0.0,-0.07,11567607,SSB: Report Insider Transaction,TCBS,2025-09-23 11:02:11
47.0,62.0,20000,-100,-0.005,-0.029,11564447,SSB: Notification Insider Transaction,TCBS,2025-09-18 11:08:16
42.9,46.0,19850,200,0.01,-0.039,11561657,SSB: Report affiliated person trade.,TCBS,2025-09-15 16:34:00
44.1,47.0,19650,-300,-0.015,-0.041,11557781,SSB: Report affiliated person trade,TCBS,2025-09-09 16:54:32
44.1,47.0,19650,-300,-0.015,-0.041,11557269,SSB: Report affiliated person trade,TCBS,2025-09-09 10:12:56
56.7,60.0,21000,-650,-0.03,0.071,11555666,SSB: Reminder of information disclosure,TCBS,2025-09-05 16:53:40
53.2,49.0,21650,500,0.024,0.069,11553454,SSB: Notification affiliated person trade,TCBS,2025-09-04 10:21:00
56.0,61.0,21400,-100,-0.005,0.075,11551793,SSB: Postponement of disclosure of the reviewed semi-annual financial statements for 2025,TCBS,2025-08-29 19:36:12
74.9,77.0,22100,-1000,-0.043,0.105,11536802,SSB: Notification Insider Transaction,TCBS,2025-08-22 14:52:26
59.2,45.0,21600,900,0.043,0.085,11533810,SSB: Notification Insider Transaction,TCBS,2025-08-20 10:34:02
59.2,45.0,21600,900,0.043,0.085,11533811,SSB: Notification affiliated person trade,TCBS,2025-08-20 10:33:44
58.6,50.0,19950,-450,-0.022,0.036,11527793,SSB: Report affiliated person trade,TCBS,2025-08-13 16:01:00
