officer_name,officer_position,officer_own_percent
Nguyen Thi Nga,Vice Chairman of Management Board,0.0422
Nguyen Thi Nga,Chairman of Management Board,0.0422
Le Thu Thuy,Vice Chairman of Management Board,0.0231
Le Huu Bau,,0.0179
Le Tuan Anh,Vice Chairman of Management Board,0.0146
Le Tuan Anh,Deputy General Director,0.0146
LE VAN TAN,Vice Chairman of Management Board,0.0041
LE VAN TAN,Legal Representative,0.0041
LE VAN TAN,Chairman of Management Board,0.0041
Khuc Thi Quynh Lam,Vice Chairman of Management Board,0.004
Ngo Thi Nhai,Independent Member of Management Board,0.0034
Vu Thi Ngoc Quynh,Member of Supervisors Board,0.0028
Hoang Minh Tan,,0.0024
Bui Trung Kien,,0.0021
Le Quoc Long,General Director,0.0017
Nguyen Thi Phuong,Member of Supervisors Board,0.0013
Nguyen Thi Thu Huong,,0.0013
Vu Dinh Khoan,,0.0006
Hoang Manh Phu,Deputy General Director,0.0005
Nguyen Ngoc Quynh,Head of Supervisors Board,0.0004
