Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROA (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
SSB,2025,2,8.5982078086,0.03685183107665448,1.387977855887522,0.4598604359944798,0.186798033,0.0206745701,9.598207808606013,54908500000000.0,2845000000.0,7.9873400912,1.3905120977,3.6827053728,1.1571732448,398.33919156414765,13879.7785588752,VCI,yearly
SSB,2025,1,7.6463646287,0.03673382054728745,1.3567524077328648,1.4252236906861588,0.2028466645,0.0231387214,8.64636462869595,54766250000000.0,2845000000.0,7.6812375987,1.4188292492,3.5282153507,2.5431641571,1227.5869947275924,13567.5240773286,VCI,yearly
SSB,2024,4,8.3049223556,0.039054814243009606,1.2303288224956064,0.5032919768267257,0.147505316,0.0162752857,9.304922355619277,52917000000000.0,2845000000.0,10.9543255511,1.5074842203,4.2644052111,1.6010792886,429.1511423550088,12338.4376098418,VCI,yearly
SSB,2024,3,7.5416731552,0.0399127316900622,1.1872642530755713,0.3617785105696126,0.1481638123,0.0171881674,8.541673155174596,49470750000000.0,2835000000.0,10.3696790767,1.4645993323,4.1126079325,5.0270281955,356.9569664902998,11914.521340388,VCI,yearly
SSB,2024,2,7.5648263457,0.0372636446498222,1.1517985237258348,0.5040115612333927,0.1509864926,0.0174387236,8.564826345703157,49329000000000.0,2835000000.0,10.5304624287,1.5053709232,4.3970002099,3.04456634,487.40246913580245,11558.6130511464,VCI,yearly
SSB,2024,1,7.6047150341,0.03918386900603529,1.10951381370826,0.6001501709280873,0.1361730918,0.0156021236,8.604715034068025,51910560000000.0,2495700000.0,12.7448416761,1.6445259451,5.2614723896,8.3835868518,481.3607404736146,12648.0217974917,VCI,yearly
SSB,2023,4,7.7838178432,0.04189561502764049,1.0649096309314587,0.5242404242717535,0.130090791,0.0147803926,8.783373022501905,56402820000000.0,2495700000.0,15.0907197368,1.8616734241,5.9850248159,-18.0065887303,465.31594342268704,12139.6157390712,VCI,yearly
SSB,2023,3,7.6912218657,0.041328891209248535,1.0062476625659051,0.5544464936652216,0.1222930746,0.0138178012,8.691221865668362,58524165000000.0,2495700000.0,17.1559632785,2.0089480733,6.5389675513,-6.2944136899,363.90391473334137,11672.7755739873,VCI,yearly
SSB,2023,2,7.8452300618,0.04236375100250391,0.974405518453427,0.4998215645538318,0.1290726662,0.0143414338,8.845230061774044,60729075000000.0,2453700000.0,17.675310214,2.1906583968,6.8740210342,-9.8148589326,307.0892937196886,11297.9732648653,VCI,yearly
SSB,2023,1,8.0513441316,0.03960259293897281,0.9520732513181019,0.47536848036265383,0.1520410752,0.0164961417,9.051344131634066,70421190000000.0,2453700000.0,18.0022454071,2.5998645671,7.3440107174,16.730588417,347.9667441007458,11039.0365570363,VCI,yearly
SSB,2022,4,7.822091916,0.041387728526217,0.9220463971880493,0.4340777793616442,0.1805494735,0.0182940683,8.822091915972038,63861335788400.0,2040298268.0,15.3342573049,2.434461734,6.6196434888,7.9018678174,410.43606865425227,12857.0515455635,VCI,yearly
SSB,2022,3,8.3072671734,0.03849408379618356,0.8653811950790861,0.5406120853658195,0.1702766326,0.0168870871,9.307267173420737,68860066545000.0,2040298268.0,17.184097011,2.699220341,7.5098244948,3.7670750467,472.8485119706037,12503.6105750397,VCI,yearly
SSB,2022,2,8.7518858674,0.039702166677986823,0.8280070298769772,0.695697851096158,0.1790532156,0.0166341117,9.751885867350405,58634588732800.0,1980898268.0,15.0650574372,2.4890727405,6.6134685309,4.7096539568,606.7474637218472,11891.9786949907,VCI,yearly
SSB,2022,1,9.2352153298,0.03976161657082838,0.794053848857645,0.6703807814533304,0.1718343114,0.0149869113,10.235215329829375,62695485000000.0,1980900000.0,17.9239474445,2.7752623277,7.917917112,5.0370352408,529.4860921803221,11404.3273259629,VCI,yearly
SSB,2021,4,10.3411842109,0.047285565911729055,0.6560022495606327,0.4422827865297589,0.1612263784,0.0133029457,11.341184210864723,61827550000000.0,1659800000.0,20.1338636713,3.3127940536,8.7875775144,6.1235994692,356.3598023858296,11244.2848535968,VCI,yearly
SSB,2021,3,11.3252164826,0.05348184519622136,0.5636043585237258,0.5475819318740248,0.1692336876,0.0132861623,12.325216482614037,63487350000000.0,1659800000.0,20.8358933641,3.0531250841,9.6954162239,-266.8282733156,467.92324376430895,12528.1470448247,VCI,yearly
SSB,2021,2,11.5634895117,0.0582828410862909,0.5229940949033391,0.5156357192506327,0.1526739384,0.0115900584,12.563489511721814,54777994071450.0,1478488369.0,22.8226049103,3.1715494803,9.4778371869,7.7306028896,462.1091476438933,11681.9870633693,VCI,yearly
SSB,2021,1,11.957131385803223,0.059979515572101814,0.5000154657293497,0.5022204812595724,0.12576952576637268,0.009270240552723408,12.957131519306257,45932279904000.0,1208744208.0,26.7956385355,3.228882896,9.093901885,3.9469789937,459.2783124219115,11768.776144572,VCI,yearly
SSB,2020,4,12.1823193185,0.06309167164214478,0.48050537785588754,0.4844211401493277,0.1106239089,0.0080594937,13.182319318456301,33240465720000.0,1208744208.0,24.4331647635,2.4315688798,7.2519056646,277.0177300532,391.4037369269446,11309.5706349809,VCI,yearly
SSB,2020,3,13.1903673356,0.0663878818000533,0.41471297012302283,0.49733335475217066,0.1276820773,0.0091328945,14.190367335605696,0.0,1208744208.0,0.0,0.0,0.0,0.0,307.3528688213578,9761.0262964751,VCI,yearly
SSB,2020,2,13.1431386348,0.06937920610369964,0.40146903339191564,0.297036465350972,0.117625841,0.0083450792,14.143138634788896,0.0,936900000.0,0.0,0.0,0.0,0.0,221.41850784502083,0.0,VCI,yearly
SSB,2020,1,12.1828658183,0.06761515478846063,0.3959460105448155,0.4821183190891653,0.1221521108,0.0082735462,13.182865818279177,0.0,936900000.0,0.0,0.0,0.0,0.0,329.1706692283061,0.0,VCI,yearly
SSB,2019,4,13.4060556614,0.07052747056016369,0.38403662565905095,0.8796393075305428,0.1142593411,0.0073749953,14.406055661430946,0.0,936900000.0,0.0,0.0,0.0,0.0,600.0437613405913,0.0,VCI,yearly
SSB,2019,3,13.7058321937,0.07462448745765986,0.36464045694200353,0.2591927819548872,0.0703580972,0.0043025571,14.705832193707725,0.0,936900000.0,0.0,0.0,0.0,0.0,229.96477745757284,0.0,VCI,yearly
SSB,2019,2,16.3652311255,0.09033741080767538,0.30177082601054483,0.22248565466875325,0.0699754945,0.0039944672,17.365231125471443,0.0,768800000.0,0.0,0.0,0.0,0.0,221.90686784599376,0.0,VCI,yearly
SSB,2019,1,15.7867851621,0.09152349265581627,0.29585957820738135,0.22849341739996806,0.065291315,0.0035840845,16.786785162057953,0.0,768800000.0,0.0,0.0,0.0,0.0,195.38891779396462,0.0,VCI,yearly
SSB,2018,4,15.9230988839,0.09341812117200435,0.2917927943760984,0.17138287147504913,0.0681600237,0.0037164079,16.92309864295691,0.0,768800000.0,0.0,0.0,0.0,0.0,118.74349635796045,0.0,VCI,yearly
SSB,2018,3,18.4253495848,0.11975123214915126,0.2286644288224956,0.3571364958736567,0.0675988474,0.0033982972,19.425349584805357,0.0,546582600.0,0.0,0.0,0.0,0.0,264.12476357644755,0.0,VCI,yearly
SSB,2018,2,0.0,0.12462079833101972,0.2210499121265378,0.13824480749180548,0.0,0.0,20.58932097499233,0.0,546582600.0,0.0,0.0,0.0,0.0,175.3916059530618,0.0,VCI,yearly
SSB,2018,1,0.0,0.05954126710750161,0.22037321616871705,0.2116348193723316,0.0,0.0,19.328349510289144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,yearly
SSB,2017,4,19.2456610585,0.060681776405130367,0.2170335676625659,0.1276190443502093,0.0505802221,0.0026698145,20.245661058480664,0.0,546582600.0,0.0,0.0,0.0,0.0,136.05262955681354,0.0,VCI,yearly
SSB,2017,3,0.0,0.06558520392379379,0.2116706151142355,0.20852163597333634,0.0,0.0,18.56361452261356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,yearly
