ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
SSB,2025,2,5962729000000,0.13487810402221515,1133275000000,-0.17984767539980864,5962729000000,-3498340000000,2464389000000,236214000000,-64206000000,172008000000,68778000000,-54904000000,24402000000,56210000000,-45950000000,10260000000,7544000000,2692477000000,-1040824000000,1651653000000,-218673000000,1432980000000,-299705000000,-299705000000,1133275000000,1133275000000,385,VCI,quarterly
SSB,2025,1,5618652000000,0.17339333415337424,3492485000000,1.9071771999746947,5618652000000,-3168170000000,2450482000000,234497000000,-59047000000,175450000000,50217000000,166017000000,334898000000,130655000000,-95190000000,35465000000,2607318000000,5819847000000,-1033934000000,4785913000000,-435557000000,4350356000000,-857871000000,-857871000000,3492485000000,3492485000000,1194,VCI,quarterly
SSB,2024,4,5268878000000,0.01957280671149485,1220935000000,0.05136189182882125,5268878000000,-2842980000000,2425898000000,611331000000,-78623000000,532708000000,7696000000,-213174000000,-96054000000,612012000000,-50288000000,561724000000,161000000,3218959000000,-1139785000000,2079174000000,-548000000000,1531174000000,-310239000000,-310239000000,1220935000000,1220935000000,418,VCI,quarterly
SSB,2024,3,5405278000000,0.12360704836437836,1011973000000,0.11426841151955251,5405278000000,-2608061000000,2797217000000,307476000000,-60157000000,247319000000,156454000000,-27734000000,-25055000000,78348000000,-48450000000,29898000000,445000000,3178544000000,-1129795000000,2048749000000,-779182000000,1269567000000,-257594000000,-257594000000,1011973000000,1011973000000,0,VCI,quarterly
SSB,2024,2,5254070000000,0.06848677119557481,1381786000000,0.8338113217563254,5254070000000,-2512494000000,2741576000000,235128000000,-44092000000,191036000000,303621000000,-38737000000,98856000000,56533000000,-48696000000,7837000000,827000000,3305016000000,-949315000000,2355701000000,-623299000000,1732402000000,-350616000000,-350616000000,1381786000000,1381786000000,-1004,VCI,quarterly
SSB,2024,1,4788379000000,-0.02455907978467033,1201332000000,0.4070315739172599,4788379000000,-2786660000000,2001719000000,195348000000,-54716000000,140632000000,102810000000,107504000000,343660000000,55673000000,-45530000000,10143000000,12000000,2706480000000,-911323000000,1795157000000,-288901000000,1506256000000,-304924000000,-304924000000,1201332000000,1201332000000,0,VCI,quarterly
SSB,2023,4,5167731000000,0.178198051996167,1161289000000,0.3867594445744747,5167731000000,-2952547000000,2215184000000,501259000000,-66634000000,434625000000,243967000000,-202866000000,106513000000,69946000000,-28363000000,41583000000,0,2839006000000,-1040374000000,1798632000000,-338512000000,1460120000000,-298831000000,-298831000000,1161289000000,1161289000000,0,VCI,quarterly
SSB,2023,3,4810648000000,0.21916492116410766,908195000000,-0.05862335605419838,4810648000000,-3172627000000,1638021000000,413457000000,-55439000000,358018000000,287060000000,110247000000,-54432000000,53777000000,-30929000000,22848000000,6521000000,2368283000000,-883491000000,1484792000000,-344920000000,1139872000000,-231677000000,-231677000000,908195000000,908195000000,0,VCI,quarterly
SSB,2023,2,4917300000000,0.38320869649605693,753505000000,-0.373074411039142,4917300000000,-3409752000000,1507548000000,294333000000,-48067000000,246266000000,32993000000,67191000000,9382000000,129618000000,-40627000000,88991000000,26000000,1952397000000,-852295000000,1100102000000,-153632000000,946470000000,-192965000000,-192965000000,753505000000,753505000000,759,VCI,quarterly
SSB,2023,1,4908938000000,0.504508218200274,853806000000,-0.18596684587728188,4908938000000,-3112845000000,1796093000000,171742000000,-52994000000,118748000000,38450000000,134608000000,131070000000,79004000000,-41705000000,37299000000,7837000000,2264105000000,-830988000000,1433117000000,-363221000000,1069896000000,-216090000000,-216090000000,853806000000,853806000000,0,VCI,quarterly
