time,symbol,open,high,low,close,volume
2015-10-05,SSI,7.13,7.28,7.13,7.19,2387810.0
2015-10-06,SSI,7.37,7.68,7.31,7.65,8798970.0
2015-10-07,SSI,7.65,7.68,7.53,7.56,4415270.0
2015-10-08,SSI,7.56,7.62,7.53,7.59,2505960.0
2015-10-09,SSI,7.59,7.62,7.47,7.47,3470560.0
2015-10-10,SSI,7.59,7.62,7.47,7.47,3470560.0
2015-10-11,SSI,7.59,7.62,7.47,7.47,3470560.0
2015-10-12,SSI,7.44,7.62,7.44,7.56,4565850.0
2015-10-13,SSI,7.5,7.59,7.5,7.5,2728310.0
2015-10-14,SSI,7.5,7.56,7.47,7.5,1632520.0
2015-10-15,SSI,7.53,7.53,7.44,7.47,1762210.0
2015-10-16,SSI,7.53,7.56,7.47,7.47,2420410.0
2015-10-17,SSI,7.53,7.56,7.47,7.47,2420410.0
2015-10-18,SSI,7.53,7.56,7.47,7.47,2420410.0
2015-10-19,SSI,7.47,7.53,7.44,7.44,1399960.0
2015-10-20,SSI,7.44,7.44,7.28,7.31,2186600.0
2015-10-21,SSI,7.34,7.4,7.25,7.28,2217170.0
2015-10-22,SSI,7.25,7.34,7.25,7.34,1979000.0
2015-10-23,SSI,7.4,7.47,7.37,7.37,2147870.0
2015-10-24,SSI,7.4,7.47,7.37,7.37,2147870.0
2015-10-25,SSI,7.4,7.47,7.37,7.37,2147870.0
2015-10-26,SSI,7.4,7.44,7.28,7.28,2016350.0
2015-10-27,SSI,7.28,7.31,7.25,7.25,1534570.0
2015-10-28,SSI,7.25,7.31,7.19,7.19,1611340.0
2015-10-29,SSI,7.22,7.37,7.22,7.31,3228070.0
2015-10-30,SSI,7.34,7.37,7.28,7.37,1981470.0
2015-10-31,SSI,7.34,7.37,7.28,7.37,1981470.0
2015-11-01,SSI,7.34,7.37,7.28,7.37,1981470.0
2015-11-02,SSI,7.34,7.37,7.28,7.28,1328850.0
2015-11-03,SSI,7.28,7.34,7.22,7.31,1097600.0
2015-11-04,SSI,7.37,7.47,7.34,7.37,3023450.0
2015-11-05,SSI,7.34,7.44,7.34,7.44,1790900.0
2015-11-06,SSI,7.44,7.44,7.31,7.31,1813960.0
2015-11-07,SSI,7.44,7.44,7.31,7.31,1813960.0
2015-11-08,SSI,7.44,7.44,7.31,7.31,1813960.0
2015-11-09,SSI,7.31,7.31,7.25,7.25,1172590.0
2015-11-10,SSI,7.25,7.28,7.16,7.16,1252240.0
2015-11-11,SSI,7.13,7.25,7.13,7.13,1412300.0
2015-11-12,SSI,7.13,7.16,7.0,7.16,2440250.0
2015-11-13,SSI,7.19,7.25,7.13,7.19,1839910.0
2015-11-14,SSI,7.19,7.25,7.13,7.19,1839910.0
2015-11-15,SSI,7.19,7.25,7.13,7.19,1839910.0
2015-11-16,SSI,7.16,7.25,7.13,7.13,1369320.0
2015-11-17,SSI,7.13,7.22,7.1,7.13,1931720.0
2015-11-18,SSI,7.13,7.19,7.13,7.16,964970.0
2015-11-19,SSI,7.13,7.19,7.1,7.13,900300.0
2015-11-20,SSI,7.13,7.22,7.1,7.16,2102380.0
2015-11-21,SSI,7.13,7.22,7.1,7.16,2102380.0
2015-11-22,SSI,7.13,7.22,7.1,7.16,2102380.0
2015-11-23,SSI,7.22,7.37,7.19,7.28,2500700.0
2015-11-24,SSI,7.31,7.31,7.16,7.22,1298170.0
2015-11-25,SSI,7.19,7.28,7.13,7.25,1408320.0
2015-11-26,SSI,7.22,7.28,7.16,7.16,1184480.0
2015-11-27,SSI,7.19,7.22,7.07,7.07,1945650.0
2015-11-28,SSI,7.19,7.22,7.07,7.07,1945650.0
2015-11-29,SSI,7.19,7.22,7.07,7.07,1945650.0
2015-11-30,SSI,7.04,7.07,6.94,6.97,1729310.0
2015-12-01,SSI,7.04,7.1,6.97,7.0,1031070.0
2015-12-02,SSI,7.0,7.13,7.0,7.04,1180980.0
2015-12-03,SSI,7.0,7.28,7.0,7.1,3154180.0
2015-12-04,SSI,7.1,7.19,7.1,7.19,1516430.0
2015-12-05,SSI,7.1,7.19,7.1,7.19,1516430.0
2015-12-06,SSI,7.1,7.19,7.1,7.19,1516430.0
2015-12-07,SSI,7.13,7.13,7.04,7.07,1855410.0
2015-12-08,SSI,7.04,7.16,6.97,7.1,2111780.0
2015-12-09,SSI,7.1,7.13,6.94,6.94,1465550.0
2015-12-10,SSI,6.97,7.0,6.94,6.94,1558860.0
2015-12-11,SSI,6.91,7.0,6.88,6.88,1448270.0
2015-12-12,SSI,6.91,7.0,6.88,6.88,1448270.0
2015-12-13,SSI,6.91,7.0,6.88,6.88,1448270.0
2015-12-14,SSI,7.07,7.13,6.97,7.04,3494550.0
2015-12-15,SSI,7.07,7.16,7.04,7.1,2678080.0
2015-12-16,SSI,7.13,7.16,7.04,7.04,773930.0
2015-12-17,SSI,7.1,7.1,7.0,7.0,627550.0
2015-12-18,SSI,7.0,7.1,6.97,7.1,18905770.0
2015-12-19,SSI,7.0,7.1,6.97,7.1,18905770.0
2015-12-20,SSI,7.0,7.1,6.97,7.1,18905770.0
2015-12-21,SSI,7.07,7.07,6.91,6.94,2024770.0
2015-12-22,SSI,6.94,7.0,6.91,6.91,1126230.0
2015-12-23,SSI,6.91,6.97,6.85,6.88,566140.0
2015-12-24,SSI,6.91,6.91,6.82,6.82,889900.0
2015-12-25,SSI,6.82,6.88,6.76,6.82,1014020.0
2015-12-26,SSI,6.82,6.88,6.76,6.82,1014020.0
2015-12-27,SSI,6.82,6.88,6.76,6.82,1014020.0
