ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,_Increase/Decrease in receivables,_Increase/Decrease in payables,data_source,period_type
SSI,2025,2,1197796550893,24178523828,9972602,8023092658,-16641922976,618980067659,-1447633397955.0,-3821457847849,-42451587650.0,0,3505608018.0,3893146690,-606909609525,-195847279983,1362317956300,-4311144707,-3546554095482,-11496294641,907681818,0,0,0,69117205321,0,58528592498,100000000000,0,104356589683919,-98336521969501,-158008000,6119909706418,2631884203434,117041162784,70439180,2748925366218,-262803709148,754118664386,VCI,quarterly
SSI,2025,1,1047063625660,23649226649,16420391,2627463707,-36497105781,465588292122,-1138582344698.0,-9599030503503,199701065000.0,0,-19358577620.0,18861731214,-466284524003,-135934761973,994062783627,-73613110165,-9373976296507,-2018233306,30744181,0,0,-500000000000,0,0,-501987489125,0,0,66737013304857,-56982985552641,-23042000,9754004710216,-121959075416,239000238200,2174347516,117041162784,791019323570,58427922469,VCI,quarterly
SSI,2024,4,554769762801,23294171773,34762788174,-9980537388,-93897108710,405752832021,-1026919751205.0,-6542795640146,-276145542000.0,0,-94364324227.0,-5864781300,-386222868753,-173297277481,1036691380044,-2918076634,-6369727968576,-290162312537,83484415636,0,0,-820000000000,0,0,-1026677896901,2263708005000,0,73010223971356,-66794440486399,-1505372068000,6974119421957,-422286443520,661286681720,512993328,239000238200,-402214172791,-115346181038,VCI,quarterly
SSI,2024,3,986616815390,28381468640,16603189,-4422108677,-35505029326,365511351331,-1052544888583.0,2690056372342,0.0,0,60695370051.0,17193618398,-365218071380,-184027639551,1155489494926,-3359719042,2769058759576,-122793349738,0,0,-3389260272,0,1500000000000,174138190772,1547955580762,0,0,59213303118525,-65000102693235,-494921000,-5787294495710,-1470280155372,2131566837092,986786633,661286681720,-102942435417,44231844914,VCI,quarterly
SSI,2024,2,1059488841628,28297697629,121753423,12458365092,-43966880904,351424648924,-1138152964167.0,-3471790866773,3308490895.0,0,-356408993525.0,-5322107957,-362453025936,-197731264560,1110910213876,-4879746747,-3206617856961,-9275987528,477272727,0,3389260272,0,100000000000,-1685369862,92905175609,100000000000,0,67249275874223,-62259031525100,0,5090244349123,1976531667771,155035169321,505017956,2131566837092,-268437518498,93244405708,VCI,quarterly
SSI,2024,1,942652063843,27586811786,0,-10876126995,-57639941509,383075951019,-932668864893.0,2165041344497,33067817105.0,0,-442017515901.0,11175967246,-385021363849,-294019111498,875210846726,-86144358978,2542968359212,-14335249052,0,0,0,0,200000000000,1685369862,187350120810,0,0,58117738667473,-61186831526383,-95980000,-3069188838910,-338870358888,493905528209,2242128654,155035169321,-35083492671,-850243889517,VCI,quarterly
SSI,2023,4,644083122168,29383567150,0,-805800235,-63966415661,393445706858,-991306968569.0,-12778297055932,1865132891.0,0,610849577589.0,22209353818,-378560701119,-13400000000,873128880578,-5186732356,-12656317654958,-18006508617,216727273,0,0,0,0,1685369862,-16104411482,0,0,148526602637286,-135771211803995,-29580000,12755361253291,82939186851,410966341358,2036563602,493905528209,873223545437,-98790294005,VCI,quarterly
SSI,2023,3,880314982321,23462538490,0,-732314179,-66755424728,356812399112,-874426756120.0,-4453845403897,-24995870891.0,0,220119960606.0,869674218,-352973555859,-122523425822,922955684219,-3921841559,-4136934352506,-52191341155,0,0,-20146739726,0,150000000000,172145835615,249807754734,0,0,117287027865755,-111647684392841,-1496633411000,4142710061914,255583464142,155382877216,157090032,410966341358,117076172911,42245084020,VCI,quarterly
SSI,2023,2,706517172343,25664421136,0,-8322546084,-66545029313,428246218838,-800036580703.0,3284857309854,-840866616.0,0,-154263610467.0,4886873997,-438683117896,-108633723226,842675899141,-1582066667,3570368502105,-11757691696,47485489710,0,20146739726,-146640000000,0,-19572602740,-110338065000,0,0,87223887731005,-90671048822958,0,-3447161091953,12869345152,142513532064,-257093437,155382877216,70904858623,422128171865,VCI,quarterly
SSI,2023,1,617651693361,27243467819,0,-58902283969,-40216658979,391934718459,-712448170116.0,-1692357133166,25508282042.0,0,-126748602998.0,5914525047,-397685179166,-42331432322,565232555305,-63044787915,-1470147033331,-17024750574,128554545,0,0,-200000000000,0,19572602740,-197323593289,100000000000,0,103806930409433,-103514750393480,-3120000,392176895953,-1275293730667,1417807262731,3155957416,142513532064,316632739777,-203517492130,VCI,quarterly
