rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
51.0,70.0,37850.0,-750.0,-0.019,-0.061,11728549,SSI: Thông báo giấy phép điều chỉnh Giấy phép thành lập và hoạt động kinh doanh chứng khoán (địa chỉ công ty),TCBS,2025-10-02 15:25:25
51.0,70.0,37850.0,-750.0,-0.019,-0.061,11728504,SSI: Thông báo Quyết định của UBCKNN về việc sửa đổi QĐ chấp thuận thành lập CN và Phòng GD,TCBS,2025-10-02 15:24:14
47.5,66.0,37550.0,-450.0,-0.012,-0.088,11724582,SSI: Quyết định của HĐQT về việc cập nhật Điều lệ công ty và công bố điều lệ,TCBS,2025-09-29 14:55:34
47.5,66.0,37550.0,-450.0,-0.012,-0.088,11724581,SSI: Các Nghị quyết HĐQT về việc thông qua triển khai phương án chào bán thêm CP cho CĐHH và hồ sơ đăng ký chào bán thêm CP,TCBS,2025-09-29 14:54:02
52.9,83.0,38000.0,-1000.0,-0.026,-0.006,11723399,SSI: Thông báo giấy phép điều chỉnh Giấy phép thành lập và hoạt động kinh doanh chứng khoán (vốn điều lệ),TCBS,2025-09-26 18:09:26
52.9,83.0,38000.0,-1000.0,-0.026,-0.006,11723398,"SSI: Nghị quyết, Biên bản họp ĐHĐCĐ bất thường 2025 và tài liệu kèm theo",TCBS,2025-09-26 18:08:38
52.9,83.0,38000.0,-1000.0,-0.026,-0.006,11721810,"SSI dự kiến chào bán thêm 415,6 triệu cổ phiếu cho cổ đông hiện hữu",TCBS,2025-09-26 07:03:00
54.3,78.0,39000.0,-252.0,-0.006,0.091,11721763,"Đại hội đồng cổ đông bất thường SSI: 9 tháng hoàn thành 94% kế hoạch, thông qua tăng vốn lên gần 25.000 tỷ đồng",TCBS,2025-09-25 18:42:00
55.0,72.0,38325.0,-1024.0,-0.026,0.099,11717470,SSI: Nghị quyết HĐQT về việc thay đổi niêm yết chứng quyền có bảo đảm,TCBS,2025-09-22 11:25:59
57.5,73.0,39349.0,-439.0,-0.011,0.098,11716362,SSI: Thông báo về việc niêm yết và giao dịch chứng khoán thay đổi niêm yết,TCBS,2025-09-19 15:31:00
62.2,70.0,39593.0,-975.0,-0.024,0.134,11713827,SSI: Thông báo ngày ĐKCC chi trả cổ tức năm 2024 bằng tiền,TCBS,2025-09-17 16:04:21
65.8,72.0,40568.0,-585.0,-0.014,0.162,11712409,SSI: Quyết định về việc thay đổi đăng ký niêm yết,TCBS,2025-09-16 14:20:00
65.8,72.0,40568.0,-585.0,-0.014,0.162,11712215,SSI chốt quyền chia cổ tức 10% bằng tiền mặt,TCBS,2025-09-16 11:49:00
64.9,74.0,,,,,11710066,SSI dự chi gần 2.100 tỷ thanh toán cổ tức 2024,TCBS,2025-09-14 10:18:00
68.0,93.0,40861.0,-536.0,-0.013,0.14,11709732,SSI: Nghị quyết HĐQT về việc thanh toán cổ tức năm 2024 và cập nhật tổng lợi nhuận phân phối năm 2024,TCBS,2025-09-12 15:50:20
