officer_name,officer_position,officer_own_percent
Nguyen Duy Hung,Legal Representative,0.0082
Nguyen Duy Hung,Chairman of Management Board,0.0082
Nguyen Manh Hung,,0.0054
Nguyen Hong Nam,Member of Management Board,0.004
Nguyen Hong Nam,General Director,0.004
Nguyen Hong Nam,Deputy General Director,0.004
Nguyen Duy Khanh,Member of Management Board,0.0024
Nguyen Thi Thanh Ha,Department Director,0.0022
Nguyen Thi Thanh Ha,Chief Financial Officer,0.0022
Nguyen Duc Thong,General Director,0.0013
Nguyen Duc Thong,Deputy General Director,0.0013
Nguyen Kim Long,Spokesman,0.0008
Nguyen Kim Long,ROOT,0.0008
Nguyen Kim Long,Person in charge of Corporate governace,0.0008
Nguyen Kim Long,Company Secretary,0.0008
Bui Quang Ngiem,,0.0005
Pham Viet Muon,ROOT,0.0003
Pham Viet Muon,Independent Member of Management Board,0.0003
Pham Viet Muon,Chairman of Internal auditor,0.0003
Hoang Thi Minh Thuy,,0.0002
