ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Net Sales,Cost of Sales,Gross Profit,Financial Income,Financial Expenses,Interest Expenses,General & Admin Expenses,Operating Profit/Loss,Gain/(loss) from joint ventures,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Sales,Sales deductions,Other income,Net income from associated companies,Other Income/Expenses,data_source,period_type
SSI,2025,2,2993036323811,0.2973466089067639,969506698143,0.14258819833228403,2993036323811,-1116846846217,1876189477594,35701709046.0,-642376408925.0,-618980067659.0,-71933197416,1197581580299,0.0,214970594,1197796550893,-229198629174,-998311886,967599609833,-1907088310,969506698143,2993036323811,0,1229687399,0,-1014716805,VCI,yearly
SSI,2025,1,2159272711993,0.09450888937858086,843994524895,0.10434158443906415,2159272711993,-625287099412,1533985612581,33354175724.0,-468734470871.0,-465588292122.0,-53254794994,1045350522440,0.0,1713103220,1047063625660,-198113402886,-4956958418,843993264356,-1260539,843994524895,2159272711993,0,1947470527,0,-234367307,VCI,yearly
SSI,2024,4,2221274987684,0.08510704095824814,427738166432,-0.1702603259785825,2221274987684,-1205443690595,1015831297089,43964730178.0,-410936564514.0,-405752832021.0,-92749211365,556110251388,0.0,-1340488587,554769762801,-132825428063,16419450717,438363785455,10625619023,427738166432,2221274987684,0,746639592,0,-2087128179,VCI,yearly
SSI,2024,3,2028136747992,0.044764107139593785,794515584118,0.11729614911659658,2028136747992,-635837627608,1392299120384,40360463873.0,-385367497653.0,-365511351331.0,-61147529764,986144556840,0.0,472258550,986616815390,-171668807710,-20951830264,793996177416,-519406702,794515584118,2028136747992,0,641613577,0,-169355027,VCI,yearly
SSI,2024,2,2307044473129,0.37325538498576033,848518039621,0.5071650765372452,2307044473129,-850510980587,1456533492542,55277384323.0,-387684745955.0,-351424648924.0,-64617435795,1059508695115,0.0,-19853487,1059488841628,-196702746535,-14337306599,848448788494,-69251127,848518039621,2307044473129,0,587578003,0,-607431490,VCI,yearly
SSI,2024,1,1972823366669,0.324562159308478,764251330193,0.5188505882265729,1972823366669,-596169310158,1376654056511,39693333027.0,-390935329885.0,-383075951019.0,-83235460062,942176599591,0.0,475464252,942652063843,-193324352833,14972570297,764300281307,48951114,764251330193,1972823366669,0,528406490,0,-52942238,VCI,yearly
SSI,2023,4,2047056100311,0.5149793727136518,515508875644,1.2006478063292054,2047056100311,-926219249486,1120836850825,47617460515.0,-410531486322.0,-393445706858.0,-114368314165,643554510853,0.0,528611315,644083122168,-133282190935,3530921905,514331853138,-1177022506,515508875644,2047056100311,0,990734385,0,-462123070,VCI,yearly
SSI,2023,3,1941238920951,0.4401236624406337,711105631883,1.1137122245883637,1941238920951,-652671311551,1288567609400,29898662962.0,-357323889492.0,-356812399012.0,-81045034860,880097348010,0.0,217634311,880314982321,-165305461716,-4885715448,710123805157,-981826726,711105631883,1941238920951,0,477865917,0,-260231606,VCI,yearly
SSI,2023,2,1679982105552,0.0312421730068713,562989451408,0.6408862477599676,1679982105552,-462760434504,1217221671048,26813820352.0,-448150130778.0,-428246218938.0,-89690719786,706194640836,0.0,322531507,706517172343,-125379708861,-13917029356,567220434126,4230982718,562989451408,1679982105552,0,494905622,0,-172374115,VCI,yearly
SSI,2023,1,1489415466692,-0.2580965758687915,503177426481,-0.28782468809669265,1489415466692,-392914314284,1096501152408,18973965291.0,-421642183449.0,-391934718459.0,-76603200362,617229733888,0.0,421959473,617651693361,-119387411567,4532447343,502796729137,-380697344,503177426481,1489415466692,0,450700074,0,-28740601,VCI,yearly
SSI,2022,4,1351210542652,-0.44241460769863394,234253238597,-0.7651699259788631,1351210542652,-640798997763,710411544889,105697700823.0,-449255301214.0,-250613291942.0,-85534481941,281319462557,0.0,7320654158,288640116715,-39311766584,-15404788835,233923561296,-329677301,234253238597,1351210542652,0,8148059379,0,-827405221,VCI,yearly
SSI,2022,3,1347966825058,-0.22889050998919885,336424998451,-0.5074840921325822,1347966825058,-552575287729,795391537329,16328587504.0,-322390354702.0,-237401517228.0,-74564453871,414765316260,0.0,495752939,415261069199,-92938592641,14017839665,336340316223,-84682228,336424998451,1347966825058,0,695386731,0,-199633792,VCI,yearly
SSI,2022,2,1629085921354,-0.07762698288725166,343100840888,-0.4196234105038934,1629085921354,-695173647490,933912273864,-1779398425.0,-342434302116.0,-278747346918.0,-69115043816,520583529507,0.0,1931071678,522514601185,-108460245439,7120269812,421174625558,-931131472,343100840888,1629085921354,0,1985544037,0,-54472359,VCI,yearly
