time,symbol,open,high,low,close,volume
2015-10-05,STB,13.67,13.92,13.58,13.92,110970.0
2015-10-06,STB,14.08,14.08,13.83,14.08,489890.0
2015-10-07,STB,14.25,14.67,14.17,14.58,1213000.0
2015-10-08,STB,14.5,15.0,14.5,15.0,1030610.0
2015-10-09,STB,15.17,15.42,15.08,15.08,682170.0
2015-10-10,STB,15.17,15.42,15.08,15.08,682170.0
2015-10-11,STB,15.17,15.42,15.08,15.08,682170.0
2015-10-12,STB,15.0,15.25,14.84,15.17,759930.0
2015-10-13,STB,15.17,15.17,15.0,15.08,430230.0
2015-10-14,STB,15.17,15.17,14.84,14.84,510240.0
2015-10-15,STB,15.08,15.08,14.67,14.67,757350.0
2015-10-16,STB,14.5,15.2,14.0,14.8,1689520.0
2015-10-17,STB,14.5,15.2,14.0,14.8,1689520.0
2015-10-18,STB,14.5,15.2,14.0,14.8,1689520.0
2015-10-19,STB,14.8,14.9,14.7,14.7,494220.0
2015-10-20,STB,14.5,14.6,14.2,14.2,675580.0
2015-10-21,STB,14.2,14.4,14.1,14.1,423800.0
2015-10-22,STB,14.1,14.7,14.1,14.4,751460.0
2015-10-23,STB,14.5,14.6,14.3,14.3,176090.0
2015-10-24,STB,14.5,14.6,14.3,14.3,176090.0
2015-10-25,STB,14.5,14.6,14.3,14.3,176090.0
2015-10-26,STB,14.5,14.5,14.1,14.1,434050.0
2015-10-27,STB,14.0,14.1,13.6,13.7,836200.0
2015-10-28,STB,13.7,13.9,13.5,13.5,534760.0
2015-10-29,STB,13.5,13.7,13.1,13.7,1053360.0
2015-10-30,STB,13.6,13.7,13.3,13.6,669010.0
2015-10-31,STB,13.6,13.7,13.3,13.6,669010.0
2015-11-01,STB,13.6,13.7,13.3,13.6,669010.0
2015-11-02,STB,13.5,13.5,13.2,13.2,356920.0
2015-11-03,STB,13.4,13.4,13.2,13.2,261830.0
2015-11-04,STB,13.2,13.3,13.1,13.1,364340.0
2015-11-05,STB,13.1,13.1,12.9,12.9,376870.0
2015-11-06,STB,12.9,13.1,12.9,12.9,303760.0
2015-11-07,STB,12.9,13.1,12.9,12.9,303760.0
2015-11-08,STB,12.9,13.1,12.9,12.9,303760.0
2015-11-09,STB,13.0,13.0,12.8,12.9,328070.0
2015-11-10,STB,12.9,12.9,12.7,12.8,384380.0
2015-11-11,STB,12.8,12.9,12.7,12.7,192840.0
2015-11-12,STB,12.4,12.6,12.2,12.3,700990.0
2015-11-13,STB,12.3,12.7,12.3,12.5,348770.0
2015-11-14,STB,12.3,12.7,12.3,12.5,348770.0
2015-11-15,STB,12.3,12.7,12.3,12.5,348770.0
2015-11-16,STB,12.6,12.7,12.5,12.5,265230.0
2015-11-17,STB,12.5,12.6,12.4,12.5,218500.0
2015-11-18,STB,12.5,12.5,12.3,12.3,254490.0
2015-11-19,STB,12.5,12.5,12.2,12.2,182650.0
2015-11-20,STB,12.2,12.4,12.2,12.3,227070.0
2015-11-21,STB,12.2,12.4,12.2,12.3,227070.0
2015-11-22,STB,12.2,12.4,12.2,12.3,227070.0
2015-11-23,STB,12.3,12.5,12.3,12.4,468320.0
2015-11-24,STB,12.5,12.5,12.3,12.3,277400.0
2015-11-25,STB,12.3,12.3,12.1,12.1,509990.0
2015-11-26,STB,12.0,12.0,11.7,11.8,465740.0
2015-11-27,STB,11.7,11.8,11.5,11.7,428230.0
2015-11-28,STB,11.7,11.8,11.5,11.7,428230.0
2015-11-29,STB,11.7,11.8,11.5,11.7,428230.0
2015-11-30,STB,11.6,11.6,10.9,11.0,1199520.0
2015-12-01,STB,11.0,11.2,10.8,10.9,1097880.0
2015-12-02,STB,10.8,11.2,10.8,11.2,652480.0
2015-12-03,STB,11.2,11.6,11.2,11.5,883160.0
2015-12-04,STB,11.5,11.6,11.2,11.4,621810.0
2015-12-05,STB,11.5,11.6,11.2,11.4,621810.0
2015-12-06,STB,11.5,11.6,11.2,11.4,621810.0
2015-12-07,STB,11.3,11.4,11.0,11.0,972490.0
2015-12-08,STB,11.0,11.4,10.9,11.4,267360.0
2015-12-09,STB,11.3,11.3,10.8,10.8,1883970.0
2015-12-10,STB,10.9,11.4,10.9,11.3,954000.0
2015-12-11,STB,11.5,12.0,11.4,12.0,1136350.0
2015-12-12,STB,11.5,12.0,11.4,12.0,1136350.0
2015-12-13,STB,11.5,12.0,11.4,12.0,1136350.0
2015-12-14,STB,11.9,11.9,11.5,11.7,669640.0
2015-12-15,STB,11.6,11.7,11.4,11.5,462540.0
2015-12-16,STB,11.5,11.7,11.3,11.5,898850.0
2015-12-17,STB,11.6,11.8,11.6,11.6,462510.0
2015-12-18,STB,11.5,11.8,11.5,11.8,3800550.0
2015-12-19,STB,11.5,11.8,11.5,11.8,3800550.0
2015-12-20,STB,11.5,11.8,11.5,11.8,3800550.0
2015-12-21,STB,11.7,11.8,11.5,11.7,449860.0
2015-12-22,STB,11.6,11.9,11.6,11.9,1124980.0
2015-12-23,STB,11.9,11.9,11.6,11.8,560750.0
2015-12-24,STB,11.8,11.9,11.6,11.6,306940.0
2015-12-25,STB,11.6,11.7,11.5,11.7,436180.0
2015-12-26,STB,11.6,11.7,11.5,11.7,436180.0
2015-12-27,STB,11.6,11.7,11.5,11.7,436180.0
2015-12-28,STB,11.7,11.9,11.6,11.7,623430.0
2015-12-29,STB,11.7,12.3,11.6,12.0,1098310.0
2015-12-30,STB,12.1,12.6,12.0,12.6,1406240.0
2015-12-31,STB,12.6,13.1,12.3,13.1,3528860.0
2016-01-01,STB,12.6,13.1,12.3,13.1,3528860.0
2016-01-02,STB,12.6,13.1,12.3,13.1,3528860.0
2016-01-03,STB,12.6,13.1,12.3,13.1,3528860.0
2016-01-04,STB,12.7,12.8,12.3,12.6,1127820.0
2016-01-05,STB,12.6,12.6,12.3,12.3,332490.0
2016-01-06,STB,12.4,12.9,12.4,12.8,1267100.0
2016-01-07,STB,12.7,12.8,12.4,12.6,835460.0
2016-01-08,STB,12.6,12.7,12.3,12.6,452540.0
2016-01-09,STB,12.6,12.7,12.3,12.6,452540.0
2016-01-10,STB,12.6,12.7,12.3,12.6,452540.0
2016-01-11,STB,12.6,12.7,12.3,12.3,470190.0
2016-01-12,STB,12.4,12.5,12.2,12.5,229760.0
2016-01-13,STB,12.5,12.6,12.3,12.4,158620.0
2016-01-14,STB,11.9,12.2,11.8,11.9,493350.0
2016-01-15,STB,11.8,11.9,11.1,11.1,1422060.0
2016-01-16,STB,11.8,11.9,11.1,11.1,1422060.0
2016-01-17,STB,11.8,11.9,11.1,11.1,1422060.0
2016-01-18,STB,10.6,11.1,10.6,10.7,591700.0
2016-01-19,STB,10.8,11.3,10.8,11.2,308310.0
2016-01-20,STB,11.2,11.3,10.9,10.9,366490.0
2016-01-21,STB,10.8,11.3,10.6,10.6,736540.0
2016-01-22,STB,10.8,10.9,10.6,10.9,382120.0
2016-01-23,STB,10.8,10.9,10.6,10.9,382120.0
2016-01-24,STB,10.8,10.9,10.6,10.9,382120.0
2016-01-25,STB,10.9,11.6,10.9,11.6,494380.0
2016-01-26,STB,11.3,11.4,11.1,11.1,433640.0
2016-01-27,STB,11.3,11.5,11.2,11.2,300190.0
2016-01-28,STB,11.2,11.7,11.2,11.3,201130.0
2016-01-29,STB,11.3,11.5,11.2,11.3,468470.0
2016-01-30,STB,11.3,11.5,11.2,11.3,468470.0
2016-01-31,STB,11.3,11.5,11.2,11.3,468470.0
2016-02-01,STB,11.3,11.4,11.2,11.2,323240.0
2016-02-02,STB,11.2,11.3,11.1,11.1,153230.0
2016-02-03,STB,11.1,11.1,10.9,11.1,362660.0
2016-02-04,STB,11.1,11.2,11.0,11.2,274830.0
2016-02-05,STB,11.2,11.2,11.1,11.2,333120.0
2016-02-06,STB,11.2,11.2,11.1,11.2,333120.0
2016-02-07,STB,11.2,11.2,11.1,11.2,333120.0
2016-02-08,STB,11.2,11.2,11.1,11.2,333120.0
2016-02-09,STB,11.2,11.2,11.1,11.2,333120.0
2016-02-10,STB,11.2,11.2,11.1,11.2,333120.0
2016-02-15,STB,11.0,11.2,10.8,11.0,582470.0
2016-02-16,STB,10.9,11.0,10.9,10.9,716690.0
2016-02-17,STB,10.9,10.9,10.6,10.6,1636020.0
2016-02-18,STB,10.6,11.1,10.6,11.0,697250.0
2016-02-19,STB,10.8,11.1,10.8,11.0,781900.0
2016-02-20,STB,10.8,11.1,10.8,11.0,781900.0
2016-02-21,STB,10.8,11.1,10.8,11.0,781900.0
2016-02-22,STB,10.9,11.0,10.8,10.8,876220.0
2016-02-23,STB,10.9,11.0,10.8,10.9,554120.0
2016-02-24,STB,10.8,11.4,10.8,11.2,1355180.0
2016-02-25,STB,11.3,11.4,11.0,11.1,540620.0
2016-02-26,STB,11.1,11.2,11.0,11.2,278100.0
2016-02-27,STB,11.1,11.2,11.0,11.2,278100.0
2016-02-28,STB,11.1,11.2,11.0,11.2,278100.0
2016-02-29,STB,11.2,11.2,11.0,11.0,469130.0
2016-03-01,STB,11.0,11.1,10.9,10.9,398350.0
2016-03-02,STB,11.0,11.1,10.9,11.1,425700.0
2016-03-03,STB,11.2,11.2,11.0,11.0,226030.0
2016-03-04,STB,11.0,11.1,10.9,11.0,423300.0
2016-03-05,STB,11.0,11.1,10.9,11.0,423300.0
2016-03-06,STB,11.0,11.1,10.9,11.0,423300.0
2016-03-07,STB,11.0,11.0,10.9,11.0,420860.0
2016-03-08,STB,10.9,11.0,10.9,10.9,371220.0
