ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investment in joint ventures,Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Leased assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
STB,2025,2,807339224000000,8185140000000,17032478000000,100602320000000,0,0,0,0,577041997000000,587960029000000,-10918032000000,84045030000000,19625915000000,76133976000000,-11714861000000,82140000000,0,0,96642000000,-14502000000,7205630000000,4269750000000,0,2935880000000,15503000000,13128986000000,807339224000000,747518017000000,5246934000000,60686995000000,624314777000000,28358000000,511431000000,36558656000000,20170866000000,59821207000000,20601582000000,8024474000000,46714000000,31148437000000,0,18852157000000,653000000,0,VCI,yearly
STB,2025,1,757093326000000,8497715000000,16074591000000,76157728000000,0,0,0,0,553760842000000,564327201000000,-10566359000000,84005851000000,21735039000000,74040800000000,-11769988000000,82204000000,0,0,96642000000,-14438000000,7357477000000,4373022000000,0,2984455000000,0,11156918000000,757093326000000,699230949000000,4336215000000,56408256000000,585569336000000,275515000000,473523000000,34031754000000,18136350000000,57862377000000,20601582000000,6082598000000,-148612000000,31326809000000,0,18852157000000,653000000,0,VCI,yearly
STB,2024,4,748094546000000,8214653000000,17644155000000,88241176000000,0,0,0,0,530448003000000,539314658000000,-8866655000000,85648177000000,23554968000000,75363197000000,-13269988000000,82204000000,0,0,96642000000,-14438000000,7355128000000,4375198000000,0,2979930000000,0,10461050000000,748094546000000,693122476000000,54255000000,70655292000000,566881814000000,54007000000,449009000000,36753523000000,18274576000000,54972070000000,20601582000000,6082598000000,-138225000000,28426115000000,0,18852157000000,653000000,0,VCI,yearly
STB,2024,3,702985596000000,8901439000000,15450839000000,60284996000000,0,0,0,35667000000,515738627000000,525493361000000,-9754734000000,82871482000000,22674860000000,73855684000000,-13659062000000,82204000000,0,0,96642000000,-14438000000,7384591000000,4360032000000,0,3024559000000,0,12235751000000,702985596000000,651705096000000,48635000000,32209145000000,566724116000000,0,363063000000,34706778000000,17653359000000,51280500000000,20601582000000,6080481000000,-231717000000,24830154000000,0,18852157000000,653000000,0,VCI,yearly
STB,2024,2,717312771000000,7051295000000,14973908000000,71385725000000,0,0,0,138180000000,507883143000000,516634843000000,-8751700000000,86118121000000,26081093000000,74613332000000,-14576304000000,82204000000,0,0,96642000000,-14438000000,7273402000000,4295099000000,0,2978303000000,0,22406793000000,717312771000000,668234822000000,2834962000000,51333953000000,549184397000000,0,331589000000,37854969000000,26694952000000,49077949000000,20601582000000,6080481000000,-233095000000,22628981000000,0,18852157000000,653000000,0,VCI,yearly
STB,2024,1,693534553000000,8487570000000,15798185000000,56985715000000,0,0,0,0,492140463000000,500408346000000,-8267883000000,75698223000000,20617717000000,69664680000000,-14584174000000,82642000000,0,0,97014000000,-14372000000,7376050000000,4352829000000,0,3023221000000,0,36965705000000,693534553000000,645625554000000,18685000000,40646857000000,533358461000000,183448000000,368921000000,31828758000000,39220424000000,47908999000000,20601582000000,4971157000000,-159774000000,22496034000000,0,18852157000000,653000000,0,VCI,yearly
STB,2023,4,674389660000000,7545270000000,12848045000000,50332971000000,0,0,0,0,475169108000000,482731122000000,-7562014000000,74635845000000,22562535000000,66688978000000,-14615668000000,82642000000,0,0,97014000000,-14372000000,7269440000000,4282772000000,0,2986668000000,0,46506339000000,674389660000000,628655796000000,19328000000,37950111000000,510744394000000,91459000000,323147000000,28992491000000,50534866000000,45733864000000,20601582000000,4971157000000,-225489000000,20386614000000,0,18852157000000,653000000,0,VCI,yearly
STB,2023,3,651288299000000,10291802000000,13211925000000,46344192000000,3000000000000,3000000000000,0,0,465403139000000,472073361000000,-6670222000000,72546634000000,23336309000000,65908630000000,-16698305000000,82663000000,0,0,97014000000,-14351000000,7221610000000,4200104000000,0,3021506000000,0,33186334000000,651288299000000,607578312000000,27687000000,29634107000000,507833203000000,213189000000,350267000000,27098777000000,42421082000000,43709987000000,20601582000000,4968603000000,9569000000,18130233000000,0,18852157000000,653000000,0,VCI,yearly
STB,2023,2,622177662000000,10561798000000,13551669000000,38192614000000,0,0,0,120875000000,454128489000000,460470628000000,-6342139000000,72552990000000,24991716000000,63765996000000,-16204722000000,82663000000,0,0,97014000000,-14351000000,7125339000000,4137555000000,0,2987784000000,0,25861225000000,622177662000000,580384648000000,28707000000,18123332000000,501583494000000,0,228810000000,29066642000000,31353663000000,41793014000000,20601582000000,4905388000000,-306613000000,16592657000000,0,18852157000000,653000000,0,VCI,yearly
STB,2023,1,596693994000000,10542632000000,12581859000000,31349277000000,0,0,0,76990000000,442922318000000,448469026000000,-5546708000000,66626089000000,24631616000000,57717534000000,-15723061000000,88812000000,0,0,97014000000,-8202000000,7326557000000,4265650000000,0,3060907000000,0,25126092000000,596693994000000,556136201000000,33962000000,24549053000000,478789403000000,0,270746000000,25857130000000,26635907000000,40557793000000,20601582000000,4223224000000,-157323000000,15890310000000,0,18852157000000,653000000,0,VCI,yearly
