ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
STB,2025,2,-17216000000,5519729000000,27705086000000,-209299000000,-199593000000,0,-188633000000,0,-2247249000000,25059905000000,100235226000000,195325000000,125490456000000,27495787000000,1545000000,0,9415000000,-4275712000000,VCI,yearly
STB,2025,1,-180944000000,2196830000000,-4353390000000,-149092000000,-187763000000,0,-106676000000,0,-1638284000000,-6247442000000,106493055000000,-10387000000,100235226000000,-4502482000000,81087000000,0,0,0,VCI,yearly
STB,2024,4,-179405000000,4667919000000,21088312000000,-1714000000,-384666000000,894000000,-382804000000,0,1257064000000,21960858000000,84438705000000,93492000000,106493055000000,21086598000000,968000000,0,0,-1000000,VCI,yearly
STB,2024,3,-31873000000,3927959000000,-9427790000000,-407023000000,-211730000000,3747000000,-206718000000,0,-448648000000,-10490179000000,94927505000000,1379000000,84438705000000,-9834813000000,1265000000,0,0,1000000,VCI,yearly
STB,2024,2,9517000000,2585507000000,14298414000000,-164922000000,-221901000000,0,-220895000000,0,36213000000,13948810000000,81052016000000,-73321000000,94927505000000,14133492000000,634000000,0,372000000,-2000000,VCI,yearly
STB,2024,1,-13412000000,871410000000,13270385000000,-290413000000,-197563000000,0,-197483000000,0,-2303904000000,10478585000000,70507716000000,65715000000,81052016000000,12979972000000,80000000,0,0,0,VCI,yearly
STB,2023,4,169015000000,1911754000000,-660809000000,-592000000,-1144798000000,806000000,-1141530000000,0,-3348000000,-1806279000000,72549052000000,-235057000000,70507716000000,-661401000000,2462000000,0,0,0,VCI,yearly
STB,2023,3,12059000000,5072079000000,9793229000000,-8188000000,457373000000,10437000000,472582000000,0,-6394000000,10251229000000,61981641000000,316182000000,72549052000000,9785041000000,4772000000,0,0,-22000000,VCI,yearly
STB,2023,2,39908000000,6101429000000,8322700000000,-473000000,-303776000000,-1000000,-302760000000,0,-2927000000,8016540000000,54114391000000,-149290000000,61981641000000,8322227000000,1017000000,0,0,-1000000,VCI,yearly
STB,2023,1,22945000000,4965053000000,9301410000000,-815000000,-291498000000,11595000000,-278233000000,0,-24435000000,8997927000000,45104295000000,12169000000,54114391000000,9300595000000,1670000000,0,0,-3000000,VCI,yearly
STB,2022,4,12699000000,3798449000000,4281479000000,-609000000,-458760000000,6000000,593425000000,0,-145631000000,4728664000000,40381684000000,-6053000000,45104295000000,4280870000000,1052179000000,0,0,-158000000,VCI,yearly
STB,2022,3,-5921000000,5247837000000,641005000000,-6830000000,-316411000000,2549000000,-313516000000,0,589495000000,910154000000,39541014000000,-69484000000,40381684000000,634175000000,346000000,0,0,-2000000,VCI,yearly
STB,2022,2,83042000000,6365835000000,3245268000000,-5812000000,-251472000000,745000000,1532442000000,0,-7559000000,4764339000000,34858609000000,-81934000000,39541014000000,3239456000000,1783169000000,0,0,0,VCI,yearly
STB,2022,1,202378000000,3861666000000,7360838000000,-163000000,-115887000000,9166000000,-96394000000,0,-448078000000,6816203000000,28070625000000,-28219000000,34858609000000,7360675000000,10327000000,0,0,-13000000,VCI,yearly
STB,2021,4,-160845000000,4737577000000,-3047918000000,-508000000,-233415000000,-37320000000,-228682000000,0,-7000000,-3277115000000,31327414000000,20326000000,28070625000000,-3048426000000,4734000000,0,37319000000,-6000000,VCI,yearly
STB,2021,3,-89262000000,2465230000000,-5644876000000,-5866000000,-41843000000,37766000000,399481000000,0,2434949000000,-2816312000000,34219050000000,-75324000000,31327414000000,-5650742000000,264858000000,0,138700000000,-1000000,VCI,yearly
STB,2021,2,135962000000,4908608000000,5646441000000,-21048000000,-224269000000,1591000000,-164059000000,0,-37000000,5461297000000,28790268000000,-32515000000,34219050000000,5625393000000,58619000000,0,0,-37000000,VCI,yearly
STB,2021,1,21892000000,2062396000000,-6472473000000,-821000000,-104334000000,93000000,-86708000000,0,-45000000,-6560047000000,35374920000000,-24605000000,28790268000000,-6473294000000,17533000000,0,0,-45000000,VCI,yearly
STB,2020,4,512624000000,2571610000000,-4359862000000,-2500000000,-383465000000,2914000000,-339129000000,0,-31000000,-4701522000000,40170974000000,-94532000000,35374920000000,-4362362000000,41422000000,0,0,-31000000,VCI,yearly
