rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
68.6,89.0,58700,-1100,-0.018,0.043,11728688,STB: CBTT về chủ trương thay đổi thông tin phòng GD Hàng Bồ và Đội Cấn,TCBS,2025-10-02 17:39:17
59.0,78.0,56500,-400,-0.007,0.027,11723354,STB: Nghị quyết HĐQT về việc chấp thuận chủ trương thay đổi địa chỉ các điểm giao dịch do địa phương cấp xã sắp xếp lại đơn vị hành chính,TCBS,2025-09-26 18:15:39
61.9,85.0,55200,-1800,-0.032,0.038,11716436,STB: Nghị quyết HĐQT về việc thuận chủ trương di dời địa điểm Phòng GD An Khê,TCBS,2025-09-19 16:05:28
58.2,76.0,56100,100,0.002,0.063,11712651,"STB: Nghị quyết HĐQT về chủ trương thay đổi địa điểm PGD Kỳ Anh, Đăk Đoa",TCBS,2025-09-16 17:36:39
56.1,82.0,55400,0,0.0,0.026,11709923,STB: Biên bản kiểm phiếu và Nghị quyết ĐHĐCĐ về việc lấy ý kiến cổ đông bằng văn bản,TCBS,2025-09-12 17:26:00
50.7,62.0,55400,1500,0.028,0.032,11708387,"STB: Nghị quyết HĐQT về việc thuận chủ trương thay đổi thông tin các Chi nhánh, PGD tại Tiền Giang, Kiên Giang",TCBS,2025-09-11 15:32:32
56.6,80.0,55600,800,0.015,0.158,11698622,STB: Thông báo thay đổi nhân sự,TCBS,2025-08-29 18:28:01
56.6,80.0,55600,800,0.015,0.158,11698355,STB: Nghị quyết HĐQT về việc thuận chủ trương di dời địa điểm Phòng GD Quế Võ,TCBS,2025-08-29 15:57:41
52.6,76.0,55000,2000,0.038,0.12,11684943,STB: CBTT về việc lấy ý kiến cổ đông bằng văn bản,TCBS,2025-08-26 10:15:58
63.3,75.0,57800,3700,0.068,0.168,11681111,STB: Nghị quyết HĐQT về việc thuận chủ trương di dời trụ sở làm việc Sacombank - SBA,TCBS,2025-08-21 17:13:57
71.3,66.0,55400,1500,0.028,0.155,11673453,STB: Giải trình BCTC HN và Riêng soát xét bán niên năm 2025 so với cùng kỳ năm trước,TCBS,2025-08-14 17:47:48
72.1,64.0,53900,-100,-0.002,0.124,11671941,STB: Nghị quyết HĐQT số 109/2025 & 110/2025 ngày 13/08/2025,TCBS,2025-08-13 16:17:03
73.4,79.0,53700,-300,-0.006,0.127,11668888,STB: Thông báo về ngày đăng ký cuối cùng lấy ý kiến cổ đông bằng văn bản,TCBS,2025-08-11 13:25:04
76.8,87.0,54600,500,0.009,0.148,11666200,STB: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền lấy ý kiến cổ đông bằng văn bản,TCBS,2025-08-07 17:43:24
76.8,87.0,54600,500,0.009,0.148,11665485,STB: Nghị quyết HĐQT về việc lấy ý kiến cổ đông bằng văn bản,TCBS,2025-08-07 09:40:06
