officer_name,officer_position,officer_own_percent
Tran Trong Ngan,,0.0473
Duong Cong Minh,Chairman of Management Board,0.0332
Tram Khai Hoa,,0.0177
Tram Be,Vice Chairman of Management Board,0.0147
Tram Be,Member of Management Board,0.0147
Tram Thuyet Kieu,,0.0144
Huynh Que Ha,Vice Chairman of Management Board,0.013
Phan Huy Khang,Vice Chairman of Management Board,0.0119
Phan Huy Khang,General Director,0.0119
Duong Thi Liem,,0.0063
Duong Hoang Quynh Nhu,Member of Management Board,0.0051
Duong Hoang Quynh Nhu,Deputy General Director,0.0051
Nguyen Ngoc Thai Binh,Member of Management Board,0.0022
Nguyen Ngoc Thai Binh,,0.0022
Nguyen Thi Minh Quang,,0.0018
Le Trong Tri,Deputy General Director,0.0011
Nguyen Tan Thanh,,0.001
Le Van Tong,,0.0006
Nguyen Van Cuu,Member of Management Board,0.0003
Nguyen Van Nhan,,0.0003
