ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
STB,2025,2,13857982000000,0.11922210328419185,2893598000000,0.3292659677633486,13857982000000,-7272905000000,6585077000000,1717223000000,-798074000000,919149000000,226741000000,0,1747000000,120973000000,-93722000000,27251000000,9415000000,7769380000000,-3199817000000,4569563000000,-912321000000,3657242000000,-763644000000,-763644000000,0,0,2893598000000,2893598000000,3071,VCI,yearly
STB,2025,1,13648861000000,0.09321846826750702,2896692000000,0.37192627657886573,13648861000000,-6785688000000,6863173000000,1433275000000,-705460000000,727815000000,307644000000,0,1359000000,137634000000,-241185000000,-103551000000,0,7796440000000,-3927147000000,3869293000000,-195263000000,3674030000000,-777338000000,-777338000000,0,0,2896692000000,2896692000000,0,VCI,yearly
STB,2024,4,12600526000000,-0.07987525089695639,3598078000000,0.5928155747248048,12600526000000,-6501342000000,6099184000000,1725193000000,-761542000000,963651000000,275051000000,0,10136000000,169981000000,-108853000000,61128000000,893000000,7410043000000,-3150938000000,4259105000000,367259000000,4626364000000,-1028286000000,-1183139000000,154853000000,0,3598078000000,3598078000000,0,VCI,yearly
STB,2024,3,12521371000000,-0.08275944315529607,2201173000000,0.3466192175172765,12521371000000,-6156263000000,6365108000000,1534864000000,-778896000000,755968000000,217524000000,0,6232000000,58737000000,-169420000000,-110683000000,3748000000,7237897000000,-3287498000000,3950399000000,-1198661000000,2751738000000,-550565000000,-550565000000,0,0,2201173000000,2201173000000,0,VCI,yearly
STB,2024,2,12381798000000,-0.15620632570721857,2176839000000,0.13075144172381445,12381798000000,-6265232000000,6116566000000,1503882000000,-823361000000,680521000000,305548000000,0,17409000000,70693000000,-36353000000,34340000000,0,7154384000000,-4001037000000,3153347000000,-465307000000,2688040000000,-511201000000,-511201000000,0,0,2176839000000,2176839000000,2275,VCI,yearly
STB,2024,1,12485026000000,-0.10230482486603985,2111405000000,0.11129093974232049,12485026000000,-6534186000000,5950840000000,1357298000000,-779013000000,578285000000,307605000000,0,21770000000,69605000000,-53311000000,16294000000,0,6874794000000,-3542916000000,3331878000000,-677655000000,2654223000000,-542818000000,-542818000000,0,0,2111405000000,2111405000000,0,VCI,yearly
STB,2023,4,13694367000000,0.1376983535219394,2258942000000,0.2899961910157082,13694367000000,-8061279000000,5633088000000,1432118000000,-845875000000,586243000000,296504000000,0,-9579000000,265296000000,-63963000000,201333000000,806000000,6708395000000,-3409696000000,3298699000000,-544058000000,2754641000000,-495699000000,-635469000000,139770000000,0,2258942000000,2258942000000,0,VCI,yearly
STB,2023,3,13651131000000,0.28376212137797485,1634592000000,0.3491107264979486,13651131000000,-8800023000000,4851108000000,1562211000000,-842696000000,719515000000,299692000000,0,16071000000,45599000000,-15573000000,30026000000,10437000000,5926849000000,-3014859000000,2911990000000,-826697000000,2085293000000,-450701000000,-450701000000,0,0,1634592000000,1634592000000,0,VCI,yearly
STB,2023,2,14673964000000,1.0309970719743446,1925126000000,1.3947659440544653,14673964000000,-8922528000000,5751436000000,1613206000000,-959444000000,653762000000,245060000000,0,21196000000,84141000000,-18186000000,65955000000,-1000000,6737408000000,-3049214000000,3688194000000,-1315656000000,2372538000000,-447412000000,-447412000000,0,0,1925126000000,1925126000000,2029,VCI,yearly
STB,2023,1,13907868000000,0.8555585767298365,1899957000000,0.4912430655628079,13907868000000,-8071166000000,5836702000000,1529175000000,-870792000000,658383000000,258292000000,0,6129000000,50411000000,-21152000000,29259000000,11595000000,6800360000000,-3416137000000,3384223000000,-1001695000000,2382528000000,-482571000000,-482571000000,0,0,1899957000000,1899957000000,0,VCI,yearly
STB,2022,4,12036905000000,0.8243517490695536,1751123000000,1.041252315335594,12036905000000,-5993507000000,6043398000000,1950534000000,-1064108000000,886426000000,303193000000,0,-19574000000,683761000000,-64576000000,619185000000,6000000,7832634000000,-2645824000000,5186810000000,-3287772000000,1899038000000,-147915000000,-18105000000,-129810000000,0,1751123000000,1751123000000,0,VCI,yearly
STB,2022,3,10633692000000,0.37371896414921135,1211607000000,0.8939408623665057,10633692000000,-4871714000000,5761978000000,1869613000000,-838154000000,1031459000000,219545000000,0,-2221000000,66966000000,-26071000000,40895000000,2549000000,7054205000000,-3097107000000,3957098000000,-2425071000000,1532027000000,-320420000000,-320420000000,0,0,1211607000000,1211607000000,0,VCI,yearly
STB,2022,2,7225005000000,-0.06134316308816716,803889000000,-0.27762326805584636,7225005000000,-4622706000000,2602299000000,2399372000000,-658794000000,1740578000000,241574000000,0,4304000000,1559504000000,-19814000000,1539690000000,745000000,6129190000000,-2389672000000,3739518000000,-2420457000000,1319061000000,-515172000000,-515172000000,0,0,803889000000,803889000000,1104,VCI,yearly
STB,2022,1,7495246000000,-0.020849793490347556,1274076000000,0.5904836329772227,7495246000000,-4755787000000,2739459000000,2110416000000,-574799000000,1535617000000,297932000000,0,-2492000000,563972000000,-18393000000,545579000000,9166000000,5125261000000,-2831806000000,2293455000000,-704509000000,1588946000000,-314870000000,-314870000000,0,0,1274076000000,1274076000000,0,VCI,yearly
STB,2021,4,6597908000000,-0.187459660282467,857867000000,0.025408493802369085,6597908000000,-4103022000000,2494886000000,2554417000000,-575458000000,1978959000000,212160000000,0,43521000000,132862000000,-247981000000,-115119000000,-2000000,4614405000000,-2399883000000,2214522000000,-1063759000000,1150763000000,-292896000000,-245392000000,-47504000000,0,857867000000,857867000000,0,VCI,yearly
STB,2021,3,7740806000000,-0.101118410441176,639728000000,-0.10684946807025382,7740806000000,-4427778000000,3313028000000,1062325000000,-472492000000,589833000000,150086000000,0,68621000000,148566000000,-109440000000,39126000000,37766000000,4198460000000,-2423811000000,1774649000000,-949878000000,824771000000,-185043000000,-185043000000,0,0,639728000000,639728000000,0,VCI,yearly
STB,2021,2,7697174000000,-0.08030389312887713,1112839000000,2.24093252176952,7697174000000,-4548965000000,3148209000000,1478293000000,-541975000000,936318000000,167745000000,0,17168000000,499444000000,-24362000000,475082000000,1591000000,4746113000000,-2336056000000,2410057000000,-985809000000,1424248000000,-311409000000,-311409000000,0,0,1112839000000,1112839000000,0,VCI,yearly
STB,2021,1,7654848000000,-0.09801969266546424,801062000000,0.019498791586540602,7654848000000,-4646484000000,3008364000000,1335613000000,-498204000000,837409000000,207102000000,0,34354000000,84326000000,-26309000000,58017000000,93000000,4145339000000,-2669373000000,1475966000000,-475722000000,1000244000000,-199182000000,-199182000000,0,0,801062000000,801062000000,0,VCI,yearly
STB,2020,4,8120099000000,0.10122702589737041,836610000000,0.5738532041055895,8120099000000,-5106479000000,3013620000000,1546863000000,-470531000000,1076332000000,252048000000,0,120579000000,601190000000,-16968000000,584222000000,-30353000000,5016448000000,-3939271000000,1077177000000,-63590000000,1013587000000,-176977000000,-458238000000,281261000000,0,836610000000,836610000000,0,VCI,yearly
STB,2020,3,8611597000000,0.018920603534016762,716260000000,-0.07204460860586447,8611597000000,-5575739000000,3035858000000,1712219000000,-463336000000,1248883000000,159386000000,0,5986000000,366072000000,-7872000000,358200000000,1734000000,4810047000000,-2625228000000,2184819000000,-1287560000000,897259000000,-180999000000,-180999000000,0,0,716260000000,716260000000,692,VCI,yearly
STB,2020,2,8369258000000,0.14642313037698884,343370000000,0.11779546527336947,8369258000000,-5732059000000,2637199000000,1091313000000,-393809000000,697504000000,165622000000,0,-50526000000,131546000000,-21260000000,110286000000,1177000000,3561262000000,-1973154000000,1588108000000,-1147557000000,440551000000,-97181000000,-97181000000,0,0,343370000000,343370000000,0,VCI,yearly
STB,2020,1,8486713000000,0.15445378219847428,785741000000,-0.06929411235167168,8486713000000,-5646836000000,2839877000000,1126417000000,-405121000000,721296000000,232683000000,0,18004000000,82415000000,-11391000000,71024000000,228000000,3883112000000,-2477566000000,1405546000000,-417663000000,987883000000,-202142000000,-202142000000,0,0,785741000000,785741000000,0,VCI,yearly
STB,2019,4,7373683000000,0.060374638671227596,531568000000,-0.3811572218386884,7373683000000,-5598159000000,1775524000000,1628215000000,-436194000000,1192021000000,186381000000,0,19645000000,582035000000,-5652000000,576383000000,24264000000,3774218000000,-2579237000000,1194981000000,-469298000000,725683000000,-194115000000,-223775000000,29660000000,0,531568000000,531568000000,0,VCI,yearly
STB,2019,3,8451686000000,0.22305736919442212,771869000000,3.730169138374801,8451686000000,-5526860000000,2924826000000,1122973000000,-375719000000,747254000000,202193000000,0,28185000000,166836000000,-52266000000,114570000000,1591000000,4018619000000,-2351354000000,1667265000000,-637428000000,1029837000000,-257968000000,-257968000000,0,0,771869000000,771869000000,0,VCI,yearly
STB,2019,2,7300322000000,0.1433185220080674,307185000000,-0.1726302861190641,7300322000000,-5277842000000,2022480000000,1082505000000,-340913000000,741592000000,107408000000,0,2135000000,431599000000,-5152000000,426447000000,730000000,3300792000000,-2284831000000,1015961000000,-616179000000,399782000000,-92597000000,-92597000000,0,0,307185000000,307185000000,638,VCI,yearly
STB,2019,1,7351280000000,0.21584605008148885,844242000000,1.1280228671677681,7351280000000,-4893422000000,2457858000000,969750000000,-327627000000,642123000000,112766000000,0,22799000000,305004000000,-1217000000,303787000000,2376000000,3541709000000,-2050281000000,1491428000000,-429984000000,1061444000000,-217202000000,-217202000000,0,0,844242000000,844242000000,0,VCI,yearly
STB,2018,4,6953847000000,0.15321687256092748,858971000000,1.1392502160491522,6953847000000,-4843809000000,2110038000000,1289120000000,-367239000000,921881000000,88395000000,0,-29335000000,627528000000,-1103000000,626425000000,584000000,3717988000000,-2371780000000,1346208000000,-413718000000,932490000000,-73519000000,-62974000000,-10545000000,0,858971000000,858971000000,0,VCI,yearly
STB,2018,3,6910294000000,0.180836673483672,163180000000,-0.468956853964762,6910294000000,-4840089000000,2070205000000,899361000000,-272878000000,626483000000,153702000000,3304000000,-770000000,93405000000,-1543000000,91862000000,1225000000,2946011000000,-1963458000000,982553000000,-664122000000,318431000000,-155251000000,-155251000000,0,0,163180000000,163180000000,0,VCI,yearly
STB,2018,2,6385204000000,0.26892500942472136,371279000000,0.46495817550505053,6385204000000,-4603508000000,1781696000000,831423000000,-241955000000,589468000000,105117000000,1705000000,31738000000,173091000000,-14366000000,158725000000,1000000000,2669449000000,-1743875000000,925574000000,-433271000000,492303000000,-121024000000,-120445000000,-579000000,0,371279000000,371279000000,0,VCI,yearly
