time,symbol,open,high,low,close,volume
2018-06-04,TCB,16.12,16.53,16.12,16.12,2811840.0
2018-06-05,TCB,15.6,16.69,15.12,15.12,1357500.0
2018-06-06,TCB,14.96,15.12,14.33,14.48,1605480.0
2018-06-07,TCB,14.88,15.49,14.66,15.49,1376540.0
2018-06-08,TCB,15.9,16.56,15.67,16.56,2008500.0
2018-06-09,TCB,15.9,16.56,15.67,16.56,2008500.0
2018-06-10,TCB,15.9,16.56,15.67,16.56,2008500.0
2018-06-11,TCB,16.5,17.16,16.25,17.16,1229830.0
2018-06-12,TCB,17.0,17.0,16.2,16.53,1139130.0
2018-06-13,TCB,16.53,17.0,16.45,16.6,772670.0
2018-06-14,TCB,16.77,16.77,16.3,16.53,617130.0
2018-06-15,TCB,16.61,16.61,16.3,16.56,723460.0
2018-06-16,TCB,16.61,16.61,16.3,16.56,723460.0
2018-06-17,TCB,16.61,16.61,16.3,16.56,723460.0
2018-06-18,TCB,16.39,16.53,15.43,15.74,825810.0
2018-06-19,TCB,14.97,15.27,14.64,14.96,2092720.0
2018-06-20,TCB,14.96,15.19,14.66,14.99,554870.0
2018-06-21,TCB,15.02,15.02,14.69,14.99,497790.0
2018-06-22,TCB,14.97,14.97,14.74,14.96,328710.0
2018-06-23,TCB,14.97,14.97,14.74,14.96,328710.0
2018-06-24,TCB,14.97,14.97,14.74,14.96,328710.0
2018-06-25,TCB,15.12,15.27,15.07,15.1,918340.0
2018-06-26,TCB,14.86,15.04,14.83,14.96,493790.0
2018-06-27,TCB,14.72,14.96,14.72,14.74,394860.0
2018-06-28,TCB,14.64,14.72,13.93,14.52,1319230.0
2018-06-29,TCB,14.33,14.48,13.7,14.44,1583700.0
2018-06-30,TCB,14.33,14.48,13.7,14.44,1583700.0
2018-07-01,TCB,14.33,14.48,13.7,14.44,1583700.0
2018-07-02,TCB,14.45,14.45,13.7,13.84,669570.0
2018-07-03,TCB,13.78,13.9,12.88,12.88,2112230.0
2018-07-04,TCB,12.68,12.75,11.98,12.75,1102650.0
2018-07-05,TCB,13.63,13.63,12.76,13.3,1583450.0
2018-07-06,TCB,13.23,13.7,12.76,13.6,1160990.0
2018-07-07,TCB,13.23,13.7,12.76,13.6,1160990.0
2018-07-08,TCB,13.23,13.7,12.76,13.6,1160990.0
2018-07-09,TCB,13.7,13.79,13.16,13.46,631240.0
2018-07-10,TCB,13.46,13.46,12.99,13.06,549100.0
2018-07-11,TCB,12.8,12.8,12.16,12.16,1134570.0
2018-07-12,TCB,11.86,12.28,11.86,12.28,686180.0
2018-07-13,TCB,12.47,12.52,12.28,12.38,406500.0
2018-07-14,TCB,12.47,12.52,12.28,12.38,406500.0
2018-07-15,TCB,12.47,12.52,12.28,12.38,406500.0
2018-07-16,TCB,12.28,12.38,12.16,12.38,430160.0
2018-07-17,TCB,12.38,12.99,12.14,12.8,1174520.0
2018-07-18,TCB,12.99,13.46,12.9,13.2,1139340.0
2018-07-19,TCB,13.23,13.23,12.99,13.18,680430.0
2018-07-20,TCB,12.99,13.18,12.85,13.18,1473990.0
2018-07-21,TCB,12.99,13.18,12.85,13.18,1473990.0
2018-07-22,TCB,12.99,13.18,12.85,13.18,1473990.0
2018-07-23,TCB,12.9,13.16,12.57,12.57,878370.0
2018-07-24,TCB,12.76,12.99,12.42,12.47,1019120.0
