ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
TCB,2025,2,1037645395000000,3666435000000,48485657000000,80845693000000,4138394000000,4139215000000,-821000000,0,700801926000000,710313010000000,-9511084000000,146985597000000,142072840000000,5400000000000,-487243000000,3057806000000,3058955000000,-1149000000,12192892000000,6274097000000,5918795000000,0,37427502000000,1037645395000000,875818166000000,46920000000,137064303000000,545078843000000,1092859000000,0,172337642000000,20197599000000,161827229000000,78412544000000,24786836000000,0,54414630000000,70648517000000,7764086000000,4213219000000,VCI,quarterly
TCB,2025,1,989215993000000,3789947000000,62698992000000,81883430000000,2280383000000,2280761000000,-378000000,0,655007208000000,663692866000000,-8685658000000,124378656000000,117928269000000,6900000000000,-449613000000,3102523000000,3103672000000,-1149000000,12119671000000,6429947000000,5689724000000,0,43901320000000,989215993000000,835263328000000,118379000000,135313705000000,531583052000000,688536000000,0,147933070000000,19626586000000,153952665000000,78412544000000,24786838000000,0,48167266000000,70648517000000,7764086000000,2586017000000,VCI,quarterly
TCB,2024,4,978798549000000,3384770000000,54353153000000,84590474000000,9000644000000,9000895000000,-251000000,0,623634271000000,631724964000000,-8090693000000,148623636000000,142202792000000,6900000000000,-479156000000,3102523000000,3103672000000,-1149000000,12466885000000,6576699000000,5890186000000,0,39500565000000,978798549000000,830858928000000,11531000000,132239088000000,533392350000000,931231000000,0,140422321000000,23862407000000,147939621000000,78412544000000,24787305000000,0,42219306000000,70648517000000,7764086000000,2520466000000,VCI,quarterly
TCB,2024,3,927053345000000,3608503000000,40614749000000,90014293000000,4524314000000,4524314000000,0,269237000000,617924570000000,626290777000000,-8366207000000,102135236000000,97062825000000,5400000000000,-327589000000,3047523000000,3048672000000,-1149000000,12752316000000,6974513000000,5777803000000,0,51847838000000,927053345000000,782685363000000,20542000000,138462274000000,494954017000000,0,0,126061309000000,23187221000000,144367982000000,71006213000000,20845050000000,10494000000,51068780000000,70450216000000,555997000000,1437445000000,VCI,quarterly
TCB,2024,2,908306700000000,3638265000000,28055094000000,88903726000000,4142658000000,4142658000000,0,170357000000,584713478000000,592083271000000,-7369793000000,113677245000000,114076318000000,0,-399073000000,3047523000000,3048672000000,-1149000000,9626880000000,3669412000000,5957468000000,0,72011233000000,908306700000000,769755043000000,410381000000,154612416000000,481860239000000,0,0,111985283000000,20886724000000,138551657000000,71006213000000,20845440000000,-13199000000,45331275000000,70450216000000,555997000000,1381928000000,VCI,quarterly
TCB,2024,1,885653461000000,3665067000000,13587719000000,89074540000000,8967611000000,8967611000000,0,729249000000,552577121000000,559276885000000,-6699764000000,131188842000000,131568267000000,0,-379425000000,3046245000000,3047394000000,-1149000000,9258648000000,3593852000000,5664796000000,0,73476386000000,885653461000000,747780735000000,938925000000,172892747000000,458040690000000,0,0,93776798000000,22131575000000,137872726000000,36257461000000,45028418000000,-20133000000,55234141000000,35225108000000,555997000000,1372839000000,VCI,quarterly
TCB,2023,4,849482012000000,3620695000000,27140592000000,104072320000000,4432778000000,4432778000000,0,143611000000,512513672000000,518641568000000,-6127896000000,104993945000000,105356248000000,0,-362303000000,3046245000000,3047394000000,-1149000000,8892697000000,3527586000000,5365111000000,0,80543424000000,849482012000000,717853947000000,131000000,153173002000000,454660779000000,0,0,84703300000000,25316735000000,131628065000000,36257461000000,45028627000000,0,49025144000000,35225108000000,555997000000,1316833000000,VCI,quarterly
TCB,2023,3,781278666000000,3505804000000,27428542000000,69386021000000,5130241000000,5130241000000,0,1301270000000,469588515000000,475605589000000,-6017074000000,121243204000000,121592338000000,0,-349134000000,3046245000000,3047394000000,-1149000000,8572600000000,3610247000000,4962353000000,0,71981345000000,781278666000000,654148880000000,49571000000,159262494000000,409044572000000,0,0,61825221000000,23967022000000,127129786000000,36204797000000,43386280000000,-2181000000,46266763000000,35172385000000,555997000000,1274127000000,VCI,quarterly
TCB,2023,2,732470169000000,3112603000000,7860356000000,71193282000000,1719515000000,1719515000000,0,221603000000,460753044000000,466546217000000,-5793173000000,107847625000000,108213465000000,0,-365840000000,3046245000000,3047394000000,-1149000000,8742421000000,3726005000000,5016416000000,0,67878596000000,732470169000000,610005199000000,136300000000,153625650000000,381946519000000,0,0,54957735000000,19338995000000,122464970000000,36204797000000,43386686000000,1302000000,41653820000000,35172385000000,555997000000,1218365000000,VCI,quarterly
TCB,2023,1,723517800000000,2852199000000,15834434000000,66839068000000,78555000000,78555000000,0,0,460145233000000,465425345000000,-5280112000000,99071125000000,99437382000000,0,-366257000000,12813000000,13962000000,-1149000000,8274948000000,3655357000000,4619591000000,0,70304177000000,723517800000000,605552384000000,121611000000,151194118000000,387297891000000,974338000000,0,46729093000000,19235333000000,117965416000000,36204797000000,11606679000000,4648000000,68979321000000,35172385000000,555997000000,1169971000000,VCI,quarterly
