ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
TCB,2025,2,6371000000,8240200000000,-7771210000000,-2000000,-271585000000,31518000000,-251094000000,1376714000000,1376714000000,-6645592000000,136433981000000,0,129788389000000,-7771212000000,1499000000,0,0,0,VCI,yearly
TCB,2025,1,-102654000000,1088680000000,-11014809000000,-467000000,-35503000000,43000000,-35158000000,0,0,-11050434000000,147484415000000,0,136433981000000,-11015276000000,345000000,0,0,0,VCI,yearly
TCB,2024,4,-1078660000000,12277494000000,25033888000000,-221000000,-1052218000000,67000000,-846810000000,198242000000,198242000000,24385099000000,123109810000000,-10494000000,147484415000000,25033667000000,1510044000000,-55000000000,0,0,VCI,yearly
TCB,2024,3,37289000000,9401189000000,-1684931000000,-390000000,-286413000000,6406000000,-50233000000,0,-70238000000,-1805792000000,124891909000000,23693000000,123109810000000,-1685321000000,229812000000,-1278000000,0,-70238000000,VCI,yearly
TCB,2024,2,-285470000000,8016234000000,5987393000000,-1759000000,-200950000000,58051000000,-142741000000,2253000000,-5137764000000,705129000000,124179846000000,6934000000,124891909000000,5985634000000,1436000000,0,0,-5140017000000,VCI,yearly
TCB,2024,1,-1032838000000,1342520000000,13042784000000,-209000000,-79305000000,37000000,657185000000,0,0,13699760000000,110500219000000,-20133000000,124179846000000,13042575000000,236000000,0,0,0,VCI,yearly
TCB,2023,4,-49302000000,8859283000000,14262874000000,-2181000000,-635604000000,23633000000,-18930000000,52664000000,52664000000,14294427000000,96203611000000,2181000000,110500219000000,14260693000000,2677000000,0,0,854000000,VCI,yearly
TCB,2023,3,198229000000,7336195000000,22147773000000,-439000000,-128954000000,8451000000,-111443000000,-854000000,0,22035891000000,74171203000000,-3483000000,96203611000000,22147334000000,9060000000,0,0,0,VCI,yearly
TCB,2023,2,502142000000,5698260000000,-2479455000000,-548000000,-395291000000,30000000,-3042234000000,0,0,-5522237000000,79696786000000,-3346000000,74171203000000,-2480003000000,4379000000,-3033432000000,0,0,VCI,yearly
TCB,2023,1,733547000000,3045078000000,-21872892000000,-1845000000,-72509000000,2642000000,260141000000,854000000,854000000,-21613742000000,101305880000000,4648000000,79696786000000,-21874737000000,6040000000,0,0,0,VCI,yearly
TCB,2022,4,149716000000,8208947000000,19130887000000,-410000000,-720321000000,30000000,-679274000000,1835000000,-700059000000,17751144000000,83562091000000,-7355000000,101305880000000,19130477000000,41068000000,0,0,0,VCI,yearly
TCB,2022,3,190970000000,8524608000000,15950014000000,-101000000,-212131000000,6406000000,-204923000000,61343000000,63237000000,15808227000000,67760496000000,-6632000000,83562091000000,15949913000000,802000000,0,0,0,VCI,yearly
TCB,2022,2,66809000000,7410004000000,-4015556000000,-4108000000,-64703000000,2292000000,-61994000000,0,0,-4081658000000,71831132000000,11022000000,67760496000000,-4019664000000,417000000,0,0,0,VCI,yearly
