rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
52.5,60.0,37850,100,0.003,-0.019,11726212,TCB: Nghị quyết HĐQT về việc ký hợp đồng mau thẻ nạp Upoint do OMC cung cấp,TCBS,2025-09-30 17:33:42
52.5,60.0,37850,100,0.003,-0.019,11726286,TCB: Quyết định của HĐQT về việc thay đổi địa chỉ phòng GD Phan Xích Long,TCBS,2025-09-30 17:26:55
52.5,60.0,37850,100,0.003,-0.019,11725889,TCB: Nghị quyết HĐQT về phê duyệt hạn mức tín dụng cho Công ty TNHH Đầu tư BĐS Eurowindow Light City,TCBS,2025-09-30 13:33:07
52.1,74.0,37750,48,0.001,-0.021,11724799,TCB: Nghị quyết HĐQT về việc cho Techcom Life mượn trụ sở làm Văn phòng tại Trần Duy Hưng,TCBS,2025-09-29 17:23:05
53.0,66.0,37896,97,0.003,0.036,11721708,TCB: Nghị quyết HĐQT về việc TCBS tư vấn phát hành trái phiếu TCB năm 2025 lần 18,TCBS,2025-09-25 17:50:23
53.0,66.0,37896,97,0.003,0.036,11721711,TCB: Nghị quyết HĐQT về việc TCBS tư vấn phát hành trái phiếu TCB năm 2025 lần 17,TCBS,2025-09-25 17:49:47
53.0,66.0,37896,97,0.003,0.036,11721296,TCB: Nghị quyết HĐQT về việc ký kết thỏa thuận hợp tác toàn điện giữa TCB và Techcom Life,TCBS,2025-09-25 14:00:10
53.0,66.0,37896,97,0.003,0.036,11721297,TCB: Nghị quyết HĐQT về việc cấp mới hạn mức PSE cho TCBS,TCBS,2025-09-25 13:58:34
44.0,44.0,37799,1266,0.035,0.033,11720336,TCB: Thông báo về ngày đăng ký cuối cùng chi trả cổ tức năm 2024 bằng tiền,TCBS,2025-09-24 16:53:18
51.8,74.0,37799,97,0.003,0.022,11715066,TCB: Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ Phạm Quang Thắng,TCBS,2025-09-18 16:09:09
56.3,76.0,37702,-633,-0.017,0.02,11713941,TCB: Quyết định của HĐQT về việc thay đổi địa điểm Chi nhánh Nghệ An,TCBS,2025-09-17 17:24:15
56.3,76.0,37702,-633,-0.017,0.02,11713939,TCB: Quyết định của HĐQT về việc thành lập Chi nhánh Trảng Bom,TCBS,2025-09-17 17:22:58
56.3,76.0,37702,-633,-0.017,0.02,11713942,TCB: Quyết định của HĐQT về việc thành lập Chi nhánh Việt Yên,TCBS,2025-09-17 17:22:14
54.3,65.0,38335,341,0.009,0.037,11712408,TCB: Nghị quyết HĐQT về việc triển khai phương án chi trả cổ tức năm 2024 bằng tiền,TCBS,2025-09-16 14:18:45
52.0,70.0,37994,390,0.01,0.037,11711211,Techcombank chuẩn bị trả cổ tức bằng tiền mặt,TCBS,2025-09-15 16:56:00
