officer_name,officer_position,officer_own_percent
Nguyen Thi Thanh Thuy,,0.0493
Ho Anh Minh,,0.0488
Ho Thuy Anh,,0.0488
Nguyen Phuong Hoa,,0.0215
Ho Minh Anh,,0.0204
Nguyen Huong Lien,,0.0197
Ho Hung Anh,Chairman of Management Board,0.0111
Nguyen Thieu Quang,Vice Chairman of Management Board,0.0086
Nguyen Canh Son Tung,,0.006
Nguyen Canh Son,Vice Chairman of Management Board,0.0051
Pham Hien Trang,,0.0031
Nguyen Dang Quang,Vice Chairman of Management Board,0.0027
Nguyen Dang Quang,Member of Management Board,0.0027
Trinh Bang,Chief Financial Officer,0.0017
Nguyen Le Quoc Anh,,0.0017
Phung Quang Hung,,0.0009
Nguyen Thu Hien,,0.0009
Phan Thanh Son,,0.0005
Pham Quang Thang,Deputy General Director,0.0004
Le Anh Tuan,,0.0004
