Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROA (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
TCB,2025,2,5.4120568671,0.0753451200724694,2.290596249977441,0.6837377734408688,0.1401370303,0.0216683928,6.412056867141932,275300440083900,7086240414,12.8750618391,1.7443078553,6.0289393462,60.1265871631,881.6189735331777,22272.4445586387,VCI,yearly
TCB,2025,1,5.4254554671,0.07872335954691008,2.1791351140482864,0.7161563576822915,0.1453451278,0.0223484598,6.425455467107374,247976296038900,7064851739,11.6477870099,1.6382492399,5.3512562895,13.5115565136,841.9086797201364,21425.3113288157,VCI,yearly
TCB,2024,4,5.6162028967,0.08427008880873096,2.0940230094756416,0.39190150174085314,0.1539795402,0.0235444477,6.616202896720954,183686145214000,7064851739,8.512548075,1.2631495845,3.9090145421,4.3234982012,477.1600487227153,20583.4687509781,VCI,yearly
TCB,2024,3,5.4214608541,0.08833202364773651,2.043467964133592,0.6425930339503864,0.1635766585,0.0253082766,6.42146085411099,166730501040400,7064851739,7.3616543745,1.1648980259,3.4410590447,5.2622345397,812.1196611002229,20259.2840526133,VCI,yearly
TCB,2024,2,5.555725999,0.06948224372372537,1.961140334129806,0.6534510820194207,0.1604403781,0.0250720698,6.555725999004111,171546276495700,7045021622,7.9891802171,1.2506132202,3.6408256841,3.0935978458,879.1117092756028,19470.448262593,VCI,yearly
TCB,2024,1,5.423703126,0.06715358627202309,1.9515303518530072,0.7319212654231804,0.1520175167,0.0242888353,6.423703126026536,160626492981600,7045021622,8.1382371231,1.1767518385,3.7335128265,3.4181033266,883.0344793510983,19375.3680717944,VCI,yearly
TCB,2023,4,5.4542425881,0.06755927772698019,1.8631398062237523,0.5842820048378331,0.1469452028,0.0232529968,6.453654180816226,166967012441400,3522510811,9.2616863103,1.2814120995,4.1678098151,13.8340327013,1260.154826534044,36990.4420429613,VCI,yearly
TCB,2023,3,5.1455201852,0.06743187627170237,1.7994685620677255,0.6343291401729335,0.1422843547,0.0233071141,6.145520185175172,122054999601150,3522510811,7.1247900953,0.9693953468,3.1726528166,7.2031376179,1309.561062408901,35743.9306010976,VCI,yearly
TCB,2023,2,4.981058657,0.07138711584218736,1.733440056837405,0.7077270929995931,0.1534793772,0.0251830618,5.981058657018411,114310251705000,3517238514,6.4222572428,0.9427913607,2.9775401266,10.6547251461,1266.6343161736459,34472.1020531848,VCI,yearly
TCB,2023,1,5.1333043576,0.07014723705123882,1.6697507655935255,0.6889807994018582,0.1717736593,0.0281753894,6.133304357609352,111320598968100,3517238514,5.8110753933,0.9531244902,2.7767660012,12.1096845279,1278.5300121389494,33206.5751398741,VCI,yearly
TCB,2022,4,5.1629513206,0.0741581178873794,1.6054826086988037,0.5197328625595378,0.1951927606,0.0317889084,6.162951320611373,101648193054600,3517238514,5.0385353485,0.9051804774,2.4851595091,1.8303791335,1007.6859973790222,31927.3346271563,VCI,yearly
TCB,2022,3,5.1088145824,0.06625966685146943,1.5555761544623123,0.7002833006475084,0.2088422915,0.0342022573,6.108814582358595,97779230689200,3517238514,4.6050342182,0.8981549631,2.3485558247,3.6141723143,1506.2856780715895,30952.3424603328,VCI,yearly
TCB,2022,2,4.9702087077,0.06911079216447998,1.4788018610959275,0.7446297332252138,0.2105372576,0.0344555893,5.9702087076986405,88986134404200,3517238514,4.3885697734,0.8591419325,2.2205148755,3.0589838413,1650.0231579120027,29447.9864665783,VCI,yearly
TCB,2022,1,5.2409509505,0.07369449756501913,1.3954431549607358,0.678655066543066,0.2104329206,0.0343415089,6.2409509505356695,126744024207800,3510914798,6.614888531,1.297252187,3.3130357966,2.8614591858,1567.8574721140242,27828.050984221,VCI,yearly
TCB,2021,4,5.112639211,0.077635968176827,1.3171661690549739,0.6338829056609451,0.2153483588,0.0358061672,6.112582008154953,160097714788800,3510914798,8.8579073991,1.7365199257,4.3180617713,12.4651078934,1307.9867396998563,26259.4165066378,VCI,yearly
TCB,2021,3,5.1281746976,0.08039882268418715,1.2510445266967547,0.6433232594076164,0.2134837729,0.0357192966,6.128174697625796,171157096402500,3510914798,9.8186642285,1.9531524668,4.9354390142,7.8556897456,1235.4614821387643,24959.6489923137,VCI,yearly
TCB,2021,2,5.0106995851,0.08031847292422344,1.1875834497253843,0.7151288745863565,0.2097220661,0.0357483716,6.010699585142062,183971935415200,3510914798,11.3594562131,2.2084853819,5.5086664216,-21.7690655614,1341.8514179505873,23726.6682539415,VCI,yearly
TCB,2021,1,4.8516438261,0.05975665410104199,1.1195247674255546,0.7179832327436211,0.1955916265,0.0335713803,5.8516438260819434,187512483305000,3504906230,13.1316545048,2.3877963955,6.2620587385,-8.9583637135,1254.4498230413428,22405.5954272991,VCI,yearly
TCB,2020,4,4.8916329667,0.06182987645370986,1.0561408612173,0.7245762673031096,0.1803381614,0.0299403745,5.891632966688399,138268550773500,3504906230,11.2185517693,1.8651941237,5.113004265,-13.7056055781,1127.875823371172,21150.6134930178,VCI,yearly
TCB,2020,3,4.6857540495,0.06051033367114511,0.9994314899804864,0.6020222702265875,0.1722854238,0.0289949563,5.685754049524424,117414358705000,3504906230,10.2860934157,1.6737236525,4.5320129691,-15.3597385952,884.1942684440947,20015.2515920519,VCI,yearly
TCB,2020,2,4.8707656829,0.061190208640016105,0.95443196108096,0.7157835918176094,0.171617554,0.0282180721,5.8707656829341435,81728268112700,3500139962,7.5261695389,1.2188483813,3.4383528352,15.2245311301,804.7903885507536,19157.4279108785,VCI,yearly
TCB,2020,1,5.0660038423,0.05407901159871604,0.9142551377750858,0.5830132475170995,0.1727190634,0.0277931878,6.066003842344657,68252729259000,3500139962,6.5290253263,1.062294609,3.0058282665,6.586280331,701.6553699746022,18356.4896539986,VCI,yearly
TCB,2019,4,5.1814460599,0.05167768660933063,0.8786138661246151,0.7758923766632371,0.1769811995,0.0285945929,6.181446059912232,59852393350200,3500139962,5.9406023083,0.968766836,2.8408952639,4.7382308557,865.4642479694073,17651.3061393972,VCI,yearly
TCB,2019,3,5.2357304643,0.05945666801542288,0.8342811028097076,0.6857533683875636,0.1683426525,0.0270457503,6.235730464317514,81728268112700,3500139962,8.7821250597,1.3913662797,4.1919815441,14.9421832963,729.7505321874326,16782.065471015,VCI,yearly
TCB,2019,2,5.3986026075,0.061012181256702325,0.7978326663084132,0.7531119138449918,0.1665167549,0.0266887885,6.398602607490248,83478338093700,3500139962,9.4717886055,1.4846296787,4.4467506243,-73.0759669651,688.2121932700015,16064.612167072,VCI,yearly
TCB,2019,1,5.0531229897,0.05762021804526225,0.7625773758647308,0.6071639707837183,0.167778909,0.0269872087,6.053122989731723,72729116928000,3496592160,8.5457101092,1.3519337912,4.0219425498,4.9475345833,595.6728450709562,15385.3688215099,VCI,yearly
TCB,2018,4,5.1987673491,0.03318860998088068,0.7329623736354532,0.7461051361613144,0.2150274191,0.028668844,6.199935924552416,85142019096000,3496592160,10.0607684914,1.6464212149,4.639950712,284.8206952417,644.4923791169285,14789.653935505,VCI,yearly
TCB,2018,3,5.3013202987,0.03205436365363749,0.7003827232049434,0.6607721441622378,0.2171344399,0.0303598251,6.301320298673828,93184181064000,3496592160,10.206529667,1.8832315269,4.8839498671,12.6573957328,589.0203677628791,14151.2074430779,VCI,yearly
TCB,2018,2,0.0,0.03138925949789835,0.6713437415561878,0.8389749619201053,0.0,0.0,6.333720322230244,97205262048000,3496592160,10.8486033885,2.0494710047,5.4497741661,5.7975254929,600.7986930909323,13564.4758752762,VCI,yearly
TCB,2018,1,6.2616481176,0.039419128116885145,0.5324357876096684,0.8045908542599911,0.2812923975,0.0294938563,7.261648117590164,92310033024000,3496592160,11.4780955405,0.8180076271,5.3203145817,-15.6036221541,586.0074341641263,32273.5377111903,VCI,yearly
TCB,2017,4,9.0031536447,0.05612343810020852,0.3811933497674777,1.034900539053099,0.27712726,0.0255394733,10.003153644654093,0,1101119563,0.0,0.0,0.0,0.0,2320.480977595709,23105.9936902563,VCI,yearly
TCB,2017,3,11.0156193114,0.0751988852883472,0.2750685749387104,0.8301222170325393,0.2354025274,0.0205390771,12.015619311438726,0,785454526,0.0,0.0,0.0,0.0,2172.2454241736714,21888.9548065522,VCI,yearly
TCB,2017,2,9.6818543304,0.0677307253815643,0.30787791171791495,0.5063044687557946,0.2035511318,0.0178142348,10.68185433043028,0,785454526,0.0,0.0,0.0,0.0,1432.248415104301,24499.8022657829,VCI,yearly
TCB,2017,1,10.2587848661,0.07401770032169462,0.2923275216943657,0.4849895406828293,0.196856782,0.0167283591,11.258784866107774,0,887807900,0.0,0.0,0.0,0.0,1193.1669001818975,23262.3588954322,VCI,yearly
TCB,2016,4,11.0166147295,0.08061998745815543,0.27788100480051703,0.44844034646432573,0.1747221358,0.0147363817,11.988816863753401,0,887807900,0.0,0.0,0.0,0.0,967.1112410691547,22061.614905657,VCI,yearly
TCB,2016,3,10.8857012749,0.08073949916994283,0.26529481003168154,0.5080172609132939,0.1524237538,0.0129032571,11.885701274924058,0,887807900,0.0,0.0,0.0,0.0,1151.5306408064178,21111.1942121713,VCI,yearly
TCB,2016,2,0.0,0.0880853348212637,0.25103990366980294,0.3611492679733258,0.0,0.0,11.991493491873998,0,887807900,0.0,0.0,0.0,0.0,892.2605892558514,19976.8407106988,VCI,yearly
