ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,data_source,period_type
TCB,2025,2,16303607000000,0.06219474765132617,6247364000000,0.008719498185234157,16303607000000,-7166531000000,9137076000000,3052422000000,-945431000000,2106991000000,415158000000,31979000000,599870000000,1730032000000,-1309593000000,420439000000,31518000000,12743031000000,-3830693000000,8912338000000,-1013750000000,7898588000000,-1550978000000,-1549782000000,-1196000000,-100246000000,6347610000000,6247364000000,VCI,quarterly
TCB,2025,1,14950024000000,0.03052172991164824,5947960000000,-0.04388958875884364,14950024000000,-6644631000000,8305393000000,2578542000000,-750410000000,1828132000000,454811000000,178426000000,450449000000,1741899000000,-1347955000000,393944000000,43000000,11611198000000,-3284915000000,8326283000000,-1090055000000,7236228000000,-1222717000000,-1221736000000,-981000000,-65551000000,6013511000000,5947960000000,VCI,quarterly
TCB,2024,4,15064961000000,0.042920170190612936,3371065000000,-0.24056451709192506,15064961000000,-6463144000000,8601817000000,2262105000000,-799263000000,1462842000000,-424270000000,2001000000,249851000000,3884139000000,-4221848000000,-337709000000,67000000,9554599000000,-4740723000000,4813876000000,-117844000000,4696032000000,-1275921000000,-1282376000000,6455000000,-49046000000,3420111000000,3371065000000,VCI,quarterly
TCB,2024,3,15168282000000,0.043733463173710956,5737505000000,0.2437840658338939,15168282000000,-6239606000000,8928676000000,2675088000000,-728305000000,1946783000000,61041000000,-527000000,389242000000,1986320000000,-1563606000000,422714000000,6406000000,11754335000000,-3430902000000,8323433000000,-1109265000000,7214168000000,-1421146000000,-1422429000000,1283000000,-55517000000,5793022000000,5737505000000,VCI,quarterly
TCB,2024,2,15348981000000,0.09652355381801987,6193361000000,0.39018732653132226,15348981000000,-5871055000000,9477926000000,3189894000000,-728422000000,2461472000000,411351000000,103232000000,646934000000,1967716000000,-1706986000000,260730000000,58051000000,13419696000000,-3948974000000,9470722000000,-1644213000000,7826509000000,-1556541000000,-1558837000000,2296000000,-76607000000,6269968000000,6193361000000,VCI,quarterly
TCB,2024,1,14507238000000,0.056439078793245515,6220997000000,0.38339832262038587,14507238000000,-6007694000000,8499544000000,2834555000000,-663404000000,2171151000000,544434000000,-23405000000,1073030000000,1486753000000,-1489777000000,-3024000000,37000000,12261767000000,-3249136000000,9012631000000,-1210972000000,7801659000000,-1524656000000,-1524069000000,-587000000,-56006000000,6277003000000,6220997000000,VCI,quarterly
TCB,2023,4,14444980000000,0.1791782866976995,4438909000000,0.2524177038331144,14444980000000,-6847777000000,7597203000000,3203500000000,-707749000000,2495751000000,312534000000,32233000000,247528000000,1224044000000,-915472000000,308572000000,23633000000,11017454000000,-3610089000000,7407365000000,-1634295000000,5773070000000,-1291455000000,-1295383000000,3928000000,-42706000000,4481615000000,4438909000000,VCI,quarterly
TCB,2023,3,14532716000000,0.29163842198571,4612943000000,-0.12929924427601083,14532716000000,-7260556000000,7272160000000,3008697000000,-753037000000,2255660000000,123789000000,-5587000000,634737000000,719642000000,-590358000000,129284000000,8450000000,10418493000000,-3630731000000,6787762000000,-944972000000,5842790000000,-1174085000000,-1177199000000,3114000000,-55762000000,4668705000000,4612943000000,VCI,quarterly
TCB,2023,2,13997858000000,0.32516070032206335,4455055000000,-0.23235361267505525,13997858000000,-7702981000000,6294877000000,2621676000000,-602328000000,2019348000000,-11153000000,8707000000,74200000000,1657903000000,-718742000000,939161000000,31000000,9325171000000,-2868890000000,6456281000000,-807271000000,5649010000000,-1145561000000,-1146560000000,999000000,-48394000000,4503449000000,4455055000000,VCI,quarterly
TCB,2023,1,13732205000000,0.28481543357289,4496895000000,-0.18306805890476607,13732205000000,-7205325000000,6526880000000,2544212000000,-600074000000,1944138000000,-229420000000,29267000000,-30632000000,2858105000000,-1801006000000,1057099000000,2642000000,9299974000000,-3142086000000,6157888000000,-534530000000,5623358000000,-1086261000000,-1087579000000,1318000000,-40202000000,4537097000000,4496895000000,VCI,quarterly
TCB,2022,4,12250039000000,0.2880716220218959,3544272000000,-0.22820242017494768,12250039000000,-5430628000000,6819411000000,3347346000000,-812774000000,2534572000000,-304011000000,-11259000000,-106393000000,1107240000000,-612268000000,494972000000,30000000,9427322000000,-3989840000000,5437482000000,-691259000000,4746223000000,-1174136000000,-1213783000000,39647000000,-27815000000,3572087000000,3544272000000,VCI,quarterly
TCB,2022,3,11251381000000,0.23366658710036986,5297966000000,0.22140492438214682,11251381000000,-3685920000000,7565461000000,2708827000000,-585768000000,2123059000000,27677000000,17771000000,156659000000,1135827000000,-694501000000,441326000000,6415000000,10338368000000,-3014021000000,7324347000000,-609268000000,6715079000000,-1347539000000,-1343692000000,-3847000000,-69574000000,5367540000000,5297966000000,VCI,quarterly
TCB,2022,2,10563140000000,0.21116856209034168,5803525000000,0.23187641340944817,10563140000000,-2769300000000,7793840000000,2386902000000,-399740000000,1987162000000,-32801000000,-152679000000,593985000000,1284076000000,-541498000000,742578000000,2295000000,10934380000000,-3195863000000,7738517000000,-417381000000,7321136000000,-1438881000000,-1446671000000,7790000000,-78730000000,5882255000000,5803525000000,VCI,quarterly
TCB,2022,1,10688076000000,0.31123406024027506,5504614000000,0.25197936920833647,10688076000000,-2577013000000,8111063000000,2397262000000,-710191000000,1687071000000,34072000000,-95678000000,-218698000000,972806000000,-484307000000,488499000000,51000000,10006380000000,-3002664000000,7003716000000,-218386000000,6785330000000,-1170786000000,-1170786000000,0,-109930000000,5614544000000,5504614000000,VCI,quarterly
TCB,2021,4,9510371000000,0.2406023796199548,4592230000000,0.16167847048606676,9510371000000,-2265768000000,7244603000000,2695597000000,-592550000000,2103047000000,-27843000000,-28535000000,331768000000,1052548000000,-520578000000,531970000000,4001000000,10159011000000,-3391848000000,6767163000000,-627184000000,6139979000000,-1456161000000,-1456161000000,0,-91588000000,4683818000000,4592230000000,VCI,quarterly
TCB,2021,3,9120277000000,0.1843123632871721,4337600000000,0.3996691855290934,9120277000000,-2377788000000,6742489000000,1921277000000,-424238000000,1497039000000,93418000000,-15779000000,306408000000,933055000000,-777501000000,155554000000,20000000,8779149000000,-2627889000000,6151260000000,-588931000000,5562329000000,-1130274000000,-1130274000000,0,-94455000000,4432055000000,4337600000000,VCI,quarterly
TCB,2021,2,8721445000000,0.31527497586674247,4711126000000,0.672463034443439,8721445000000,-2133645000000,6587800000000,1915726000000,-458644000000,1457082000000,100254000000,61654000000,554701000000,1066834000000,-622383000000,444451000000,21000000,9205963000000,-2590526000000,6615437000000,-597671000000,6017766000000,-1211109000000,-1211109000000,0,-95531000000,4806657000000,4711126000000,VCI,quarterly
TCB,2021,1,8151158000000,0.163755217237235,4396729000000,0.7902778298068481,8151158000000,-2027437000000,6123721000000,1706894000000,-381822000000,1325072000000,65621000000,134965000000,611531000000,1291294000000,-620023000000,671271000000,21000000,8932202000000,-2563083000000,6369119000000,-850817000000,5518302000000,-1042085000000,-1042085000000,0,-79488000000,4476217000000,4396729000000,VCI,quarterly
TCB,2020,4,7665930000000,0.15654506991383313,3953099000000,0.3049778723814441,7665930000000,-2210191000000,5455739000000,1629671000000,-560537000000,1069134000000,13411000000,27787000000,500764000000,1364698000000,-673645000000,691053000000,4002000000,7761890000000,-2306767000000,5455123000000,-366266000000,5088857000000,-1081306000000,-1081306000000,0,-54452000000,4007551000000,3953099000000,VCI,quarterly
TCB,2020,3,7700905000000,0.20790229752093856,3099018000000,0.21328901989602342,7700905000000,-2553225000000,5147680000000,1586271000000,-441253000000,1145018000000,45850000000,127725000000,203813000000,1653429000000,-826901000000,826528000000,150000000,7496764000000,-2489180000000,5007584000000,-1033718000000,3973866000000,-793599000000,-793599000000,0,-81249000000,3180267000000,3099018000000,VCI,quarterly
TCB,2020,2,6630891000000,0.11653323109081752,2816879000000,0.16939280707427934,6630891000000,-2695513000000,3935378000000,1523122000000,-268733000000,1254389000000,-30213000000,92559000000,235223000000,1269814000000,-862058000000,407756000000,39000000,5895131000000,-1839257000000,4055874000000,-439031000000,3616843000000,-727848000000,-727848000000,0,-72116000000,2888995000000,2816879000000,VCI,quarterly
TCB,2020,1,7004186000000,0.1531838240463395,2455892000000,0.1791158642708821,7004186000000,-2791774000000,4212412000000,1309379000000,-447378000000,862001000000,-28303000000,73326000000,557197000000,1172031000000,-818200000000,353831000000,0,6030464000000,-2137714000000,3892750000000,-772020000000,3120730000000,-615076000000,-615076000000,0,-49762000000,2505654000000,2455892000000,VCI,quarterly
TCB,2019,4,6628302000000,0.17579289674638798,3029246000000,0.34422440911513374,6628302000000,-2724093000000,3904209000000,1861972000000,-498339000000,1363633000000,-33555000000,132331000000,647694000000,1490285000000,-877440000000,612845000000,20000000,6627177000000,-2336823000000,4290354000000,-312328000000,3978026000000,-859200000000,-859200000000,0,-89580000000,3118826000000,3029246000000,VCI,quarterly
